measurement_mode,mt_level,n,analyze_ratio_mean,analyze_ratio_stdev,analyze_ratio_percent,analyze_ratio_stdev_percent
end2end,no_mt,80,0.8998900920543339,0.028531915439688662,89.98900920543339,2.853191543968866
end2end,1,80,0.9042572937464181,0.020364141268349123,90.4257293746418,2.036414126834912
end2end,2,80,0.8937941697727767,0.028757365416223885,89.37941697727767,2.8757365416223886
end2end,4,80,0.8843849329771608,0.03651788911984049,88.43849329771608,3.651788911984049
end2end,8,80,0.8839155796154684,0.0372041206110808,88.39155796154684,3.7204120611080795
end2end,16,80,0.868734869362116,0.04820431780428931,86.87348693621159,4.820431780428931
end2end,32,80,0.8817832582083749,0.045078129852776656,88.17832582083749,4.507812985277666
end2end,auto,80,0.8802580821113158,0.04681993707597643,88.02580821113159,4.681993707597643
