CPU.analyze.buildJacobianCSC.avg_sec,CPU.analyze.buildJacobianCSC.count,CPU.analyze.buildJacobianCSC.total_sec,CPU.analyze.kluSymbolic.avg_sec,CPU.analyze.kluSymbolic.count,CPU.analyze.kluSymbolic.total_sec,CPU.analyze.remapJacobianMaps.avg_sec,CPU.analyze.remapJacobianMaps.count,CPU.analyze.remapJacobianMaps.total_sec,CPU.analyze.storeYbus.avg_sec,CPU.analyze.storeYbus.count,CPU.analyze.storeYbus.total_sec,CPU.solve.factorize.avg_sec,CPU.solve.factorize.count,CPU.solve.factorize.total_sec,CPU.solve.solve.avg_sec,CPU.solve.solve.count,CPU.solve.solve.total_sec,CUDA.analyze.cudaMallocWorkBuffers.avg_sec,CUDA.analyze.cudaMallocWorkBuffers.count,CUDA.analyze.cudaMallocWorkBuffers.total_sec,CUDA.analyze.cudaMallocYbusFp32.avg_sec,CUDA.analyze.cudaMallocYbusFp32.count,CUDA.analyze.cudaMallocYbusFp32.total_sec,CUDA.analyze.cudaMallocYbusSpmv.avg_sec,CUDA.analyze.cudaMallocYbusSpmv.count,CUDA.analyze.cudaMallocYbusSpmv.total_sec,CUDA.analyze.cudaMemcpyYbusFp32.avg_sec,CUDA.analyze.cudaMemcpyYbusFp32.count,CUDA.analyze.cudaMemcpyYbusFp32.total_sec,CUDA.analyze.cudaMemcpyYbusSpmv.avg_sec,CUDA.analyze.cudaMemcpyYbusSpmv.count,CUDA.analyze.cudaMemcpyYbusSpmv.total_sec,CUDA.analyze.cudssAnalysis.avg_sec,CUDA.analyze.cudssAnalysis.count,CUDA.analyze.cudssAnalysis.total_sec,CUDA.analyze.cudssCreate.avg_sec,CUDA.analyze.cudssCreate.count,CUDA.analyze.cudssCreate.total_sec,CUDA.analyze.cudssFactorization.avg_sec,CUDA.analyze.cudssFactorization.count,CUDA.analyze.cudssFactorization.total_sec,CUDA.analyze.cusparseSetup.avg_sec,CUDA.analyze.cusparseSetup.count,CUDA.analyze.cusparseSetup.total_sec,CUDA.analyze.hostPreprocessYbusFp32.avg_sec,CUDA.analyze.hostPreprocessYbusFp32.count,CUDA.analyze.hostPreprocessYbusFp32.total_sec,CUDA.analyze.hostPreprocessYbusSpmv.avg_sec,CUDA.analyze.hostPreprocessYbusSpmv.count,CUDA.analyze.hostPreprocessYbusSpmv.total_sec,CUDA.analyze.uploadBusIndices.avg_sec,CUDA.analyze.uploadBusIndices.count,CUDA.analyze.uploadBusIndices.total_sec,CUDA.analyze.uploadJacobianMaps.avg_sec,CUDA.analyze.uploadJacobianMaps.count,CUDA.analyze.uploadJacobianMaps.total_sec,CUDA.analyze.uploadJacobianStructure.avg_sec,CUDA.analyze.uploadJacobianStructure.count,CUDA.analyze.uploadJacobianStructure.total_sec,CUDA.analyze.uploadYbusIndices.avg_sec,CUDA.analyze.uploadYbusIndices.count,CUDA.analyze.uploadYbusIndices.total_sec,CUDA.solve.refactorization.avg_sec,CUDA.solve.refactorization.count,CUDA.solve.refactorization.total_sec,CUDA.solve.rhsPrepare.avg_sec,CUDA.solve.rhsPrepare.count,CUDA.solve.rhsPrepare.total_sec,CUDA.solve.solve.avg_sec,CUDA.solve.solve.count,CUDA.solve.solve.total_sec,NR.analyze.backend.avg_sec,NR.analyze.backend.count,NR.analyze.backend.total_sec,NR.analyze.jacobianBuilder.avg_sec,NR.analyze.jacobianBuilder.count,NR.analyze.jacobianBuilder.total_sec,NR.analyze.total.avg_sec,NR.analyze.total.count,NR.analyze.total.total_sec,NR.computeMismatch.avg_sec,NR.computeMismatch.count,NR.computeMismatch.total_sec,NR.iteration.total.avg_sec,NR.iteration.total.count,NR.iteration.total.total_sec,NR.solve.downloadV.avg_sec,NR.solve.downloadV.count,NR.solve.downloadV.total_sec,NR.solve.initialize.avg_sec,NR.solve.initialize.count,NR.solve.initialize.total_sec,NR.solve.total.avg_sec,NR.solve.total.count,NR.solve.total.total_sec,NR.solveLinearSystem.avg_sec,NR.solveLinearSystem.count,NR.solveLinearSystem.total_sec,NR.updateJacobian.avg_sec,NR.updateJacobian.count,NR.updateJacobian.total_sec,NR.updateVoltage.avg_sec,NR.updateVoltage.count,NR.updateVoltage.total_sec,algorithm,analyze_sec,backend,buses,case_name,case_stem,dump_case_name,elapsed_sec,final_mismatch,gpu_device_requested,implementation,iterations,jacobian,max_abs_v_delta_from_v0,newtonpf.init_index.avg_sec,newtonpf.init_index.count,newtonpf.init_index.total_sec,newtonpf.jacobian.avg_sec,newtonpf.jacobian.count,newtonpf.jacobian.total_sec,newtonpf.mismatch.avg_sec,newtonpf.mismatch.count,newtonpf.mismatch.total_sec,newtonpf.solve.avg_sec,newtonpf.solve.count,newtonpf.solve.total_sec,newtonpf.update_voltage.avg_sec,newtonpf.update_voltage.count,newtonpf.update_voltage.total_sec,pq,pv,repeat_idx,runpf.build_Sbus.avg_sec,runpf.build_Sbus.count,runpf.build_Sbus.total_sec,runpf.build_Ybus.avg_sec,runpf.build_Ybus.count,runpf.build_Ybus.total_sec,runpf.bus_indexing.avg_sec,runpf.bus_indexing.count,runpf.bus_indexing.total_sec,runpf.load_case_data.avg_sec,runpf.load_case_data.count,runpf.load_case_data.total_sec,runpf.newtonpf.avg_sec,runpf.newtonpf.count,runpf.newtonpf.total_sec,solve_sec,success
,,,,,,,,,,,,,,,,,,1.4e-05,1,1.4e-05,0.000124,1,0.000124,6e-06,1,6e-06,1.4e-05,1,1.4e-05,2.1e-05,1,2.1e-05,0.009002,1,0.009002,0.001456,1,0.001456,8.6e-05,1,8.6e-05,0.001579,1,0.001579,1e-06,1,1e-06,0.0,1,0.0,1.9e-05,1,1.9e-05,5.8e-05,1,5.8e-05,1.2e-05,1,1.2e-05,1.4e-05,1,1.4e-05,7.8e-05,4,0.000312,8e-06,4,3.2e-05,6.95e-05,4,0.000278,0.012471,1,0.012471,4e-05,1,4e-05,0.012518,1,0.012518,4.04e-05,5,0.000202,0.0002102,5,0.001051,1.1e-05,1,1.1e-05,3.8e-05,1,3.8e-05,0.001119,1,0.001119,0.00016575,4,0.000663,1.65e-05,4,6.6e-05,1.75e-05,4,7e-05,optimized,0.012525,cuda,118,118_ieee,pglib_opf_case118_ieee,case118_ieee,0.013649,7.074552628248e-11,2,cpp_cuda_edge,4,edge_based,1.002563617497,,,,,,,,,,,,,,,,64,53,1,,,,,,,,,,,,,,,,0.001123,True
,,,,,,,,,,,,,,,,,,1.5e-05,1,1.5e-05,0.000122,1,0.000122,6e-06,1,6e-06,1.4e-05,1,1.4e-05,2.1e-05,1,2.1e-05,0.009001,1,0.009001,0.001432,1,0.001432,8.6e-05,1,8.6e-05,0.001703,1,0.001703,1e-06,1,1e-06,0.0,1,0.0,1.9e-05,1,1.9e-05,5.7e-05,1,5.7e-05,1.3e-05,1,1.3e-05,1.5e-05,1,1.5e-05,7.65e-05,4,0.000306,8e-06,4,3.2e-05,6.9e-05,4,0.000276,0.012566,1,0.012566,3.8e-05,1,3.8e-05,0.012613,1,0.012613,4.02e-05,5,0.000201,0.0002122,5,0.001061,1e-05,1,1e-05,3.8e-05,1,3.8e-05,0.001129,1,0.001129,0.000164,4,0.000656,2.025e-05,4,8.1e-05,1.725e-05,4,6.9e-05,optimized,0.01262,cuda,118,118_ieee,pglib_opf_case118_ieee,case118_ieee,0.013755,7.139748257696e-11,2,cpp_cuda_edge,4,edge_based,1.002563617499,,,,,,,,,,,,,,,,64,53,2,,,,,,,,,,,,,,,,0.001134,True
,,,,,,,,,,,,,,,,,,1.4e-05,1,1.4e-05,0.000198,1,0.000198,6e-06,1,6e-06,1.5e-05,1,1.5e-05,2.1e-05,1,2.1e-05,0.009028,1,0.009028,0.001549,1,0.001549,8.5e-05,1,8.5e-05,0.001645,1,0.001645,1e-06,1,1e-06,0.0,1,0.0,1.9e-05,1,1.9e-05,5.5e-05,1,5.5e-05,1.2e-05,1,1.2e-05,1.4e-05,1,1.4e-05,7.725e-05,4,0.000309,8e-06,4,3.2e-05,6.95e-05,4,0.000278,0.012725,1,0.012725,4.6e-05,1,4.6e-05,0.01278,1,0.01278,3.94e-05,5,0.000197,0.0002086,5,0.001043,1.1e-05,1,1.1e-05,3.9e-05,1,3.9e-05,0.001112,1,0.001112,0.00016475,4,0.000659,1.65e-05,4,6.6e-05,1.75e-05,4,7e-05,optimized,0.012789,cuda,118,118_ieee,pglib_opf_case118_ieee,case118_ieee,0.013906,7.177379649529e-11,2,cpp_cuda_vertex,4,vertex_based,1.002563617473,,,,,,,,,,,,,,,,64,53,0,,,,,,,,,,,,,,,,0.001116,True
,,,,,,,,,,,,,,,,,,1.4e-05,1,1.4e-05,0.000123,1,0.000123,6e-06,1,6e-06,1.5e-05,1,1.5e-05,2.1e-05,1,2.1e-05,0.008927,1,0.008927,0.001445,1,0.001445,8.5e-05,1,8.5e-05,0.001775,1,0.001775,1e-06,1,1e-06,0.0,1,0.0,1.9e-05,1,1.9e-05,5.8e-05,1,5.8e-05,1.3e-05,1,1.3e-05,1.5e-05,1,1.5e-05,7.75e-05,4,0.00031,8e-06,4,3.2e-05,6.9e-05,4,0.000276,0.012578,1,0.012578,3.9e-05,1,3.9e-05,0.012625,1,0.012625,3.98e-05,5,0.000199,0.0002088,5,0.001044,1e-05,1,1e-05,3.9e-05,1,3.9e-05,0.001111,1,0.001111,0.00016475,4,0.000659,1.7e-05,4,6.8e-05,1.75e-05,4,7e-05,optimized,0.012632,cuda,118,118_ieee,pglib_opf_case118_ieee,case118_ieee,0.013748,8.455765501974e-11,2,cpp_cuda_vertex,4,vertex_based,1.002563617485,,,,,,,,,,,,,,,,64,53,1,,,,,,,,,,,,,,,,0.001116,True
,,,,,,,,,,,,,,,,,,1.4e-05,1,1.4e-05,0.000122,1,0.000122,6e-06,1,6e-06,1.5e-05,1,1.5e-05,2.1e-05,1,2.1e-05,0.00893,1,0.00893,0.001433,1,0.001433,8.5e-05,1,8.5e-05,0.001597,1,0.001597,1e-06,1,1e-06,0.0,1,0.0,1.9e-05,1,1.9e-05,5.8e-05,1,5.8e-05,1.3e-05,1,1.3e-05,1.5e-05,1,1.5e-05,7.65e-05,4,0.000306,8.25e-06,4,3.3e-05,6.875e-05,4,0.000275,0.012391,1,0.012391,3.8e-05,1,3.8e-05,0.012437,1,0.012437,3.94e-05,5,0.000197,0.000207,5,0.001035,1.1e-05,1,1.1e-05,3.9e-05,1,3.9e-05,0.001104,1,0.001104,0.00016375,4,0.000655,1.675e-05,4,6.7e-05,1.75e-05,4,7e-05,optimized,0.012444,cuda,118,118_ieee,pglib_opf_case118_ieee,case118_ieee,0.013552,7.087461800458e-11,2,cpp_cuda_vertex,4,vertex_based,1.002563617475,,,,,,,,,,,,,,,,64,53,2,,,,,,,,,,,,,,,,0.001108,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9241_pegase,pglib_opf_case9241_pegase,,0.32081458903849125,5.097700039868869e-12,,pypower,7,,,1.4279037714004517e-05,1,1.4279037714004517e-05,0.014211799949407578,7,0.09948259964585304,0.00022920826449990273,8,0.0018336661159992218,0.028230643165963038,7,0.19761450216174126,0.000566056530390467,7,0.003962395712733269,,,0,0.0002741813659667969,1,0.0002741813659667969,0.011900538578629494,1,0.011900538578629494,0.0034086331725120544,1,0.0034086331725120544,0.0015157461166381836,1,0.0015157461166381836,0.30311624705791473,1,0.30311624705791473,,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9241_pegase,pglib_opf_case9241_pegase,,0.31548207625746727,5.097700039868869e-12,,pypower,7,,,1.444108784198761e-05,1,1.444108784198761e-05,0.013800955244473048,7,0.09660668671131134,0.0002202773466706276,8,0.0017622187733650208,0.028153267289910997,7,0.19707287102937698,0.0005543596510376249,7,0.0038805175572633743,,,1,0.0002827402204275131,1,0.0002827402204275131,0.011971807107329369,1,0.011971807107329369,0.003521474078297615,1,0.003521474078297615,0.00163283571600914,1,0.00163283571600914,0.2995226625353098,1,0.2995226625353098,,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9241_pegase,pglib_opf_case9241_pegase,,0.3161570578813553,5.097700039868869e-12,,pypower,7,,,1.4450401067733765e-05,1,1.4450401067733765e-05,0.013874737013663565,7,0.09712315909564495,0.00019401987083256245,8,0.0015521589666604996,0.02822419016488961,7,0.19756933115422726,0.0005480410265071052,7,0.003836287185549736,,,2,0.000276690348982811,1,0.000276690348982811,0.011926067993044853,1,0.011926067993044853,0.0034261327236890793,1,0.0034261327236890793,0.00155547633767128,1,0.00155547633767128,0.3002807945013046,1,0.3002807945013046,,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001055,1,0.001055,0.00017675,8,0.001414,0.030072375,8,0.240579,5e-06,1,5e-06,0.000148,1,0.000148,0.240764,1,0.240764,0.02806142857143,7,0.19643,0.005841714285714,7,0.040892,0.000238,7,0.001666,pypower_like,0.001062,cpu,9241,9241_pegase,pglib_opf_case9241_pegase,case9241_pegase,0.241837,1.003126748333e-11,,cpp_pypowerlike,7,edge_based,2.014161676699,,,,,,,,,,,,,,,,7796,1444,0,,,,,,,,,,,,,,,,0.240775,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000828,1,0.000828,0.000163875,8,0.001311,0.02982325,8,0.238586,5e-06,1,5e-06,0.000138,1,0.000138,0.238759,1,0.238759,0.02801257142857,7,0.196088,0.005626,7,0.039382,0.0002334285714286,7,0.001634,pypower_like,0.000837,cpu,9241,9241_pegase,pglib_opf_case9241_pegase,case9241_pegase,0.239607,1.003126748333e-11,,cpp_pypowerlike,7,edge_based,2.014161676699,,,,,,,,,,,,,,,,7796,1444,1,,,,,,,,,,,,,,,,0.238769,True
