analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,mg_device_indices,mg_enabled,pq,profile,profile_label,pv,repeat_idx,solve_sec,source_profile,success,variant
0.015125,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.016114,5.748501249549e-12,cuda_mixed_edge,3,edge_based,6.383030326738e-05,end2end,,False,805,cuda_edge,CUDA mixed edge,187,3,0.000988,cuda_mixed_edge,True,baseline
0.015135,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.016124,5.974399662538e-12,cuda_mixed_edge,3,edge_based,6.383030326125e-05,end2end,,False,805,cuda_edge,CUDA mixed edge,187,4,0.000989,cuda_mixed_edge,True,baseline
0.015109,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.016108,2.674260370302e-12,cuda_mixed_edge,3,edge_based,6.383030320134e-05,end2end,,False,805,cuda_edge,CUDA mixed edge,187,5,0.000998,cuda_mixed_edge,True,baseline
0.015098,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.016082,3.122288520373e-12,cuda_mixed_edge,3,edge_based,6.383030320578e-05,end2end,,False,805,cuda_edge,CUDA mixed edge,187,6,0.000984,cuda_mixed_edge,True,baseline
0.015097,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.016079,4.748704683534e-12,cuda_mixed_edge,3,edge_based,6.383030322333e-05,end2end,,False,805,cuda_edge,CUDA mixed edge,187,7,0.000981,cuda_mixed_edge,True,baseline
0.015148,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.016154,5.438753433274e-12,cuda_mixed_edge,3,edge_based,6.38303032303e-05,end2end,,False,805,cuda_edge,CUDA mixed edge,187,8,0.001006,cuda_mixed_edge,True,baseline
0.015108,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.016104,1.930625098742e-12,cuda_mixed_edge,3,edge_based,6.383030324286e-05,end2end,,False,805,cuda_edge,CUDA mixed edge,187,9,0.000995,cuda_mixed_edge,True,baseline
0.021158,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.023188,4.028155705795e-09,cuda_mixed_edge,4,edge_based,0.02916330896456,end2end,,False,1608,cuda_edge,CUDA mixed edge,391,0,0.00203,cuda_mixed_edge,True,baseline
0.020191,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.022204,3.254590025665e-09,cuda_mixed_edge,4,edge_based,0.02916330899287,end2end,,False,1608,cuda_edge,CUDA mixed edge,391,1,0.002012,cuda_mixed_edge,True,baseline
0.020128,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.022155,4.162963741986e-09,cuda_mixed_edge,4,edge_based,0.02916330895986,end2end,,False,1608,cuda_edge,CUDA mixed edge,391,2,0.002027,cuda_mixed_edge,True,baseline
0.020179,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.022204,3.599722368736e-09,cuda_mixed_edge,4,edge_based,0.02916330894962,end2end,,False,1608,cuda_edge,CUDA mixed edge,391,3,0.002024,cuda_mixed_edge,True,baseline
0.02021,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.022251,2.865911067895e-09,cuda_mixed_edge,4,edge_based,0.02916330893081,end2end,,False,1608,cuda_edge,CUDA mixed edge,391,4,0.002041,cuda_mixed_edge,True,baseline
0.020195,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.022236,2.405211693186e-09,cuda_mixed_edge,4,edge_based,0.02916330899045,end2end,,False,1608,cuda_edge,CUDA mixed edge,391,5,0.00204,cuda_mixed_edge,True,baseline
0.020505,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.022527,3.708475461852e-09,cuda_mixed_edge,4,edge_based,0.02916330897639,end2end,,False,1608,cuda_edge,CUDA mixed edge,391,6,0.002022,cuda_mixed_edge,True,baseline
0.020184,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.022224,3.275616831901e-09,cuda_mixed_edge,4,edge_based,0.02916330893252,end2end,,False,1608,cuda_edge,CUDA mixed edge,391,7,0.00204,cuda_mixed_edge,True,baseline
0.020154,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.022197,2.619486704927e-09,cuda_mixed_edge,4,edge_based,0.02916330894552,end2end,,False,1608,cuda_edge,CUDA mixed edge,391,8,0.002042,cuda_mixed_edge,True,baseline
0.020177,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.02221,3.144701136783e-09,cuda_mixed_edge,4,edge_based,0.02916330897507,end2end,,False,1608,cuda_edge,CUDA mixed edge,391,9,0.002032,cuda_mixed_edge,True,baseline
