case,mode,repeat,elapsed_ms,n_bus,n_pv,n_pq,ybus_nnz,jacobian_dim,jacobian_nnz
MemphisCase2026_Mar7,vertex,13,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,14,0.007968,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,15,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,16,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,17,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,18,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,19,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,20,0.008128,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,21,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,22,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,23,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,24,0.007424,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,25,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,26,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,27,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,28,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,29,0.007168,993,187,805,3669,1797,13355
Texas7k_20220923,edge_atomic,0,0.010272,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_atomic,1,0.011136,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_atomic,2,0.010240,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_atomic,3,0.009216,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_atomic,4,0.009216,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_atomic,5,0.010240,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_atomic,6,0.010144,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_atomic,7,0.009440,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_atomic,8,0.009216,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_atomic,9,0.010240,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_atomic,10,0.010240,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_atomic,11,0.009216,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_atomic,12,0.009216,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_atomic,13,0.009216,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_atomic,14,0.010240,6717,589,6127,24009,12843,91901
