phase,kernel_base,kernel_full,count,sum_ms
symbolic_factorization,cudss::updates_offsets_ker,"void cudss::updates_offsets_ker<long, int, (int)128>(T2, const T2 *, const T1 *, const T2 *, const T2 *, T1 *, T1 *, T2, T2)",78,0.558508
symbolic_factorization,cudss::blocks_ker,"void cudss::blocks_ker<long, int, (int)128>(T2, const T2 *, const T1 *, const T2 *, const T2 *, const T1 *, T2 *, T2 *, T2, T2)",78,0.515856
symbolic_factorization,cudss::radix_sort_ker,"void cudss::radix_sort_ker<long, int, int, (int)1, (int)20, (int)4, (int)1>(T2, const T1 *, T2 *, T2 *, T3 *, T3 *, T2, T2)",1,0.46478
symbolic_factorization,cudss::supernode_map_ker,"void cudss::supernode_map_ker<int, (int)1>(T1, const T1 *, const T1 *, T1 *, T1, T1 *, T1, T1 *, T1 *, T1)",78,0.43662
symbolic_factorization,cudss::count_dep_fwd_bwd_ker,"void cudss::count_dep_fwd_bwd_ker<long, int, (int)128>(T2, T2, T2 *, T2 *, const T1 *, const T2 *)",105,0.384365
symbolic_factorization,cudss::updates_ker,"void cudss::updates_ker<long, int, (int)128>(T2, const T2 *, const T2 *, T1 *, const T2 *, const T2 *, T1 *, T2 *, T2 *, T2, T2)",78,0.323179
symbolic_factorization,cudss::supernode_map_offsets_ker,"void cudss::supernode_map_offsets_ker<int, (int)1>(T1, const T1 *, const T1 *, T1 *, T1, T1 *, T1, T1 *, T1 *, T1)",78,0.315782
symbolic_factorization,cudss::nnz_count_ker,"void cudss::nnz_count_ker<long, int, (int)128>(T2, const T2 *, const T2 *, T1 *, T1 *, T1 *)",78,0.160486
symbolic_factorization,cudss::supernode_dependant_ker,"void cudss::supernode_dependant_ker<int, (int)128>(T1, T1 *, T1 *, T1 *, T1 *)",78,0.143074
symbolic_factorization,cudss::set_default_ker,"void cudss::set_default_ker<int, (int)128>(T1, T1 *)",78,0.092452
