case,n,nnz,phase,range,wall_ms,gpu_activity_union_ms,gpu_kernel_sum_ms,gpu_kernel_count,memcpy_sum_ms,memcpy_count,memset_sum_ms,memset_count,runtime_api_union_ms,runtime_api_sum_ms,runtime_api_count,cuda_sync_api_union_ms,gpu_idle_or_host_ms,gpu_idle_or_host_ratio,host_outside_cuda_api_ms,host_outside_cuda_api_ratio,sync_activity_ms,sync_activity_count
case2746wp,5127,32129,symbolic_factorization,cudss_symbolic_factorization,8.740043,7.123684,7.061059,85,0.041312,37,0.021313,19,8.5924,8.5924,176,0.021111,1.616359,0.18493719081244794,0.147643,0.016892708651433407,0.01406,29
case2746wop,5141,32445,reordering,cudss_reordering,13.148557,3.034357,2.973234,9,0.056259,20,0.004864,6,7.524668,7.524668,52,0.031219,10.1142,0.769225094434317,5.623889,0.4277191025600756,0.022941,9
case2746wop,5141,32445,symbolic_factorization,cudss_symbolic_factorization,8.799354,7.168576,7.107903,83,0.039361,36,0.021312,19,8.651883,8.651883,172,0.020936,1.630778,0.1853292866726353,0.147471,0.016759298466682896,0.014076,28
case2869pegase,5227,36591,reordering,cudss_reordering,13.407853,3.064243,2.998482,9,0.060833,20,0.004928,6,7.628635,7.628635,52,0.032361,10.34361,0.7714590844634112,5.779218,0.4310323211329957,0.023383,9
case2869pegase,5227,36591,symbolic_factorization,cudss_symbolic_factorization,8.824762,7.121153,7.059968,83,0.039329,36,0.021856,19,8.671648,8.671648,172,0.021038,1.703609,0.19304871904760718,0.153114,0.01735049625134366,0.014085,28
case2736sp,5237,33715,reordering,cudss_reordering,13.207507,3.04434,2.982897,9,0.056995,20,0.004448,6,7.570542,7.570542,52,0.031169,10.163167,0.7694992703770667,5.636965,0.426800076653376,0.022551,9
case2736sp,5237,33715,symbolic_factorization,cudss_symbolic_factorization,8.931401,7.185764,7.12333,88,0.04077,38,0.021664,19,8.780851,8.780851,181,0.021753,1.745637,0.1954494037385624,0.15055,0.016856258049549003,0.014506,30
case2737sop,5280,34242,reordering,cudss_reordering,70.327848,3.049267,2.987666,9,0.057057,20,0.004544,6,7.602706,7.602706,52,0.034555,67.278581,0.9566421113866587,62.725142,0.8918962229585071,0.024828,9
case2737sop,5280,34242,symbolic_factorization,cudss_symbolic_factorization,9.25132,7.321578,7.258952,87,0.040993,38,0.021633,19,9.077463,9.077463,180,0.024497,1.929742,0.2085909902586874,0.173857,0.01879266958661034,0.01536,30
case2868rte,5321,36015,reordering,cudss_reordering,13.280304,3.071893,3.007155,9,0.05981,20,0.004928,6,7.642158,7.642158,52,0.031962,10.208411,0.7686880511169022,5.638146,0.4245494681447051,0.022994,9
