case,n_bus,ybus_nnz,n_pv,n_pq,jac_dim,jac_nnz,common_analyze_ms,edge_map_ms,vertex_map_ms,edge_fill_ms,vertex_fill_ms
Base_Eastern_Interconnect_515GW,78478,294392,2038,76439,154916,1143804,30.1855,77.1242,90.6812,0.0618906,0.192942
Base_Florida_42GW,5658,21384,104,5553,11210,83806,1.70392,5.01063,5.07773,0.0052224,0.0110387
Base_MIOHIN_76GW,10189,39589,190,9998,20186,155152,3.08371,9.26147,9.33673,0.00760832,0.0131482
Base_Texas_66GW,7336,27174,239,7096,14431,104763,2.18468,6.26747,6.3214,0.0054784,0.00970752
Base_West_Interconnect_121GW,20758,78550,766,19991,40748,302486,6.24459,17.9407,18.3815,0.0119091,0.0195584
MemphisCase2026_Mar7,993,3669,187,805,1797,13355,0.26085,0.811869,0.82092,0.00340992,0.0124109
Texas7k_20220923,6717,24009,589,6127,12843,91901,1.96466,5.42532,5.64567,0.00519168,0.0118374
case_ACTIVSg200,200,690,37,162,361,2489,0.059,0.12927,0.1876,0.00324608,0.00683008
case_ACTIVSg2000,2000,7334,391,1608,3607,26345,0.56601,1.58166,1.60944,0.00339968,0.0108646
case_ACTIVSg25k,25000,85220,2752,22247,47246,318672,6.79759,19.7839,19.2148,0.0124109,0.016169
case_ACTIVSg500,500,1668,55,444,943,6275,0.13015,0.29927,0.41697,0.00329728,0.00805888
case_ACTIVSg70k,70000,236636,5894,64105,134104,900558,19.9246,59.72,64.0854,0.0487629,0.132342
