analyze_sec,backend,buses,case_name,case_stem,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
2.1e-05,cpu,30,case30_ieee,,fp64,case30_ieee,6.7e-05,1.221902438322e-14,cpp,5,edge_based,0.341154734562,end2end,24,cpp,5,8,4.6e-05,cpu_fp64_edge,True
2.1e-05,cpu,30,case30_ieee,,fp64,case30_ieee,6.8e-05,1.221902438322e-14,cpp,5,edge_based,0.341154734562,end2end,24,cpp,5,9,4.6e-05,cpu_fp64_edge,True
0.011156,cuda,30,case30_ieee,,mixed,case30_ieee,0.011882,2.53326813439e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,0,0.000725,cuda_mixed_edge,True
0.010633,cuda,30,case30_ieee,,mixed,case30_ieee,0.011358,1.857130814754e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,1,0.000724,cuda_mixed_edge,True
0.010685,cuda,30,case30_ieee,,mixed,case30_ieee,0.011417,1.504768532001e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,2,0.000732,cuda_mixed_edge,True
0.010676,cuda,30,case30_ieee,,mixed,case30_ieee,0.011406,2.446231369236e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,3,0.000729,cuda_mixed_edge,True
0.010646,cuda,30,case30_ieee,,mixed,case30_ieee,0.01137,1.468825061579e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,4,0.000723,cuda_mixed_edge,True
0.010653,cuda,30,case30_ieee,,mixed,case30_ieee,0.011354,2.53326813439e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,5,0.000701,cuda_mixed_edge,True
0.010551,cuda,30,case30_ieee,,mixed,case30_ieee,0.011265,2.329280552552e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,6,0.000714,cuda_mixed_edge,True
0.010481,cuda,30,case30_ieee,,mixed,case30_ieee,0.011213,1.504768532001e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,7,0.000731,cuda_mixed_edge,True
0.010472,cuda,30,case30_ieee,,mixed,case30_ieee,0.011197,1.633806356561e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,8,0.000725,cuda_mixed_edge,True
0.010486,cuda,30,case30_ieee,,mixed,case30_ieee,0.011191,1.860923102341e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,9,0.000705,cuda_mixed_edge,True
,python,,case118_ieee,pglib_opf_case118_ieee,fp64,,0.017382148653268814,6.14822223325176e-11,pypower,4,pypower,,end2end,,pypower,,0,,pypower,True
,python,,case118_ieee,pglib_opf_case118_ieee,fp64,,0.013423172757029533,6.14822223325176e-11,pypower,4,pypower,,end2end,,pypower,,1,,pypower,True
,python,,case118_ieee,pglib_opf_case118_ieee,fp64,,0.011274095624685287,6.14822223325176e-11,pypower,4,pypower,,end2end,,pypower,,2,,pypower,True
,python,,case118_ieee,pglib_opf_case118_ieee,fp64,,0.011206593364477158,6.14822223325176e-11,pypower,4,pypower,,end2end,,pypower,,3,,pypower,True
,python,,case118_ieee,pglib_opf_case118_ieee,fp64,,0.011149423196911812,6.14822223325176e-11,pypower,4,pypower,,end2end,,pypower,,4,,pypower,True
,python,,case118_ieee,pglib_opf_case118_ieee,fp64,,0.011135483160614967,6.14822223325176e-11,pypower,4,pypower,,end2end,,pypower,,5,,pypower,True
,python,,case118_ieee,pglib_opf_case118_ieee,fp64,,0.011236201971769333,6.14822223325176e-11,pypower,4,pypower,,end2end,,pypower,,6,,pypower,True
,python,,case118_ieee,pglib_opf_case118_ieee,fp64,,0.01112024113535881,6.14822223325176e-11,pypower,4,pypower,,end2end,,pypower,,7,,pypower,True
,python,,case118_ieee,pglib_opf_case118_ieee,fp64,,0.011137304827570915,6.14822223325176e-11,pypower,4,pypower,,end2end,,pypower,,8,,pypower,True
,python,,case118_ieee,pglib_opf_case118_ieee,fp64,,0.011132372543215752,6.14822223325176e-11,pypower,4,pypower,,end2end,,pypower,,9,,pypower,True
1e-06,cpu,118,case118_ieee,,fp64,case118_ieee,0.001089,6.148233213186e-11,cpp_naive,5,pypower_like,1.00256361749,end2end,64,cpp_naive,53,0,0.001088,cpp_pypowerlike,True
1e-06,cpu,118,case118_ieee,,fp64,case118_ieee,0.001057,6.148233213186e-11,cpp_naive,5,pypower_like,1.00256361749,end2end,64,cpp_naive,53,1,0.001055,cpp_pypowerlike,True
1e-06,cpu,118,case118_ieee,,fp64,case118_ieee,0.001127,6.148233213186e-11,cpp_naive,5,pypower_like,1.00256361749,end2end,64,cpp_naive,53,2,0.001125,cpp_pypowerlike,True
1e-06,cpu,118,case118_ieee,,fp64,case118_ieee,0.001033,6.148233213186e-11,cpp_naive,5,pypower_like,1.00256361749,end2end,64,cpp_naive,53,3,0.001031,cpp_pypowerlike,True
