ABLATION.cpu_dx_to_cuda.avg_sec,ABLATION.cpu_dx_to_cuda.count,ABLATION.cpu_dx_to_cuda.total_sec,ABLATION.cpu_jacobian_to_cuda_csr.avg_sec,ABLATION.cpu_jacobian_to_cuda_csr.count,ABLATION.cpu_jacobian_to_cuda_csr.total_sec,ABLATION.cpu_naive_jacobian.avg_sec,ABLATION.cpu_naive_jacobian.count,ABLATION.cpu_naive_jacobian.total_sec,ABLATION.cuda_F_to_cpu.avg_sec,ABLATION.cuda_F_to_cpu.count,ABLATION.cuda_F_to_cpu.total_sec,ABLATION.cuda_J_to_cpu_csc.avg_sec,ABLATION.cuda_J_to_cpu_csc.count,ABLATION.cuda_J_to_cpu_csc.total_sec,ABLATION.cuda_to_cpu_voltage.avg_sec,ABLATION.cuda_to_cpu_voltage.count,ABLATION.cuda_to_cpu_voltage.total_sec,CPU.naive.jacobian.assemble.avg_sec,CPU.naive.jacobian.assemble.count,CPU.naive.jacobian.assemble.total_sec,CPU.naive.jacobian.dS_dVa.avg_sec,CPU.naive.jacobian.dS_dVa.count,CPU.naive.jacobian.dS_dVa.total_sec,CPU.naive.jacobian.dS_dVm.avg_sec,CPU.naive.jacobian.dS_dVm.count,CPU.naive.jacobian.dS_dVm.total_sec,CPU.naive.solve.superlu.avg_sec,CPU.naive.solve.superlu.count,CPU.naive.solve.superlu.total_sec,CPU.solve.buildYbusCSC.avg_sec,CPU.solve.buildYbusCSC.count,CPU.solve.buildYbusCSC.total_sec,CUDA.analyze.cudss32.analysis.avg_sec,CUDA.analyze.cudss32.analysis.count,CUDA.analyze.cudss32.analysis.total_sec,CUDA.analyze.cudss32.setup.avg_sec,CUDA.analyze.cudss32.setup.count,CUDA.analyze.cudss32.setup.total_sec,CUDA.analyze.cudss64.analysis.avg_sec,CUDA.analyze.cudss64.analysis.count,CUDA.analyze.cudss64.analysis.total_sec,CUDA.analyze.cudss64.setup.avg_sec,CUDA.analyze.cudss64.setup.count,CUDA.analyze.cudss64.setup.total_sec,CUDA.solve.factorization32.avg_sec,CUDA.solve.factorization32.count,CUDA.solve.factorization32.total_sec,CUDA.solve.factorization64.avg_sec,CUDA.solve.factorization64.count,CUDA.solve.factorization64.total_sec,CUDA.solve.refactorization32.avg_sec,CUDA.solve.refactorization32.count,CUDA.solve.refactorization32.total_sec,CUDA.solve.refactorization64.avg_sec,CUDA.solve.refactorization64.count,CUDA.solve.refactorization64.total_sec,CUDA.solve.rhsPrepare.avg_sec,CUDA.solve.rhsPrepare.count,CUDA.solve.rhsPrepare.total_sec,CUDA.solve.rhsPrepare64.avg_sec,CUDA.solve.rhsPrepare64.count,CUDA.solve.rhsPrepare64.total_sec,CUDA.solve.solve32.avg_sec,CUDA.solve.solve32.count,CUDA.solve.solve32.total_sec,CUDA.solve.solve64.avg_sec,CUDA.solve.solve64.count,CUDA.solve.solve64.total_sec,NR.analyze.jacobian_builder.avg_sec,NR.analyze.jacobian_builder.count,NR.analyze.jacobian_builder.total_sec,NR.analyze.linear_solve.avg_sec,NR.analyze.linear_solve.count,NR.analyze.linear_solve.total_sec,NR.analyze.storage_prepare.avg_sec,NR.analyze.storage_prepare.count,NR.analyze.storage_prepare.total_sec,NR.analyze.total.avg_sec,NR.analyze.total.count,NR.analyze.total.total_sec,NR.iteration.jacobian.avg_sec,NR.iteration.jacobian.count,NR.iteration.jacobian.total_sec,NR.iteration.linear_solve.avg_sec,NR.iteration.linear_solve.count,NR.iteration.linear_solve.total_sec,NR.iteration.mismatch.avg_sec,NR.iteration.mismatch.count,NR.iteration.mismatch.total_sec,NR.iteration.total.avg_sec,NR.iteration.total.count,NR.iteration.total.total_sec,NR.iteration.voltage_update.avg_sec,NR.iteration.voltage_update.count,NR.iteration.voltage_update.total_sec,NR.solve.download.avg_sec,NR.solve.download.count,NR.solve.download.total_sec,NR.solve.total.avg_sec,NR.solve.total.count,NR.solve.total.total_sec,NR.solve.upload.avg_sec,NR.solve.upload.count,NR.solve.upload.total_sec,analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
4e-06,2,8e-06,,,,,,,9.5e-06,2,1.9e-05,3.8e-05,2,7.6e-05,,,,,,,,,,,,,0.000414,2,0.000828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8e-05,1,6.8e-05,0.0,1,0.0,0.000265,1,0.000265,0.000334,1,0.000334,1.3e-05,2,2.6e-05,0.0004675,2,0.000935,2.666666666667e-05,3,8e-05,0.000362,3,0.001086,2.05e-05,2,4.1e-05,1.9e-05,1,1.9e-05,0.001175,1,0.001175,6.8e-05,1,6.8e-05,0.000337,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.001513,5.657308991362e-12,cuda_wo_cudss,3,edge_based,0.0005626048489516,operators,162,cuda_wo_cudss,37,0,0.001175,cuda_mixed_edge_cpu_superlu,True
4e-06,2,8e-06,,,,,,,9.5e-06,2,1.9e-05,3.85e-05,2,7.7e-05,,,,,,,,,,,,,0.0004105,2,0.000821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6e-05,1,6e-05,0.0,1,0.0,0.000263,1,0.000263,0.000324,1,0.000324,1.3e-05,2,2.6e-05,0.000464,2,0.000928,2.6e-05,3,7.8e-05,0.0003593333333333,3,0.001078,2.1e-05,2,4.2e-05,1.8e-05,1,1.8e-05,0.001162,1,0.001162,6.4e-05,1,6.4e-05,0.000327,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.001491,4.256310159772e-12,cuda_wo_cudss,3,edge_based,0.0005626048489516,operators,162,cuda_wo_cudss,37,1,0.001163,cuda_mixed_edge_cpu_superlu,True
4e-06,2,8e-06,,,,,,,1e-05,2,2e-05,3.85e-05,2,7.7e-05,,,,,,,,,,,,,0.000408,2,0.000816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6e-05,1,6e-05,0.0,1,0.0,0.000266,1,0.000266,0.000327,1,0.000327,1.3e-05,2,2.6e-05,0.0004615,2,0.000923,2.6e-05,3,7.8e-05,0.0003573333333333,3,0.001072,2.1e-05,2,4.2e-05,1.9e-05,1,1.9e-05,0.001158,1,0.001158,6.4e-05,1,6.4e-05,0.00033,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.00149,7.776387753005e-12,cuda_wo_cudss,3,edge_based,0.0005626048489516,operators,162,cuda_wo_cudss,37,2,0.001159,cuda_mixed_edge_cpu_superlu,True
4e-06,2,8e-06,,,,,,,9.5e-06,2,1.9e-05,3.75e-05,2,7.5e-05,,,,,,,,,,,,,0.0003985,2,0.000797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6e-05,1,6e-05,0.0,1,0.0,0.00026,1,0.00026,0.00032,1,0.00032,1.3e-05,2,2.6e-05,0.000452,2,0.000904,2.633333333333e-05,3,7.9e-05,0.0003506666666667,3,0.001052,2.1e-05,2,4.2e-05,1.9e-05,1,1.9e-05,0.001137,1,0.001137,6.4e-05,1,6.4e-05,0.000323,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.001462,4.270007263207e-12,cuda_wo_cudss,3,edge_based,0.000562604848972,operators,162,cuda_wo_cudss,37,3,0.001138,cuda_mixed_edge_cpu_superlu,True
4e-06,2,8e-06,,,,,,,1e-05,2,2e-05,3.8e-05,2,7.6e-05,,,,,,,,,,,,,0.000396,2,0.000792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6e-05,1,6e-05,0.0,1,0.0,0.000266,1,0.000266,0.000327,1,0.000327,1.3e-05,2,2.6e-05,0.0004495,2,0.000899,2.6e-05,3,7.8e-05,0.000349,3,0.001047,2.1e-05,2,4.2e-05,1.8e-05,1,1.8e-05,0.001132,1,0.001132,6.3e-05,1,6.3e-05,0.00033,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.001463,5.657308991362e-12,cuda_wo_cudss,3,edge_based,0.0005626048489516,operators,162,cuda_wo_cudss,37,4,0.001133,cuda_mixed_edge_cpu_superlu,True
4e-06,2,8e-06,,,,,,,1e-05,2,2e-05,3.85e-05,2,7.7e-05,,,,,,,,,,,,,0.0003985,2,0.000797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6e-05,1,6e-05,0.0,1,0.0,0.000259,1,0.000259,0.00032,1,0.00032,1.3e-05,2,2.6e-05,0.0004515,2,0.000903,2.633333333333e-05,3,7.9e-05,0.000351,3,0.001053,2.1e-05,2,4.2e-05,1.8e-05,1,1.8e-05,0.001138,1,0.001138,6.3e-05,1,6.3e-05,0.000324,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.001462,3.051369100733e-12,cuda_wo_cudss,3,edge_based,0.0005626048489572,operators,162,cuda_wo_cudss,37,5,0.001138,cuda_mixed_edge_cpu_superlu,True
4e-06,2,8e-06,,,,,,,9.5e-06,2,1.9e-05,3.8e-05,2,7.6e-05,,,,,,,,,,,,,0.000396,2,0.000792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9e-05,1,5.9e-05,0.0,1,0.0,0.000283,1,0.000283,0.000343,1,0.000343,1.3e-05,2,2.6e-05,0.0004495,2,0.000899,2.6e-05,3,7.8e-05,0.000349,3,0.001047,2.1e-05,2,4.2e-05,1.9e-05,1,1.9e-05,0.001132,1,0.001132,6.4e-05,1,6.4e-05,0.000346,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.001479,3.748808540575e-12,cuda_wo_cudss,3,edge_based,0.0005626048489738,operators,162,cuda_wo_cudss,37,6,0.001133,cuda_mixed_edge_cpu_superlu,True
4e-06,2,8e-06,,,,,,,9.5e-06,2,1.9e-05,3.75e-05,2,7.5e-05,,,,,,,,,,,,,0.0003935,2,0.000787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6e-05,1,6e-05,0.0,1,0.0,0.00026,1,0.00026,0.000321,1,0.000321,1.3e-05,2,2.6e-05,0.000446,2,0.000892,2.6e-05,3,7.8e-05,0.000347,3,0.001041,2.1e-05,2,4.2e-05,1.9e-05,1,1.9e-05,0.001126,1,0.001126,6.4e-05,1,6.4e-05,0.000324,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.001451,4.256310159772e-12,cuda_wo_cudss,3,edge_based,0.0005626048489516,operators,162,cuda_wo_cudss,37,7,0.001127,cuda_mixed_edge_cpu_superlu,True
4e-06,2,8e-06,,,,,,,9e-06,2,1.8e-05,3.8e-05,2,7.6e-05,,,,,,,,,,,,,0.000398,2,0.000796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6e-05,1,6e-05,0.0,1,0.0,0.000269,1,0.000269,0.000329,1,0.000329,1.3e-05,2,2.6e-05,0.0004505,2,0.000901,2.633333333333e-05,3,7.9e-05,0.0003503333333333,3,0.001051,2.05e-05,2,4.1e-05,1.9e-05,1,1.9e-05,0.001135,1,0.001135,6.4e-05,1,6.4e-05,0.000332,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.001469,4.206350468753e-12,cuda_wo_cudss,3,edge_based,0.0005626048489738,operators,162,cuda_wo_cudss,37,8,0.001136,cuda_mixed_edge_cpu_superlu,True
4e-06,2,8e-06,,,,,,,1e-05,2,2e-05,3.8e-05,2,7.6e-05,,,,,,,,,,,,,0.000393,2,0.000786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9e-05,1,5.9e-05,0.0,1,0.0,0.000259,1,0.000259,0.000319,1,0.000319,1.3e-05,2,2.6e-05,0.000446,2,0.000892,2.633333333333e-05,3,7.9e-05,0.0003466666666667,3,0.00104,2.05e-05,2,4.1e-05,1.8e-05,1,1.8e-05,0.001126,1,0.001126,6.4e-05,1,6.4e-05,0.000322,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.001449,4.170299615163e-12,cuda_wo_cudss,3,edge_based,0.000562604848972,operators,162,cuda_wo_cudss,37,9,0.001126,cuda_mixed_edge_cpu_superlu,True
