cudss_reordering_alg,run_name,analyze_sec_max,analyze_sec_mean,analyze_sec_median,analyze_sec_min,analyze_sec_stdev,backend,case_name,compute,elapsed_sec_max,elapsed_sec_mean,elapsed_sec_median,elapsed_sec_min,elapsed_sec_stdev,final_mismatch_max,implementation,iterations_mean,jacobian,measurement_mode,profile,runs,solve_sec_max,solve_sec_mean,solve_sec_median,solve_sec_min,solve_sec_stdev,source_profile,success_all
DEFAULT,cuda_edge_reorder_default,0.023585,0.0227123,0.022637499999999998,0.022446,0.0003362783404000648,cuda,case2746wop_k,mixed,0.026236,0.0253743,0.025287499999999997,0.025078,0.0003310260312019785,1.101657724192e-09,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.002751,0.0026617,0.0026505,0.002625,3.867543004142147e-05,cuda_mixed_edge,True
DEFAULT,cuda_edge_reorder_default,0.010679,0.0104612,0.0104395,0.010344,0.00010840028700248983,cuda,case30_ieee,mixed,0.011515,0.0113001,0.011273,0.011173,0.0001079253342722537,2.592118365579e-13,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.000851,0.0008384,0.0008365,0.000828,9.045563676312399e-06,cuda_mixed_edge,True
DEFAULT,cuda_edge_reorder_default,0.034121,0.0327027,0.0325245,0.03245,0.0005085718675314669,cuda,case4601_goc,mixed,0.038894,0.0374952,0.0373305,0.037221,0.0005008723057493455,4.245115370338e-10,cuda_edge,6.0,edge_based,operators,cuda_edge,10,0.00483,0.004792,0.0047865,0.004751,2.8015868519267554e-05,cuda_mixed_edge,True
DEFAULT,cuda_edge_reorder_default,0.014438,0.0142167,0.014183000000000001,0.014102,0.00011813650296725948,cuda,case793_goc,mixed,0.016216,0.015882800000000002,0.015918500000000002,0.015574,0.0002168429026840505,9.311125648281e-09,cuda_edge,5.7,edge_based,operators,cuda_edge,10,0.001778,0.0016657,0.0017375,0.001444,0.000146864298664523,cuda_mixed_edge,True
DEFAULT,cuda_edge_reorder_default,0.050145,0.0477716,0.047450000000000006,0.047359,0.0008491863033385427,cuda,case8387_pegase,mixed,0.056221,0.0539157,0.0536875,0.053453,0.0008212336316650566,3.046590979494e-09,cuda_edge,7.0,edge_based,operators,cuda_edge,10,0.006316,0.0061433,0.006099,0.006067,9.579729757264676e-05,cuda_mixed_edge,True
DEFAULT,cuda_edge_reorder_default,0.054722,0.0521663,0.051879999999999996,0.051574,0.0009193796277925676,cuda,case9241_pegase,mixed,0.061967,0.0594803,0.059222,0.058978,0.0008896792243399993,2.697865621008e-09,cuda_edge,8.0,edge_based,operators,cuda_edge,10,0.007437,0.0073133,0.0073030000000000005,0.007211,8.736011039879055e-05,cuda_mixed_edge,True
ALG_1,cuda_edge_reorder_alg1,0.003347,0.0032353,0.0032135,0.003199,4.854104792166459e-05,cuda,case118_ieee,mixed,0.005819,0.0057006,0.0056795,0.00566,5.2341188370154604e-05,1.178154001504e-10,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.002482,0.0024651,0.0024655,0.002451,8.949860334105688e-06,cuda_mixed_edge,True
ALG_1,cuda_edge_reorder_alg1,0.005235,0.0049113,0.0048330000000000005,0.004804,0.0001578220164897436,cuda,case1354_pegase,mixed,0.026108,0.0257544,0.0256865,0.025616,0.00018554675960522757,6.763533799586e-12,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.020915,0.0208428,0.0208355,0.020787,4.077798970577657e-05,cuda_mixed_edge,True
ALG_1,cuda_edge_reorder_alg1,0.007344,0.0067787,0.0066645,0.006568,0.0002715883527203133,cuda,case2746wop_k,mixed,0.049495,0.048882300000000004,0.0487825,0.04865,0.00029318937755503906,1.141650773917e-09,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.04215,0.0421029,0.042099,0.042068,2.61722923888773e-05,cuda_mixed_edge,True
ALG_1,cuda_edge_reorder_alg1,0.003261,0.0031334,0.003109,0.003094,5.2247700640527905e-05,cuda,case30_ieee,mixed,0.004405,0.0042672,0.00425,0.004217,5.655243388022995e-05,3.132615155131e-13,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.001148,0.0011334,0.001134,0.001122,1.007968253468331e-05,cuda_mixed_edge,True
ALG_1,cuda_edge_reorder_alg1,0.012033,0.0105494,0.010425,0.010185,0.0005337625772652941,cuda,case4601_goc,mixed,0.100698,0.0991608,0.09902749999999999,0.09875,0.0005527452296391963,9.743204021362e-10,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.088708,0.088611,0.08859049999999999,0.088544,5.2372596736164964e-05,cuda_mixed_edge,True
ALG_1,cuda_edge_reorder_alg1,0.004349,0.0041270000000000005,0.0041035,0.004015,0.00011610531617649742,cuda,case793_goc,mixed,0.018462,0.0179935,0.018161,0.017014,0.0004916318066737881,9.862356199985e-09,cuda_edge,5.8,edge_based,end2end,cuda_edge,10,0.014125,0.013866,0.014113500000000001,0.012851,0.0005250828506055023,cuda_mixed_edge,True
ALG_1,cuda_edge_reorder_alg1,0.018646,0.0178089,0.017719,0.017636,0.0003000234990796552,cuda,case8387_pegase,mixed,0.172123,0.1712151,0.1711045,0.17102,0.00032911580197722274,4.998597091799e-09,cuda_edge,7.0,edge_based,end2end,cuda_edge,10,0.153477,0.1534058,0.153393,0.153365,3.7847060652054355e-05,cuda_mixed_edge,True
ALG_1,cuda_edge_reorder_alg1,0.020832,0.019888,0.0196845,0.019564,0.0004798458085677107,cuda,case9241_pegase,mixed,0.209187,0.2082067,0.20798299999999997,0.207836,0.0004925791645343303,3.688734293711e-09,cuda_edge,8.0,edge_based,end2end,cuda_edge,10,0.188355,0.1883183,0.18832749999999998,0.188271,3.0254659879832524e-05,cuda_mixed_edge,True
ALG_1,cuda_edge_reorder_alg1,0.003303,0.0032409,0.0032215,0.003212,3.6713454996469245e-05,cuda,case118_ieee,mixed,0.005877,0.0058048,0.0057865,0.005772,3.87865956227149e-05,1.030927274983e-10,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.002574,0.0025634,0.002561,0.002554,7.396695959082714e-06,cuda_mixed_edge,True
ALG_1,cuda_edge_reorder_alg1,0.005237,0.004951,0.0049015,0.004827,0.00014158468215955513,cuda,case1354_pegase,mixed,0.0262,0.025912400000000002,0.025893,0.025762,0.000148304641419838,7.844058735884e-12,cuda_edge,6.0,edge_based,operators,cuda_edge,10,0.020993,0.0209608,0.020957,0.020931,2.2606783642673847e-05,cuda_mixed_edge,True
ALG_1,cuda_edge_reorder_alg1,0.007461,0.0067746,0.0066365,0.006606,0.0002941311876621646,cuda,case2746wop_k,mixed,0.049703,0.0490029,0.048864000000000005,0.048821,0.00030297687847241487,9.423906099926e-10,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.042249,0.0422276,0.042221999999999996,0.042211,1.307414751841862e-05,cuda_mixed_edge,True
ALG_1,cuda_edge_reorder_alg1,0.003293,0.0031448,0.0031195,0.003106,5.754573060715375e-05,cuda,case30_ieee,mixed,0.004552,0.0043847999999999995,0.0043549999999999995,0.00434,6.430793972062156e-05,3.132615155131e-13,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.001259,0.0012394,0.001235,0.001232,1.0297788327813115e-05,cuda_mixed_edge,True
ALG_1,cuda_edge_reorder_alg1,0.014867,0.0110159,0.0104,0.010289,0.0014723009542888983,cuda,case4601_goc,mixed,0.104336,0.1004906,0.09982450000000001,0.099596,0.0015116941342598212,9.969374215046e-10,cuda_edge,6.0,edge_based,operators,cuda_edge,10,0.090019,0.0894743,0.089445,0.089228,0.00022723900780162356,cuda_mixed_edge,True
ALG_1,cuda_edge_reorder_alg1,0.004347,0.0040992,0.004062,0.004002,0.00010690473433025415,cuda,case793_goc,mixed,0.018577,0.0183417,0.018306,0.018223,0.00010345589505785684,2.814415367425e-12,cuda_edge,6.0,edge_based,operators,cuda_edge,10,0.014264,0.014242,0.0142415,0.014221,1.5011106998930631e-05,cuda_mixed_edge,True
ALG_1,cuda_edge_reorder_alg1,0.018449,0.0174855,0.0174195,0.017193,0.00036381962869287617,cuda,case8387_pegase,mixed,0.17093,0.1699789,0.169914,0.169633,0.0003629807004358336,5.624338772492e-09,cuda_edge,7.0,edge_based,operators,cuda_edge,10,0.152551,0.1524927,0.1524935,0.152436,4.228225264681155e-05,cuda_mixed_edge,True
ALG_1,cuda_edge_reorder_alg1,0.022905,0.020852,0.0205575,0.020328,0.0007544644899971543,cuda,case9241_pegase,mixed,0.213821,0.2111938,0.2109295,0.210644,0.0009421859689042325,2.715077052073e-09,cuda_edge,8.0,edge_based,operators,cuda_edge,10,0.190915,0.1903415,0.1902335,0.190176,0.00023404237508052695,cuda_mixed_edge,True
ALG_2,cuda_edge_reorder_alg2,0.003373,0.0032448,0.003209,0.003177,7.248110864984829e-05,cuda,case118_ieee,mixed,0.005851,0.0057106,0.0056825,0.005632,7.958671022503985e-05,1.13097363255e-10,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.002478,0.0024652,0.0024685,0.002444,1.2281874630708624e-05,cuda_mixed_edge,True
ALG_2,cuda_edge_reorder_alg2,0.00489,0.0045983,0.004527,0.004501,0.0001533145278323111,cuda,case1354_pegase,mixed,0.025501,0.0252069,0.025167500000000002,0.02506,0.00015377505215953175,7.627232179175e-12,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.020666,0.0206081,0.020601500000000002,0.020556,3.708683504066224e-05,cuda_mixed_edge,True
ALG_2,cuda_edge_reorder_alg2,0.006854,0.0061662,0.0060485,0.005995,0.00026974753628779133,cuda,case2746wop_k,mixed,0.048668,0.0479421,0.0478265,0.047727,0.0002859780294591416,8.732106149267e-10,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.041813,0.0417752,0.0417805,0.041731,2.371497417245109e-05,cuda_mixed_edge,True
ALG_2,cuda_edge_reorder_alg2,0.003107,0.0030283000000000003,0.003016,0.002997,3.622169392934447e-05,cuda,case30_ieee,mixed,0.004241,0.0041419000000000004,0.00413,0.004108,4.344460073856504e-05,3.132615155131e-13,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.001134,0.0011134,0.0011145,0.001098,1.0002221975363504e-05,cuda_mixed_edge,True
ALG_2,cuda_edge_reorder_alg2,0.015682,0.0100337,0.0091655,0.008969,0.002060201503089767,cuda,case4601_goc,mixed,0.105405,0.0985714,0.097364,0.09706,0.002557086154199736,7.408476054849e-10,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.089722,0.0885373,0.0880885,0.088021,0.000749579445051986,cuda_mixed_edge,True
ALG_2,cuda_edge_reorder_alg2,0.004252,0.0040383,0.004014,0.003939,9.353080300687625e-05,cuda,case793_goc,mixed,0.018349,0.0180155,0.0181095,0.016819,0.00042881652383170945,9.845253501339e-09,cuda_edge,5.9,edge_based,end2end,cuda_edge,10,0.014128,0.0139764,0.014096,0.012879,0.0003858379625352246,cuda_mixed_edge,True
ALG_2,cuda_edge_reorder_alg2,0.016631,0.0158787,0.015779500000000002,0.015582,0.00032131398627787376,cuda,case8387_pegase,mixed,0.169187,0.1682467,0.16811199999999998,0.167965,0.00037959892576829577,5.643907563524e-09,cuda_edge,7.0,edge_based,end2end,cuda_edge,10,0.152555,0.1523675,0.15235300000000002,0.152272,8.684500881199502e-05,cuda_mixed_edge,True
ALG_2,cuda_edge_reorder_alg2,0.020089,0.0187505,0.0185815,0.018383,0.0005229956978790548,cuda,case9241_pegase,mixed,0.209197,0.2074832,0.2072325,0.207034,0.0006468039029635546,3.683234319971e-09,cuda_edge,8.0,edge_based,end2end,cuda_edge,10,0.189107,0.188732,0.188712,0.188584,0.0001461201940565064,cuda_mixed_edge,True
ALG_2,cuda_edge_reorder_alg2,0.003285,0.0032254,0.003218,0.003195,2.8068170981063675e-05,cuda,case118_ieee,mixed,0.005855,0.005788,0.005781,0.005758,3.004810957263172e-05,1.030927274983e-10,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.002569,0.0025622,0.0025635,0.002556,3.938414796731168e-06,cuda_mixed_edge,True
ALG_2,cuda_edge_reorder_alg2,0.005004,0.0045822,0.004503,0.004486,0.00017584513388522042,cuda,case1354_pegase,mixed,0.025705,0.0253022,0.025250500000000002,0.025155,0.00016750840774918297,9.388850807923e-12,cuda_edge,6.0,edge_based,operators,cuda_edge,10,0.020761,0.0207196,0.0207235,0.020664,3.006733184777924e-05,cuda_mixed_edge,True
ALG_2,cuda_edge_reorder_alg2,0.006801,0.0062066,0.0061189999999999994,0.006041,0.00023235518787695125,cuda,case2746wop_k,mixed,0.048645,0.0480641,0.0479765,0.047882,0.00022968067204514884,8.820544294963e-10,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.041892,0.0418569,0.041858000000000006,0.04182,2.1548137326046928e-05,cuda_mixed_edge,True
ALG_2,cuda_edge_reorder_alg2,0.003158,0.0031137,0.0031065,0.003092,2.3242920068987305e-05,cuda,case30_ieee,mixed,0.0044,0.0043456,0.0043395,0.004321,2.6600751869073118e-05,3.132615155131e-13,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.001247,0.0012311,0.001228,0.001223,7.430417963419785e-06,cuda_mixed_edge,True
ALG_2,cuda_edge_reorder_alg2,0.010861,0.0097838,0.0096945,0.009445,0.0003962537907284508,cuda,case4601_goc,mixed,0.099714,0.0985402,0.098447,0.098188,0.00042884931308483326,1.008970018646e-09,cuda_edge,6.0,edge_based,operators,cuda_edge,10,0.088853,0.0887561,0.088744,0.088706,4.6805626442413354e-05,cuda_mixed_edge,True
ALG_2,cuda_edge_reorder_alg2,0.004137,0.0039077,0.003869,0.003819,0.00010306745364080753,cuda,case793_goc,mixed,0.018188,0.0178225,0.0179195,0.016614,0.0004363396358088247,7.687606551343e-09,cuda_edge,5.9,edge_based,operators,cuda_edge,10,0.01405,0.013914,0.014043,0.012777,0.00039969571759860856,cuda_mixed_edge,True
ALG_2,cuda_edge_reorder_alg2,0.017748,0.0168005,0.016679,0.016487,0.00036592417247293166,cuda,case8387_pegase,mixed,0.171348,0.1703076,0.1701965,0.169955,0.0003925337069744599,6.588193990353e-09,cuda_edge,7.0,edge_based,operators,cuda_edge,10,0.153599,0.1535065,0.15349649999999998,0.153436,4.965492031120209e-05,cuda_mixed_edge,True
ALG_2,cuda_edge_reorder_alg2,0.019689,0.0186442,0.018561,0.018307,0.0003875870654876575,cuda,case9241_pegase,mixed,0.208324,0.2072386,0.20716600000000002,0.206937,0.00039742929489966586,3.316186880653e-09,cuda_edge,8.0,edge_based,operators,cuda_edge,10,0.188745,0.1885936,0.188568,0.188499,7.50528702537963e-05,cuda_mixed_edge,True
