case_name,cudss_reordering_alg,runs,cudss_analysis_ms,cudss_analysis_ms_ratio_vs_default,cudss_analysis_ms_speedup_vs_default,cudss_setup_ms,cudss_setup_ms_ratio_vs_default,cudss_setup_ms_speedup_vs_default,cudss_factorization_ms,cudss_factorization_ms_ratio_vs_default,cudss_factorization_ms_speedup_vs_default,cudss_refactorization_ms,cudss_refactorization_ms_ratio_vs_default,cudss_refactorization_ms_speedup_vs_default,cudss_solve_ms,cudss_solve_ms_ratio_vs_default,cudss_solve_ms_speedup_vs_default,nr_analyze_linear_solve_ms,nr_analyze_linear_solve_ms_ratio_vs_default,nr_analyze_linear_solve_ms_speedup_vs_default,nr_iteration_linear_solve_ms,nr_iteration_linear_solve_ms_ratio_vs_default,nr_iteration_linear_solve_ms_speedup_vs_default
case30_ieee,DEFAULT,10,8.5297,1.0,1.0,1.6472,1.0,1.0,0.0717,1.0,1.0,0.063933333333335,1.0,1.0,0.056625,1.0,1.0,10.1798,1.0,1.0,0.13475,1.0,1.0
case30_ieee,ALG_1,10,1.2748000000000002,0.14945425982156466,6.691010354565421,1.5987,0.9705560951918407,1.0303371489335085,0.3236,4.513249651324965,0.2215698393077874,0.10246666666666,1.602711157455537,0.6239427456083847,0.065025,1.148344370860927,0.8708189158016147,2.8763,0.28254975539794497,3.539199666237875,0.235275,1.7460111317254174,0.5727340346403146
case30_ieee,ALG_2,10,1.2695999999999998,0.14884462525059497,6.7184152488972915,1.5778,0.9578678970373968,1.0439852959817466,0.3239,4.517433751743376,0.2213646187094782,0.1022,1.5985401459853599,0.625570776255724,0.064475,1.1386313465783664,0.8782473827064753,2.8503,0.27999567771468986,3.5714837034698106,0.2346,1.7410018552875695,0.574381926683717
case118_ieee,DEFAULT,10,8.9209,1.0,1.0,1.6743,1.0,1.0,0.0815,1.0,1.0,0.074100000000001,1.0,1.0,0.066275,1.0,1.0,10.598,1.0,1.0,0.155275,1.0,1.0
case118_ieee,ALG_1,10,1.3444,0.15070228340189892,6.635599523951204,1.594,0.9520396583646898,1.0503764115432872,1.1957,14.67116564417178,0.06816090992723928,0.15676666666666,2.11560953666205,0.47267701467151274,0.12992499999999998,1.9603923047906449,0.510101981912642,2.9412000000000003,0.277524061143612,3.6032911736706104,0.5596,3.603928513926904,0.2774749821300929
case118_ieee,ALG_2,10,1.3326,0.14937954690670224,6.694356896292961,1.5901,0.9497103267036971,1.052952644487768,1.1945000000000001,14.656441717791411,0.06822938467978233,0.15650000000001,2.112010796221429,0.47348242811499214,0.13040000000000002,1.9675594115428143,0.5082438650306748,2.9255,0.2760426495565201,3.622628610493933,0.5595,3.6032844952503624,0.2775245755138516
case793_goc,DEFAULT,10,12.047,1.0,1.0,1.6417000000000002,1.0,1.0,0.2479,1.0,1.0,0.11956666666667,1.0,1.0,0.09002,1.0,1.0,13.692,1.0,1.0,0.256225,1.0,1.0
case793_goc,ALG_1,10,1.9278,0.1600232423009878,6.249092229484387,1.6421999999999999,1.0003045623439117,0.9996955303860676,8.236,33.22307382008875,0.030099562894609033,0.497225,4.158558684137046,0.24046793034676456,0.6873400000000001,7.6354143523661415,0.1309686617976547,3.5728,0.26094069529652353,3.8322884012539187,2.75164,10.739155039516051,0.09311719556337311
case793_goc,ALG_2,10,1.8138999999999998,0.1505686062920229,6.641490710623519,1.612,0.9819089967716391,1.018424317617866,8.172,32.964905203711176,0.030335291238374938,0.49464166666667003,4.1369528854194835,0.24172380679617067,0.68364,7.594312375027772,0.1316774910771751,3.4291,0.2504455156295647,3.992884430316993,2.766095,10.795570299541419,0.09263058571741027
case1354_pegase,DEFAULT,10,14.6283,1.0,1.0,1.647,1.0,1.0,0.3104,1.0,1.0,0.180725,1.0,1.0,0.12874000000000002,1.0,1.0,16.2783,1.0,1.0,0.35852,1.0,1.0
case1354_pegase,ALG_1,10,2.529,0.17288406718484034,5.784223013048636,1.6765,1.0179113539769278,0.9824038174768863,13.3932,43.14819587628866,0.023175940029268583,0.611075,3.3812422188407805,0.29574929427647995,0.89014,6.914245766661487,0.1446289347743052,4.2088,0.2585527972822715,3.8676819996198444,4.0812,11.383465357581168,0.08784671175144565
case1354_pegase,ALG_2,10,2.3127999999999997,0.1581044960795171,6.324930819785542,1.5875,0.963873709775349,1.03748031496063,13.328700000000001,42.94039948453609,0.02328809261218273,0.60755,3.361737446396459,0.29746522919924284,0.88718,6.891253689606958,0.14511147681417527,3.9035,0.2397977675801527,4.170180607147432,4.0552,11.310944996095058,0.08840994278950483
case2746wop_k,DEFAULT,10,19.8692,1.0,1.0,1.6493,1.0,1.0,0.4128,1.0,1.0,0.28033333333335003,1.0,1.0,0.16285,1.0,1.0,21.5214,1.0,1.0,0.51175,1.0,1.0
case2746wop_k,ALG_1,10,3.9128,0.19692790852173211,5.078000408914333,1.6535,1.0025465348935911,0.9974599334744482,29.3567,71.11603682170542,0.014061525988956524,1.2733333333333001,4.542211652793903,0.22015706806284607,2.070825,12.716149831132945,0.07864015549358347,5.5694,0.2587842798330964,3.864222357884153,10.40095,20.32427943331705,0.04920223633418102
case2746wop_k,ALG_2,10,3.5049,0.17639864715237655,5.668977716910611,1.5931,0.9659249378524222,1.0352771326344863,29.2716,70.90988372093022,0.014102406428073628,1.2670666666667,4.519857312722799,0.22124592234032092,2.06595,12.686214307645072,0.0788257218228902,5.100899999999999,0.23701524993727172,4.219137799211905,10.35525,20.23497801660967,0.04941937664469714
case4601_goc,DEFAULT,10,29.0396,1.0,1.0,1.6537,1.0,1.0,0.5946,1.0,1.0,0.46265,1.0,1.0,0.22058,1.0,1.0,30.6962,1.0,1.0,0.7620600000000001,1.0,1.0
case4601_goc,ALG_1,10,6.7187,0.23136337966087686,4.3222051885037285,1.6759,1.013424442160005,0.9867533862402291,53.2623,89.57669021190716,0.011163618544448887,3.251175,7.027288446990165,0.14230239836366854,4.25874,19.307008794995014,0.05179466227100034,8.3976,0.2735713215316554,3.6553539106411352,17.613,23.112353358003304,0.04326690512689491
case4601_goc,ALG_2,10,6.0336,0.20777145690711993,4.812980641739592,1.7567,1.062284573985608,0.9413673364831787,53.2777,89.60258997645477,0.011160391683574928,3.248825,7.022209013292986,0.14240533115818796,4.25794,19.303381992927733,0.05180439367393623,7.7931,0.2538783302167695,3.9388946632277273,17.56482,23.049129989764584,0.043385585505573074
case8387_pegase,DEFAULT,10,42.656,1.0,1.0,1.6231,1.0,1.0,0.6578999999999999,1.0,1.0,0.56328,1.0,1.0,0.24173333333332,1.0,1.0,44.2825,1.0,1.0,0.8584166666666699,1.0,1.0
case8387_pegase,ALG_1,10,10.6944,0.2507126781695424,3.988629563135847,1.6897,1.041032591953669,0.9605847191809197,85.5427,130.02386380908953,0.00769089589175932,4.44826,7.897067177957677,0.1266292887556033,7.2319333333334,29.916988416990343,0.03342582435309845,12.3873,0.27973352904646304,3.574830673350932,25.237683333334,29.40027181827074,0.0340132909716349
case8387_pegase,ALG_2,10,9.6315,0.22579472993248315,4.428801328972641,1.803,1.1108372866736491,0.9002218524681087,85.6065,130.12083903328775,0.007685164093848013,4.46472,7.926288879420537,0.1261624469171639,7.2375333333333,29.94015444015595,0.033399961312784436,11.4379,0.2582939084288376,3.871558590300667,25.305133333335,29.4788467139131,0.03392262966407132
case9241_pegase,DEFAULT,10,46.556200000000004,1.0,1.0,1.6488,1.0,1.0,0.6857,1.0,1.0,0.59180000000001,1.0,1.0,0.24191428571430001,1.0,1.0,48.2082,1.0,1.0,0.8896000000000001,1.0,1.0
case9241_pegase,ALG_1,10,12.3568,0.26541685103165635,3.7676582934092973,1.8514,1.1228772440562833,0.8905692989089339,97.0855,141.58597054105294,0.0070628466660829885,4.8650833333334,8.220823476399659,0.12164231513677433,8.5135285714286,35.19233494744105,0.028415278539871743,14.211500000000001,0.29479424662194403,3.3921964606128836,26.762814285714,30.084098792394332,0.03324015144681062
case9241_pegase,ALG_2,10,10.7425,0.23074262933830508,4.333832906679079,1.7702,1.0736293061620572,0.9314201785109028,97.0309,141.50634388216423,0.007066820981769724,4.8908166666667,8.264306635124395,0.12100228659835392,8.5147999999999,35.19759064603506,0.028411035575034393,12.5154,0.25961143539895704,3.851910446330121,26.657457142857,29.965666752312274,0.03337152509455962
