case,runs,buses,iterations_mean,mismatch_ms,mismatch_pct,jacobian_ms,jacobian_pct,linear_solve_ms,linear_solve_pct,voltage_update_ms,voltage_update_pct,non_solve_ms,non_solve_pct,iter_total_ms
case_ACTIVSg200,10,200,3.0,0.0263,14.458493677844968,0.008666666666666666,4.764522631482499,0.13216666666666668,72.65897013010813,0.0134,7.366684991753711,0.04836666666666667,26.58970130108118,0.1819
case_ACTIVSg500,10,500,4.0,0.030100000000000005,11.62611046736192,0.009949999999999999,3.84318269602163,0.20185,77.9644650444187,0.015875,6.131711085361144,0.055925,21.601004248744694,0.25889999999999996
MemphisCase2026_Mar7,10,993,3.0,0.03523333333333334,9.24840318488057,0.008733333333333336,2.2924140344737083,0.322,84.52183043135884,0.013900000000000001,3.648613177005863,0.05786666666666668,15.189430396360141,0.3809666666666666
case_ACTIVSg2000,10,2000,4.0,0.042499999999999996,8.019246190858057,0.009874999999999998,1.8632954384640779,0.46055,86.90032548705126,0.015850000000000003,2.9907071088258883,0.068225,12.873248738148023,0.5299750000000001
Base_Florida_42GW,10,5658,5.0,0.0414,6.1861215707369555,0.01124,1.679517064132449,0.5993999999999999,89.56428187197417,0.015940000000000003,2.381806227960075,0.06858,10.24744486282948,0.66924
Texas7k_20220923,10,6717,4.0,0.047275,6.700209049356909,0.010449999999999997,1.4810615455479572,0.63145,89.49438401303902,0.015075000000000002,2.136555291783298,0.0728,10.317825886688166,0.7055749999999998
Base_Texas_66GW,10,7336,5.0,0.04805999999999999,5.826443275222461,0.011699999999999999,1.4184225201852436,0.7436800000000001,90.15832989840702,0.02002,2.4270785345391945,0.07977999999999999,9.6719443299469,0.8248599999999999
Base_MIOHIN_76GW,10,10189,5.0,0.06652,6.644690840075916,0.01456,1.4544001598241936,0.9017799999999999,90.07891319548497,0.01678,1.6761562281490363,0.09786,9.775247228049146,1.0010999999999999
Base_West_Interconnect_121GW,10,20758,5.7,0.22400666666666663,11.966104169671455,0.02376,1.2692239891880919,1.5978633333333334,85.35549133462607,0.024996666666666667,1.3352848898599188,0.2727633333333333,14.570613048719466,1.8720100000000002
case_ACTIVSg25k,10,25000,5.0,0.10933999999999999,7.109510123932011,0.01892,1.2302170435777726,1.38506,90.05943014681975,0.02326,1.5124127079079805,0.15152,9.852139875417764,1.5379400000000003
case_ACTIVSg70k,10,70000,7.0,0.3154428571428572,8.049505130962581,0.05445714285714286,1.3896432932942058,3.506857142857143,89.48836191969089,0.040600000000000004,1.0360352149900665,0.4105000000000001,10.475183639246856,3.918785714285714
Base_Eastern_Interconnect_515GW,10,78478,6.7,0.35906904761904757,8.110491865522302,0.06727142857142857,1.5194970934656895,3.9527476190476194,89.28290428631128,0.04660952380952381,1.0527951830425546,0.4729499999999999,10.682784142030547,4.4272166666666655
