analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
0.01423,cuda,1354,case1354_pegase,mixed,case1354_pegase,0.016231,5.935387730103e-12,cuda_edge,6,edge_based,0.9675246266077,end2end,1094,cuda_edge,259,1,0.002,cuda_mixed_edge,True
0.014444,cuda,1354,case1354_pegase,mixed,case1354_pegase,0.016441,6.240452599116e-12,cuda_edge,6,edge_based,0.9675246266077,end2end,1094,cuda_edge,259,2,0.001996,cuda_mixed_edge,True
0.014369,cuda,1354,case1354_pegase,mixed,case1354_pegase,0.016404,4.020783705982e-12,cuda_edge,6,edge_based,0.9675246266078,end2end,1094,cuda_edge,259,3,0.002035,cuda_mixed_edge,True
0.01442,cuda,1354,case1354_pegase,mixed,case1354_pegase,0.016439,9.424716655887e-12,cuda_edge,6,edge_based,0.9675246266076,end2end,1094,cuda_edge,259,4,0.002018,cuda_mixed_edge,True
0.014318,cuda,1354,case1354_pegase,mixed,case1354_pegase,0.016337,4.733309050677e-12,cuda_edge,6,edge_based,0.9675246266078,end2end,1094,cuda_edge,259,5,0.002019,cuda_mixed_edge,True
0.014998,cuda,1354,case1354_pegase,mixed,case1354_pegase,0.017011,3.100686374324e-12,cuda_edge,6,edge_based,0.9675246266078,end2end,1094,cuda_edge,259,6,0.002012,cuda_mixed_edge,True
0.014816,cuda,1354,case1354_pegase,mixed,case1354_pegase,0.0168,6.267991840147e-12,cuda_edge,6,edge_based,0.9675246266076,end2end,1094,cuda_edge,259,7,0.001984,cuda_mixed_edge,True
0.014411,cuda,1354,case1354_pegase,mixed,case1354_pegase,0.016398,2.728665794102e-12,cuda_edge,6,edge_based,0.9675246266079,end2end,1094,cuda_edge,259,8,0.001987,cuda_mixed_edge,True
0.014439,cuda,1354,case1354_pegase,mixed,case1354_pegase,0.016423,3.553795618967e-12,cuda_edge,6,edge_based,0.9675246266078,end2end,1094,cuda_edge,259,9,0.001983,cuda_mixed_edge,True
0.018286,cuda,2746,case2746wop_k,mixed,case2746wop_k,0.020489,2.561626466502e-10,cuda_edge,5,edge_based,0.5067134061326,end2end,2396,cuda_edge,349,0,0.002202,cuda_mixed_edge,True
0.016964,cuda,2746,case2746wop_k,mixed,case2746wop_k,0.019161,1.117990273836e-09,cuda_edge,5,edge_based,0.5067134060921,end2end,2396,cuda_edge,349,1,0.002197,cuda_mixed_edge,True
0.017167,cuda,2746,case2746wop_k,mixed,case2746wop_k,0.019492,4.966581877555e-10,cuda_edge,5,edge_based,0.5067134061301,end2end,2396,cuda_edge,349,2,0.002325,cuda_mixed_edge,True
0.017008,cuda,2746,case2746wop_k,mixed,case2746wop_k,0.019235,5.044540695915e-10,cuda_edge,5,edge_based,0.506713406082,end2end,2396,cuda_edge,349,3,0.002226,cuda_mixed_edge,True
0.017301,cuda,2746,case2746wop_k,mixed,case2746wop_k,0.01951,3.538173787511e-10,cuda_edge,5,edge_based,0.5067134061236,end2end,2396,cuda_edge,349,4,0.002208,cuda_mixed_edge,True
0.017323,cuda,2746,case2746wop_k,mixed,case2746wop_k,0.019665,9.737528403983e-10,cuda_edge,5,edge_based,0.5067134061057,end2end,2396,cuda_edge,349,5,0.002341,cuda_mixed_edge,True
0.017585,cuda,2746,case2746wop_k,mixed,case2746wop_k,0.019792,6.110805195192e-10,cuda_edge,5,edge_based,0.5067134061231,end2end,2396,cuda_edge,349,6,0.002206,cuda_mixed_edge,True
0.017756,cuda,2746,case2746wop_k,mixed,case2746wop_k,0.020091,5.46629099775e-10,cuda_edge,5,edge_based,0.5067134061095,end2end,2396,cuda_edge,349,7,0.002335,cuda_mixed_edge,True
0.017609,cuda,2746,case2746wop_k,mixed,case2746wop_k,0.02008,6.553915607894e-10,cuda_edge,5,edge_based,0.5067134061214,end2end,2396,cuda_edge,349,8,0.00247,cuda_mixed_edge,True
0.01751,cuda,2746,case2746wop_k,mixed,case2746wop_k,0.019839,7.033366866593e-10,cuda_edge,5,edge_based,0.5067134060923,end2end,2396,cuda_edge,349,9,0.002328,cuda_mixed_edge,True
0.022972,cuda,4601,case4601_goc,mixed,case4601_goc,0.02757,4.160467526049e-10,cuda_edge,6,edge_based,1.597383209572,end2end,4468,cuda_edge,132,0,0.004597,cuda_mixed_edge,True
0.021758,cuda,4601,case4601_goc,mixed,case4601_goc,0.026364,2.498551931782e-10,cuda_edge,6,edge_based,1.597383209566,end2end,4468,cuda_edge,132,1,0.004605,cuda_mixed_edge,True
0.021584,cuda,4601,case4601_goc,mixed,case4601_goc,0.026202,6.301659194463e-10,cuda_edge,6,edge_based,1.597383209575,end2end,4468,cuda_edge,132,2,0.004617,cuda_mixed_edge,True
0.021934,cuda,4601,case4601_goc,mixed,case4601_goc,0.026537,3.148066271908e-10,cuda_edge,6,edge_based,1.597383209563,end2end,4468,cuda_edge,132,3,0.004603,cuda_mixed_edge,True
0.021725,cuda,4601,case4601_goc,mixed,case4601_goc,0.026303,3.881504007097e-10,cuda_edge,6,edge_based,1.597383209548,end2end,4468,cuda_edge,132,4,0.004578,cuda_mixed_edge,True
0.021798,cuda,4601,case4601_goc,mixed,case4601_goc,0.026381,2.278479474432e-10,cuda_edge,6,edge_based,1.597383209562,end2end,4468,cuda_edge,132,5,0.004582,cuda_mixed_edge,True
0.022526,cuda,4601,case4601_goc,mixed,case4601_goc,0.027103,2.73567168918e-10,cuda_edge,6,edge_based,1.597383209565,end2end,4468,cuda_edge,132,6,0.004577,cuda_mixed_edge,True
0.022774,cuda,4601,case4601_goc,mixed,case4601_goc,0.02738,3.006470628009e-10,cuda_edge,6,edge_based,1.59738320956,end2end,4468,cuda_edge,132,7,0.004605,cuda_mixed_edge,True
0.022851,cuda,4601,case4601_goc,mixed,case4601_goc,0.027464,3.038975737724e-10,cuda_edge,6,edge_based,1.597383209557,end2end,4468,cuda_edge,132,8,0.004613,cuda_mixed_edge,True
0.023167,cuda,4601,case4601_goc,mixed,case4601_goc,0.027761,2.738772542088e-10,cuda_edge,6,edge_based,1.597383209566,end2end,4468,cuda_edge,132,9,0.004593,cuda_mixed_edge,True
0.031792,cuda,8387,case8387_pegase,mixed,case8387_pegase,0.037792,2.292171896734e-09,cuda_edge,7,edge_based,1.225566785121,end2end,6522,cuda_edge,1864,0,0.005999,cuda_mixed_edge,True
0.029992,cuda,8387,case8387_pegase,mixed,case8387_pegase,0.035955,3.176742979782e-09,cuda_edge,7,edge_based,1.225566785104,end2end,6522,cuda_edge,1864,1,0.005963,cuda_mixed_edge,True
0.03025,cuda,8387,case8387_pegase,mixed,case8387_pegase,0.036381,1.22640775313e-09,cuda_edge,7,edge_based,1.225566785127,end2end,6522,cuda_edge,1864,2,0.00613,cuda_mixed_edge,True
0.03065,cuda,8387,case8387_pegase,mixed,case8387_pegase,0.036578,1.604392729782e-09,cuda_edge,7,edge_based,1.225566785108,end2end,6522,cuda_edge,1864,3,0.005928,cuda_mixed_edge,True
0.030451,cuda,8387,case8387_pegase,mixed,case8387_pegase,0.036392,2.072220395277e-09,cuda_edge,7,edge_based,1.225566785114,end2end,6522,cuda_edge,1864,4,0.005941,cuda_mixed_edge,True
0.029966,cuda,8387,case8387_pegase,mixed,case8387_pegase,0.0359,3.102187062787e-09,cuda_edge,7,edge_based,1.225566785083,end2end,6522,cuda_edge,1864,5,0.005933,cuda_mixed_edge,True
0.030515,cuda,8387,case8387_pegase,mixed,case8387_pegase,0.036467,2.940147014741e-09,cuda_edge,7,edge_based,1.225566785128,end2end,6522,cuda_edge,1864,6,0.005952,cuda_mixed_edge,True
0.029933,cuda,8387,case8387_pegase,mixed,case8387_pegase,0.035913,2.999379522528e-09,cuda_edge,7,edge_based,1.225566785132,end2end,6522,cuda_edge,1864,7,0.005979,cuda_mixed_edge,True
0.0302,cuda,8387,case8387_pegase,mixed,case8387_pegase,0.036136,2.765105922009e-09,cuda_edge,7,edge_based,1.225566785109,end2end,6522,cuda_edge,1864,8,0.005936,cuda_mixed_edge,True
0.037696,cuda,8387,case8387_pegase,mixed,case8387_pegase,0.043618,2.149029398879e-09,cuda_edge,7,edge_based,1.2255667851,end2end,6522,cuda_edge,1864,9,0.005922,cuda_mixed_edge,True
0.034084,cuda,9241,case9241_pegase,mixed,case9241_pegase,0.041273,7.050429485025e-10,cuda_edge,8,edge_based,2.014161676709,end2end,7796,cuda_edge,1444,0,0.007189,cuda_mixed_edge,True
0.032804,cuda,9241,case9241_pegase,mixed,case9241_pegase,0.039906,1.263150677805e-09,cuda_edge,8,edge_based,2.014161676689,end2end,7796,cuda_edge,1444,1,0.007101,cuda_mixed_edge,True
0.032471,cuda,9241,case9241_pegase,mixed,case9241_pegase,0.039612,3.863709352458e-10,cuda_edge,8,edge_based,2.014161676695,end2end,7796,cuda_edge,1444,2,0.007141,cuda_mixed_edge,True
0.032181,cuda,9241,case9241_pegase,mixed,case9241_pegase,0.039346,1.594166144487e-10,cuda_edge,8,edge_based,2.014161676696,end2end,7796,cuda_edge,1444,3,0.007165,cuda_mixed_edge,True
0.032571,cuda,9241,case9241_pegase,mixed,case9241_pegase,0.039727,7.51601447746e-10,cuda_edge,8,edge_based,2.014161676688,end2end,7796,cuda_edge,1444,4,0.007156,cuda_mixed_edge,True
0.035204,cuda,9241,case9241_pegase,mixed,case9241_pegase,0.042335,4.277005737421e-10,cuda_edge,8,edge_based,2.014161676708,end2end,7796,cuda_edge,1444,5,0.00713,cuda_mixed_edge,True
0.032626,cuda,9241,case9241_pegase,mixed,case9241_pegase,0.03976,7.549052494227e-10,cuda_edge,8,edge_based,2.01416167672,end2end,7796,cuda_edge,1444,6,0.007133,cuda_mixed_edge,True
0.032552,cuda,9241,case9241_pegase,mixed,case9241_pegase,0.039732,3.915488602563e-10,cuda_edge,8,edge_based,2.014161676695,end2end,7796,cuda_edge,1444,7,0.00718,cuda_mixed_edge,True
0.032612,cuda,9241,case9241_pegase,mixed,case9241_pegase,0.039772,3.84929055644e-10,cuda_edge,8,edge_based,2.014161676708,end2end,7796,cuda_edge,1444,8,0.007159,cuda_mixed_edge,True
0.032526,cuda,9241,case9241_pegase,mixed,case9241_pegase,0.039667,1.272321113049e-09,cuda_edge,8,edge_based,2.014161676695,end2end,7796,cuda_edge,1444,9,0.007141,cuda_mixed_edge,True
