baseline_count_mean,baseline_ms_mean,baseline_sec_mean,case_name,delta_ms_mg_minus_baseline,measurement_mode,metric,mg_count_mean,mg_ms_mean,mg_sec_mean,profile,speedup_baseline_over_mg
,0.9470999999999999,0.0009471,case118_ieee,2.0648000000000004,operators,solve_sec,,3.0119000000000002,0.0030119,cuda_edge,0.3144526710714167
1.0,14.611600000000001,0.0146116,case1354_pegase,6.137599999999998,operators,CUDA.analyze.cudss32.analysis.total_sec,1.0,20.7492,0.0207492,cuda_edge,0.7042006438802461
1.0,1.6624999999999999,0.0016625,case1354_pegase,0.17580000000000004,operators,CUDA.analyze.cudss32.setup.total_sec,1.0,1.8383,0.0018383,cuda_edge,0.9043681662405483
1.0,0.3089,0.00030890000000000003,case1354_pegase,0.5759000000000001,operators,CUDA.solve.factorization32.total_sec,1.0,0.8848,0.0008848,cuda_edge,0.34911844484629295
4.0,0.7231,0.0007231,case1354_pegase,1.7761,operators,CUDA.solve.refactorization32.total_sec,4.0,2.4992,0.0024992,cuda_edge,0.28933258642765686
5.0,0.1062,0.0001062,case1354_pegase,0.0029999999999999914,operators,CUDA.solve.rhsPrepare.total_sec,5.0,0.10919999999999999,0.0001092,cuda_edge,0.9725274725274726
5.0,0.6415,0.0006414999999999999,case1354_pegase,2.3764,operators,CUDA.solve.solve32.total_sec,5.0,3.0179,0.0030179,cuda_edge,0.21256502866231483
1.0,0.4178,0.0004178,case1354_pegase,0.0063999999999999925,operators,NR.analyze.jacobian_builder.total_sec,1.0,0.4242,0.0004242,cuda_edge,0.984912776991985
1.0,16.2768,0.0162768,case1354_pegase,6.313599999999999,operators,NR.analyze.linear_solve.total_sec,1.0,22.5904,0.0225904,cuda_edge,0.7205184503151781
1.0,0.3202,0.0003202,case1354_pegase,0.009400000000000013,operators,NR.analyze.storage_prepare.total_sec,1.0,0.3296,0.0003296,cuda_edge,0.9714805825242718
1.0,17.0166,0.0170166,case1354_pegase,6.3295999999999975,operators,NR.analyze.total.total_sec,1.0,23.346199999999996,0.023346199999999998,cuda_edge,0.7288809313721292
5.0,0.062299999999999994,6.23e-05,case1354_pegase,0.0031000000000000077,operators,NR.iteration.jacobian.total_sec,5.0,0.0654,6.54e-05,cuda_edge,0.9525993883792048
5.0,1.7887,0.0017887,case1354_pegase,4.7317,operators,NR.iteration.linear_solve.total_sec,5.0,6.5204,0.0065204,cuda_edge,0.2743236611250844
6.0,0.2148,0.0002148,case1354_pegase,0.011099999999999999,operators,NR.iteration.mismatch.total_sec,6.0,0.2259,0.0002259,cuda_edge,0.950863213811421
6.0,2.1803,0.0021803,case1354_pegase,4.747599999999999,operators,NR.iteration.total.total_sec,6.0,6.9279,0.0069279,cuda_edge,0.3147129721849334
5.0,0.106,0.000106,case1354_pegase,0.0012999999999999908,operators,NR.iteration.voltage_update.total_sec,5.0,0.10729999999999999,0.00010729999999999999,cuda_edge,0.9878844361602983
1.0,0.0287,2.87e-05,case1354_pegase,0.00039999999999999953,operators,NR.solve.download.total_sec,1.0,0.0291,2.91e-05,cuda_edge,0.9862542955326461
1.0,2.3354999999999997,0.0023355,case1354_pegase,4.7504,operators,NR.solve.total.total_sec,1.0,7.0859,0.0070859,cuda_edge,0.3295982161757857
1.0,0.1227,0.0001227,case1354_pegase,0.0021999999999999993,operators,NR.solve.upload.total_sec,1.0,0.1249,0.0001249,cuda_edge,0.9823859087269816
,17.0178,0.0170178,case1354_pegase,6.329600000000001,operators,analyze_sec,,23.3474,0.0233474,cuda_edge,0.7288948662377823
,19.3549,0.0193549,case1354_pegase,11.080199999999998,operators,elapsed_sec,,30.4351,0.0304351,cuda_edge,0.6359400823391413
,2.3366,0.0023366,case1354_pegase,4.7505,operators,solve_sec,,7.0870999999999995,0.0070871,cuda_edge,0.3296976196187439
1.0,19.8446,0.0198446,case2746wop_k,6.932399999999999,operators,CUDA.analyze.cudss32.analysis.total_sec,1.0,26.776999999999997,0.026777,cuda_edge,0.7411061732083505
1.0,1.6467,0.0016467,case2746wop_k,0.23569999999999994,operators,CUDA.analyze.cudss32.setup.total_sec,1.0,1.8824,0.0018824,cuda_edge,0.8747875053123673
1.0,0.41380000000000006,0.00041380000000000003,case2746wop_k,0.6869000000000001,operators,CUDA.solve.factorization32.total_sec,1.0,1.1007,0.0011007,cuda_edge,0.375942581993277
3.0,0.8397999999999999,0.0008397999999999999,case2746wop_k,1.7122000000000002,operators,CUDA.solve.refactorization32.total_sec,3.0,2.552,0.002552,cuda_edge,0.3290752351097178
4.0,0.132,0.000132,case2746wop_k,0.003999999999999989,operators,CUDA.solve.rhsPrepare.total_sec,4.0,0.136,0.000136,cuda_edge,0.9705882352941178
4.0,0.6357999999999999,0.0006358,case2746wop_k,2.2246,operators,CUDA.solve.solve32.total_sec,4.0,2.8604,0.0028604,cuda_edge,0.22227660467067542
1.0,0.7966000000000001,0.0007966000000000001,case2746wop_k,0.0315999999999999,operators,NR.analyze.jacobian_builder.total_sec,1.0,0.8281999999999999,0.0008282,cuda_edge,0.9618449649843034
1.0,21.494300000000003,0.0214943,case2746wop_k,7.168399999999998,operators,NR.analyze.linear_solve.total_sec,1.0,28.6627,0.0286627,cuda_edge,0.7499049287052512
1.0,0.39130000000000004,0.0003913,case2746wop_k,0.03169999999999996,operators,NR.analyze.storage_prepare.total_sec,1.0,0.423,0.000423,cuda_edge,0.9250591016548464
1.0,22.6839,0.0226839,case2746wop_k,7.231700000000001,operators,NR.analyze.total.total_sec,1.0,29.9156,0.0299156,cuda_edge,0.7582632472689834
4.0,0.0523,5.23e-05,case2746wop_k,0.0025000000000000066,operators,NR.iteration.jacobian.total_sec,4.0,0.0548,5.4800000000000004e-05,cuda_edge,0.9543795620437955
4.0,2.0302000000000002,0.0020302000000000002,case2746wop_k,4.627,operators,NR.iteration.linear_solve.total_sec,4.0,6.6572000000000005,0.0066572,cuda_edge,0.30496304752748904
5.0,0.23220000000000002,0.0002322,case2746wop_k,0.0061999999999999885,operators,NR.iteration.mismatch.total_sec,5.0,0.2384,0.0002384,cuda_edge,0.9739932885906041
5.0,2.4067999999999996,0.0024067999999999997,case2746wop_k,4.6381,operators,NR.iteration.total.total_sec,5.0,7.0449,0.0070449,cuda_edge,0.341637212735454
4.0,0.08520000000000001,8.520000000000001e-05,case2746wop_k,0.0017999999999999895,operators,NR.iteration.voltage_update.total_sec,4.0,0.087,8.7e-05,cuda_edge,0.9793103448275863
1.0,0.0404,4.04e-05,case2746wop_k,0.0007000000000000035,operators,NR.solve.download.total_sec,1.0,0.041100000000000005,4.11e-05,cuda_edge,0.9829683698296836
1.0,2.6435999999999997,0.0026436,case2746wop_k,4.641300000000001,operators,NR.solve.total.total_sec,1.0,7.2849,0.0072849,cuda_edge,0.3628876168512951
1.0,0.1929,0.0001929,case2746wop_k,0.0028999999999999894,operators,NR.solve.upload.total_sec,1.0,0.1958,0.0001958,cuda_edge,0.9851889683350358
,22.685,0.022685,case2746wop_k,7.231999999999998,operators,analyze_sec,,29.916999999999998,0.029917,cuda_edge,0.7582645318715112
,25.330499999999997,0.0253305,case2746wop_k,11.8732,operators,elapsed_sec,,37.2037,0.0372037,cuda_edge,0.6808596994384967
,2.6447,0.0026447,case2746wop_k,4.6417,operators,solve_sec,,7.2864,0.0072864,cuda_edge,0.36296387790953005
1.0,8.483899999999998,0.008483899999999999,case30_ieee,5.992200000000001,operators,CUDA.analyze.cudss32.analysis.total_sec,1.0,14.4761,0.0144761,cuda_edge,0.5860625444698502
1.0,1.5958,0.0015958,case30_ieee,0.23559999999999987,operators,CUDA.analyze.cudss32.setup.total_sec,1.0,1.8314,0.0018314,cuda_edge,0.8713552473517528
1.0,0.06620000000000001,6.620000000000001e-05,case30_ieee,0.20470000000000002,operators,CUDA.solve.factorization32.total_sec,1.0,0.27090000000000003,0.0002709,cuda_edge,0.24437061646363972
3.0,0.1784,0.0001784,case30_ieee,0.5837,operators,CUDA.solve.refactorization32.total_sec,3.0,0.7621,0.0007621,cuda_edge,0.2340900144338013
4.0,0.0382,3.82e-05,case30_ieee,0.007900000000000003,operators,CUDA.solve.rhsPrepare.total_sec,4.0,0.0461,4.61e-05,cuda_edge,0.8286334056399132
4.0,0.2052,0.0002052,case30_ieee,0.8454,operators,CUDA.solve.solve32.total_sec,4.0,1.0506,0.0010506,cuda_edge,0.19531696173615076
1.0,0.014,1.4e-05,case30_ieee,0.001500000000000001,operators,NR.analyze.jacobian_builder.total_sec,1.0,0.0155,1.55e-05,cuda_edge,0.9032258064516129
1.0,10.0822,0.0100822,case30_ieee,6.228300000000003,operators,NR.analyze.linear_solve.total_sec,1.0,16.3105,0.016310500000000002,cuda_edge,0.6181416878697771
1.0,0.2186,0.0002186,case30_ieee,0.04560000000000002,operators,NR.analyze.storage_prepare.total_sec,1.0,0.26420000000000005,0.0002642,cuda_edge,0.8274034822104466
