CUDA.analyze.cudss32.analysis.avg_sec,CUDA.analyze.cudss32.analysis.count,CUDA.analyze.cudss32.analysis.total_sec,CUDA.analyze.cudss32.setup.avg_sec,CUDA.analyze.cudss32.setup.count,CUDA.analyze.cudss32.setup.total_sec,CUDA.solve.factorization32.avg_sec,CUDA.solve.factorization32.count,CUDA.solve.factorization32.total_sec,CUDA.solve.refactorization32.avg_sec,CUDA.solve.refactorization32.count,CUDA.solve.refactorization32.total_sec,CUDA.solve.rhsPrepare.avg_sec,CUDA.solve.rhsPrepare.count,CUDA.solve.rhsPrepare.total_sec,CUDA.solve.solve32.avg_sec,CUDA.solve.solve32.count,CUDA.solve.solve32.total_sec,NR.analyze.jacobian_builder.avg_sec,NR.analyze.jacobian_builder.count,NR.analyze.jacobian_builder.total_sec,NR.analyze.linear_solve.avg_sec,NR.analyze.linear_solve.count,NR.analyze.linear_solve.total_sec,NR.analyze.storage_prepare.avg_sec,NR.analyze.storage_prepare.count,NR.analyze.storage_prepare.total_sec,NR.analyze.total.avg_sec,NR.analyze.total.count,NR.analyze.total.total_sec,NR.iteration.jacobian.avg_sec,NR.iteration.jacobian.count,NR.iteration.jacobian.total_sec,NR.iteration.linear_solve.avg_sec,NR.iteration.linear_solve.count,NR.iteration.linear_solve.total_sec,NR.iteration.mismatch.avg_sec,NR.iteration.mismatch.count,NR.iteration.mismatch.total_sec,NR.iteration.total.avg_sec,NR.iteration.total.count,NR.iteration.total.total_sec,NR.iteration.voltage_update.avg_sec,NR.iteration.voltage_update.count,NR.iteration.voltage_update.total_sec,NR.solve.download.avg_sec,NR.solve.download.count,NR.solve.download.total_sec,NR.solve.total.avg_sec,NR.solve.total.count,NR.solve.total.total_sec,NR.solve.upload.avg_sec,NR.solve.upload.count,NR.solve.upload.total_sec,analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,mg_device_indices,mg_enabled,pq,profile,profile_label,pv,repeat_idx,solve_sec,source_profile,success,variant
0.008993,1,0.008993,0.001838,1,0.001838,8.1e-05,1,8.1e-05,7.4e-05,3,0.000222,1.125e-05,4,4.5e-05,6.625e-05,4,0.000265,4.8e-05,1,4.8e-05,0.010835,1,0.010835,0.000333,1,0.000333,0.011218,1,0.011218,1.25e-05,4,5e-05,0.0001545,4,0.000618,2.24e-05,5,0.000112,0.000171,5,0.000855,1.725e-05,4,6.9e-05,1.8e-05,1,1.8e-05,0.000936,1,0.000936,6.1e-05,1,6.1e-05,0.01122,cuda,118,case118_ieee,mixed,case118_ieee,0.012157,7.407663371595e-11,cuda_mixed_edge,5,edge_based,1.002563617487,operators,,False,64,cuda_edge,CUDA mixed edge,53,0,0.000937,cuda_mixed_edge,True,baseline
0.008908,1,0.008908,0.001586,1,0.001586,8.1e-05,1,8.1e-05,7.366666666667e-05,3,0.000221,1.15e-05,4,4.6e-05,6.65e-05,4,0.000266,3.7e-05,1,3.7e-05,0.010497,1,0.010497,0.000256,1,0.000256,0.010791,1,0.010791,1.225e-05,4,4.9e-05,0.000155,4,0.00062,2.26e-05,5,0.000113,0.000171,5,0.000855,1.725e-05,4,6.9e-05,1.8e-05,1,1.8e-05,0.000937,1,0.000937,6e-05,1,6e-05,0.010792,cuda,118,case118_ieee,mixed,case118_ieee,0.011731,7.530212273034e-11,cuda_mixed_edge,5,edge_based,1.002563617485,operators,,False,64,cuda_edge,CUDA mixed edge,53,1,0.000938,cuda_mixed_edge,True,baseline
0.008903,1,0.008903,0.001576,1,0.001576,8e-05,1,8e-05,7.366666666667e-05,3,0.000221,1.1e-05,4,4.4e-05,6.6e-05,4,0.000264,3.8e-05,1,3.8e-05,0.010482,1,0.010482,0.000252,1,0.000252,0.010773,1,0.010773,1.225e-05,4,4.9e-05,0.000154,4,0.000616,2.26e-05,5,0.000113,0.0001704,5,0.000852,1.725e-05,4,6.9e-05,1.8e-05,1,1.8e-05,0.000932,1,0.000932,5.9e-05,1,5.9e-05,0.010774,cuda,118,case118_ieee,mixed,case118_ieee,0.011708,8.102803367148e-11,cuda_mixed_edge,5,edge_based,1.0025636175,operators,,False,64,cuda_edge,CUDA mixed edge,53,2,0.000933,cuda_mixed_edge,True,baseline
0.008901,1,0.008901,0.002014,1,0.002014,8.1e-05,1,8.1e-05,7.5e-05,3,0.000225,1.175e-05,4,4.7e-05,6.7e-05,4,0.000268,3.9e-05,1,3.9e-05,0.010918,1,0.010918,0.000252,1,0.000252,0.01121,1,0.01121,1.275e-05,4,5.1e-05,0.00015625,4,0.000625,2.28e-05,5,0.000114,0.0001732,5,0.000866,1.725e-05,4,6.9e-05,1.9e-05,1,1.9e-05,0.00095,1,0.00095,6.1e-05,1,6.1e-05,0.011211,cuda,118,case118_ieee,mixed,case118_ieee,0.012162,7.229861154201e-11,cuda_mixed_edge,5,edge_based,1.002563617488,operators,,False,64,cuda_edge,CUDA mixed edge,53,3,0.000951,cuda_mixed_edge,True,baseline
0.008915,1,0.008915,0.001668,1,0.001668,8.2e-05,1,8.2e-05,7.533333333333e-05,3,0.000226,1.2e-05,4,4.8e-05,6.675e-05,4,0.000267,3.7e-05,1,3.7e-05,0.010585,1,0.010585,0.000261,1,0.000261,0.010886,1,0.010886,1.275e-05,4,5.1e-05,0.00015675,4,0.000627,2.26e-05,5,0.000113,0.0001734,5,0.000867,1.725e-05,4,6.9e-05,1.9e-05,1,1.9e-05,0.000951,1,0.000951,6.2e-05,1,6.2e-05,0.010887,cuda,118,case118_ieee,mixed,case118_ieee,0.011839,7.404709643372e-11,cuda_mixed_edge,5,edge_based,1.002563617488,operators,,False,64,cuda_edge,CUDA mixed edge,53,4,0.000952,cuda_mixed_edge,True,baseline
0.008921,1,0.008921,0.001732,1,0.001732,8.1e-05,1,8.1e-05,7.5e-05,3,0.000225,1.2e-05,4,4.8e-05,6.65e-05,4,0.000266,3.8e-05,1,3.8e-05,0.010656,1,0.010656,0.000258,1,0.000258,0.010953,1,0.010953,1.275e-05,4,5.1e-05,0.00015625,4,0.000625,2.28e-05,5,0.000114,0.0001734,5,0.000867,1.725e-05,4,6.9e-05,1.8e-05,1,1.8e-05,0.000949,1,0.000949,6.1e-05,1,6.1e-05,0.010954,cuda,118,case118_ieee,mixed,case118_ieee,0.011905,6.514541694742e-11,cuda_mixed_edge,5,edge_based,1.002563617484,operators,,False,64,cuda_edge,CUDA mixed edge,53,5,0.00095,cuda_mixed_edge,True,baseline
0.008932,1,0.008932,0.001576,1,0.001576,8.1e-05,1,8.1e-05,7.5e-05,3,0.000225,1.2e-05,4,4.8e-05,6.675e-05,4,0.000267,3.8e-05,1,3.8e-05,0.010511,1,0.010511,0.000259,1,0.000259,0.010809,1,0.010809,1.25e-05,4,5e-05,0.00015675,4,0.000627,2.28e-05,5,0.000114,0.0001734,5,0.000867,1.725e-05,4,6.9e-05,1.9e-05,1,1.9e-05,0.000951,1,0.000951,6.1e-05,1,6.1e-05,0.01081,cuda,118,case118_ieee,mixed,case118_ieee,0.011763,6.722012333453e-11,cuda_mixed_edge,5,edge_based,1.002563617486,operators,,False,64,cuda_edge,CUDA mixed edge,53,6,0.000952,cuda_mixed_edge,True,baseline
0.00892,1,0.00892,0.001579,1,0.001579,8.2e-05,1,8.2e-05,7.5e-05,3,0.000225,1.2e-05,4,4.8e-05,6.725e-05,4,0.000269,3.8e-05,1,3.8e-05,0.010502,1,0.010502,0.000259,1,0.000259,0.010802,1,0.010802,1.25e-05,4,5e-05,0.00015675,4,0.000627,2.3e-05,5,0.000115,0.0001736,5,0.000868,1.725e-05,4,6.9e-05,1.8e-05,1,1.8e-05,0.000951,1,0.000951,6.2e-05,1,6.2e-05,0.010803,cuda,118,case118_ieee,mixed,case118_ieee,0.011755,6.76619514659e-11,cuda_mixed_edge,5,edge_based,1.002563617488,operators,,False,64,cuda_edge,CUDA mixed edge,53,7,0.000952,cuda_mixed_edge,True,baseline
0.008922,1,0.008922,0.001578,1,0.001578,8.2e-05,1,8.2e-05,7.533333333333e-05,3,0.000226,1.2e-05,4,4.8e-05,6.75e-05,4,0.00027,3.8e-05,1,3.8e-05,0.010503,1,0.010503,0.00027,1,0.00027,0.010812,1,0.010812,1.25e-05,4,5e-05,0.00015725,4,0.000629,2.28e-05,5,0.000114,0.0001738,5,0.000869,1.725e-05,4,6.9e-05,1.8e-05,1,1.8e-05,0.000953,1,0.000953,6.1e-05,1,6.1e-05,0.010813,cuda,118,case118_ieee,mixed,case118_ieee,0.011767,6.531158381712e-11,cuda_mixed_edge,5,edge_based,1.002563617484,operators,,False,64,cuda_edge,CUDA mixed edge,53,8,0.000954,cuda_mixed_edge,True,baseline
0.008913,1,0.008913,0.001579,1,0.001579,8.3e-05,1,8.3e-05,7.5e-05,3,0.000225,1.2e-05,4,4.8e-05,6.725e-05,4,0.000269,4.4e-05,1,4.4e-05,0.010495,1,0.010495,0.000267,1,0.000267,0.010808,1,0.010808,1.25e-05,4,5e-05,0.000157,4,0.000628,2.26e-05,5,0.000113,0.000174,5,0.00087,1.725e-05,4,6.9e-05,1.8e-05,1,1.8e-05,0.000951,1,0.000951,6.1e-05,1,6.1e-05,0.010809,cuda,118,case118_ieee,mixed,case118_ieee,0.011762,6.99129789903e-11,cuda_mixed_edge,5,edge_based,1.002563617484,operators,,False,64,cuda_edge,CUDA mixed edge,53,9,0.000952,cuda_mixed_edge,True,baseline
