config	case	B	analyze_ms	factor_per_sys_ms	solve_per_sys_ms	relres
custom-tf32	8xxx	256	51.6128	0.0221212	0.00735242	2.32429e-05
cudss-fp64	13K	1	104.54	1.1116	0.44273	2.38411e-13
cudss-fp32	13K	1	80.3454	0.663584	0.278031	0.000111342
custom-fp64	13K	1	89.2609	0.737574	0.467246	2.3477e-13
custom-fp32	13K	1	87.8838	0.393909	0.217238	0.0001237
custom-tf32	13K	1	93.0964	0.37822	0.217498	0.000122394
cudss-fp64	13K	4	73.2908	0.545884	0.201265	2.4696e-13
cudss-fp32	13K	4	134.086	0.329956	0.13863	0.000116214
custom-fp64	13K	4	87.0807	0.226941	0.137035	1
custom-fp32	13K	4	86.9664	0.122668	0.0792937	1
custom-tf32	13K	4	90.8653	0.118184	0.0792787	1
cudss-fp64	13K	16	98.0747	0.404958	0.144184	2.6057e-13
cudss-fp32	13K	16	83.1687	0.247354	0.101991	0.000119536
custom-fp64	13K	16	94.246	0.100906	0.0488704	2.50933e-13
custom-fp32	13K	16	89.5265	0.0520933	0.0256594	0.00012506
custom-tf32	13K	16	88.2926	0.0529506	0.0256324	0.00012784
cudss-fp64	13K	64	148.572	0.369702	0.1304	2.52597e-13
cudss-fp32	13K	64	149.279	0.225876	0.0933935	0.000118887
custom-fp64	13K	64	92.8844	0.0745495	0.0289438	2.54048e-13
custom-fp32	13K	64	98.476	0.0356954	0.0137665	0.000128757
custom-tf32	13K	64	84.4755	0.0386397	0.0137566	0.000128792
cudss-fp64	13K	256	137.237	0.360814	0.126715	2.55653e-13
cudss-fp32	13K	256	137.595	0.22059	0.0910247	0.000119549
custom-fp64	13K	256	91.0831	0.070999	0.0249726	2.56944e-13
custom-fp32	13K	256	87.6801	0.0331422	0.0109018	0.000128228
custom-tf32	13K	256	91.1825	0.0346945	0.0109069	0.000129033
cudss-fp64	25K	1	133.635	1.81869	0.732504	2.9885e-13
cudss-fp32	25K	1	166.248	1.09688	0.451727	0.000147782
custom-fp64	25K	1	165.371	1.87345	0.711184	3.84015e-13
custom-fp32	25K	1	163.857	0.720992	0.3786	0.000143006
custom-tf32	25K	1	161.616	0.594906	0.3785	0.000162936
cudss-fp64	25K	4	133.818	1.15824	0.366658	3.19184e-13
cudss-fp32	25K	4	202.165	0.665701	0.239542	0.000149567
custom-fp64	25K	4	174.847	0.573263	0.215409	1
custom-fp32	25K	4	164.216	0.227416	0.125691	1
custom-tf32	25K	4	164.099	0.189776	0.125608	1
cudss-fp64	25K	16	168.879	1.00567	0.28965	3.97869e-13
cudss-fp32	25K	16	182.565	0.562203	0.193336	0.000146241
custom-fp64	25K	16	163.623	0.275099	0.0850996	4.28812e-13
custom-fp32	25K	16	173.896	0.110631	0.0448272	0.000171398
custom-tf32	25K	16	164.347	0.100276	0.0447796	0.000191925
cudss-fp64	25K	64	196.865	0.965879	0.270205	3.89493e-13
cudss-fp32	25K	64	138.975	0.536068	0.181066	0.000178835
custom-fp64	25K	64	163.724	0.225869	0.056485	4.94635e-13
custom-fp32	25K	64	166.885	0.0929815	0.0261135	0.000178108
custom-tf32	25K	64	165.366	0.0845078	0.0261112	0.000192802
cudss-fp64	25K	256	174.795	0.95667	0.264476	4.07232e-13
cudss-fp32	25K	256	191.694	0.529494	0.177835	0.000182077
custom-fp64	25K	256	172.102	0.218255	0.0507658	4.91568e-13
custom-fp32	25K	256	160.619	0.0907391	0.0218722	0.000178047
custom-tf32	25K	256	168.915	0.0824989	0.0218708	0.000200855
cudss-fp64	usa	1	326.214	4.66814	1.48872	2.03829e-12
cudss-fp32	usa	1	329.814	2.77893	0.963086	0.000898594
custom-fp64	usa	1	627.815	9.19706	1.33981	5.39446e-12
custom-fp32	usa	1	622.364	2.42317	0.715061	0.00503597
custom-tf32	usa	1	619.143	1.89089	0.715352	0.00790323
cudss-fp64	usa	4	363.222	3.52083	0.936652	2.02965e-12
cudss-fp32	usa	4	331.619	2.02087	0.665335	0.00108405
custom-fp64	usa	4	622.564	2.90849	0.43457	1
custom-fp32	usa	4	658.47	0.795768	0.234613	1
custom-tf32	usa	4	618.501	0.71407	0.234655	1
cudss-fp64	usa	16	358.358	3.22812	0.827286	2.09818e-12
cudss-fp32	usa	16	332.197	1.83272	0.605095	0.00108132
custom-fp64	usa	16	635.544	1.33866	0.225509	4.32703e-11
custom-fp32	usa	16	626.387	0.45223	0.108098	0.0129342
custom-tf32	usa	16	639.952	0.445047	0.108169	0.0190286
cudss-fp64	usa	64	291.075	3.15627	0.799555	2.14488e-12
cudss-fp32	usa	64	296.518	1.7851	0.589219	0.00112838
custom-fp64	usa	64	665.741	1.00466	0.183079	2.99153e-11
custom-fp32	usa	64	626.738	0.409627	0.0802073	0.0145567
custom-tf32	usa	64	627.587	0.405172	0.0801217	0.0210217
cudss-fp64	usa	256	307.719	3.13755	0.792609	2.12952e-12
cudss-fp32	usa	256	445.841	1.77446	0.585903	0.00111942
custom-fp64	usa	256	643.408	0.978414	0.176094	4.29326e-11
custom-fp32	usa	256	637.084	0.411921	0.0745885	0.024875
custom-tf32	usa	256	633.367	0.404042	0.0746045	0.0214435
