analyze_sec_delta_modified_minus_standard,analyze_sec_speedup_standard_over_modified,case_name,elapsed_sec_delta_modified_minus_standard,elapsed_sec_speedup_standard_over_modified,measurement_mode,modified_analyze_sec_mean,modified_elapsed_sec_mean,modified_final_mismatch_max,modified_iterations_mean,modified_runs_used,modified_solve_sec_mean,modified_success_all,solve_sec_delta_modified_minus_standard,solve_sec_speedup_standard_over_modified,standard_analyze_sec_mean,standard_elapsed_sec_mean,standard_final_mismatch_max,standard_iterations_mean,standard_runs_used,standard_solve_sec_mean,standard_success_all
-0.006576533333333329,1.0331624248829794,Base_Eastern_Interconnect_515GW,-0.01837432222222221,1.0806181621637538,end2end,0.1983128,0.2279179,6.440973270953e-09,7.0,10,0.0296045,True,-0.011797944444444444,1.398518618603403,0.20488933333333334,0.24629222222222222,7.831011755721e-09,6.666666666666667,9,0.04140244444444444,True
-0.009119422222222222,1.368688261691815,Base_Florida_42GW,-0.009766766666666666,1.340289649725913,end2end,0.02473477777777778,0.028701333333333332,1.916265757185e-11,6.0,9,0.003966,True,-0.0006477000000000002,1.1633131618759456,0.0338542,0.0384681,4.163860783946e-10,5.0,10,0.0046137,True
0.0008517555555555556,0.9774718832010392,Base_MIOHIN_76GW,0.0006440444444444429,0.9853414528055676,end2end,0.037808555555555554,0.043936444444444445,2.599794044725e-10,6.0,9,0.006127444444444444,True,-0.0002075555555555563,1.0338731027979764,0.0369568,0.0432924,2.547273250258e-09,5.0,10,0.006335,True
0.0008967888888888886,0.9684960166749287,Base_Texas_66GW,0.0014682111111111104,0.9560575174005433,end2end,0.028465888888888888,0.03341211111111111,1.484767864213e-11,6.0,9,0.0049455555555555555,True,0.0005712555555555552,0.8844911255897552,0.0275691,0.0319439,4.194600222718e-11,5.0,10,0.0043743,True
-4.747500000000515e-05,1.0008199393357153,Base_West_Interconnect_121GW,-0.0016783249999999944,1.0256121870868917,end2end,0.057900625,0.065528375,8.324193778719e-09,5.0,8,0.007627125,True,-0.0016308750000000004,1.2138256551452875,0.0579481,0.0672067,5.217021280637e-09,5.8,10,0.009258,True
-0.000994666666666668,1.0708928924965355,MemphisCase2026_Mar7,-0.0013252222222222224,1.089540025374804,end2end,0.014030555555555555,0.014800333333333334,7.256705336444e-12,3.0,9,0.0007693333333333333,True,-0.0003306666666666667,1.4298093587521665,0.015025222222222223,0.016125555555555556,1.026759231447e-11,3.0,9,0.0011,True
-0.0008241000000000012,1.0322380002347142,Texas7k_20220923,-0.0015937,1.0561399182753275,end2end,0.025563,0.028388,9.473813037828e-09,4.777777777777778,9,0.0028246666666666667,True,-0.0007691333333333331,1.2722917158366769,0.0263871,0.0299817,1.632241824268e-10,4.0,10,0.0035938,True
-8.02444444444432e-05,1.0071690351681775,case_ACTIVSg200,-0.0001918111111111117,1.0164344255662277,end2end,0.0111932,0.011671299999999999,1.52253376573e-09,3.0,10,0.0004775,True,-0.0001116111111111111,1.2337405468295521,0.011273444444444444,0.01186311111111111,6.675526263781e-12,3.0,9,0.0005891111111111111,True
0.00030024999999999843,0.9817928232493974,case_ACTIVSg2000,0.0001881250000000008,0.9898845970305747,end2end,0.01649075,0.018597875,3.970420013764e-11,5.0,8,0.002106875,True,-0.00011200000000000012,1.0531592999110058,0.0161905,0.01840975,6.198976671246e-09,4.0,8,0.002218875,True
-0.002678822222222224,1.0415187527876464,case_ACTIVSg25k,-0.0027348666666666688,1.0363977552514252,end2end,0.06452077777777777,0.07513833333333333,1.115467038074e-09,6.0,9,0.010617,True,-5.60999999999999e-05,1.005283978525007,0.0671996,0.0778732,4.872614038206e-09,5.0,10,0.0106731,True
