algorithm,analyze_sec_max,analyze_sec_mean,analyze_sec_median,analyze_sec_min,analyze_sec_stdev,backend,case_name,compute,elapsed_sec_max,elapsed_sec_mean,elapsed_sec_median,elapsed_sec_min,elapsed_sec_stdev,final_mismatch_max,implementation,iterations_mean,jacobian,measurement_mode,profile,runs_used,solve_sec_max,solve_sec_mean,solve_sec_median,solve_sec_min,solve_sec_stdev,source_profile,success_all
modified,0.042627,0.037808555555555554,0.037024,0.036504,0.001947226496270471,cuda,Base_MIOHIN_76GW,mixed,0.048731,0.043936444444444445,0.043177,0.042628,0.0019389969127819088,2.599794044725e-10,cuda_edge_modified,6.0,edge_based,end2end,cuda_edge_modified,9,0.006169,0.006127444444444444,0.006123,0.006102,2.1430767083279525e-05,cuda_mixed_edge_modified,True
modified,0.030205,0.028465888888888888,0.027888,0.027516,0.0010654486665771892,cuda,Base_Texas_66GW,mixed,0.03507,0.03341211111111111,0.032813,0.032386,0.0010990312148028874,1.484767864213e-11,cuda_edge_modified,6.0,edge_based,end2end,cuda_edge_modified,9,0.005353,0.0049455555555555555,0.0049,0.004864,0.00015409178361540818,cuda_mixed_edge_modified,True
modified,0.059794,0.057900625,0.058011999999999994,0.055826,0.001503140420918817,cuda,Base_West_Interconnect_121GW,mixed,0.067398,0.065528375,0.065664,0.063442,0.0015060330993801464,8.324193778719e-09,cuda_edge_modified,5.0,edge_based,end2end,cuda_edge_modified,8,0.00767,0.007627125,0.007624499999999999,0.007576,3.0483895045463698e-05,cuda_mixed_edge_modified,True
modified,0.015309,0.014030555555555555,0.013862,0.013641,0.0005042313732581281,cuda,MemphisCase2026_Mar7,mixed,0.01607,0.014800333333333334,0.014649,0.014413,0.0005021451483386056,7.256705336444e-12,cuda_edge_modified,3.0,edge_based,end2end,cuda_edge_modified,9,0.000786,0.0007693333333333333,0.000764,0.000761,9.759610647971575e-06,cuda_mixed_edge_modified,True
modified,0.026792,0.025563,0.025232,0.025094,0.0006250293993085442,cuda,Texas7k_20220923,mixed,0.029688,0.028388,0.028109,0.027791,0.0006103718129140627,9.473813037828e-09,cuda_edge_modified,4.777777777777778,edge_based,end2end,cuda_edge_modified,9,0.003073,0.0028246666666666667,0.002848,0.002538,0.00014821268501717392,cuda_mixed_edge_modified,True
modified,0.011596,0.0111932,0.011151999999999999,0.011125,0.0001423616677495894,cuda,case_ACTIVSg200,mixed,0.012086,0.011671299999999999,0.011629,0.0116,0.00014661063323571645,1.52253376573e-09,cuda_edge_modified,3.0,edge_based,end2end,cuda_edge_modified,10,0.000489,0.0004775,0.00047650000000000004,0.000467,5.9488560991915675e-06,cuda_mixed_edge_modified,True
modified,0.018703,0.01649075,0.016240499999999998,0.016007,0.0009035568999396617,cuda,case_ACTIVSg2000,mixed,0.020841,0.018597875,0.018352,0.018095,0.0009161159373759877,3.970420013764e-11,cuda_edge_modified,5.0,edge_based,end2end,cuda_edge_modified,8,0.002138,0.002106875,0.002107,0.002088,1.6565346790384903e-05,cuda_mixed_edge_modified,True
modified,0.069985,0.06452077777777777,0.063847,0.062199,0.0026153343848243304,cuda,case_ACTIVSg25k,mixed,0.080527,0.07513833333333333,0.074329,0.072643,0.002577261240153974,1.115467038074e-09,cuda_edge_modified,6.0,edge_based,end2end,cuda_edge_modified,9,0.010938,0.010617,0.010537,0.010443,0.00019157113561285775,cuda_mixed_edge_modified,True
modified,0.012796,0.0122388,0.0121785,0.012103,0.0002067015024403819,cuda,case_ACTIVSg500,mixed,0.013865,0.0133029,0.013240499999999999,0.013152,0.00020910202188299283,1.939206406317e-11,cuda_edge_modified,5.0,edge_based,end2end,cuda_edge_modified,10,0.001208,0.0010635,0.0010465000000000001,0.001033,5.190643291325056e-05,cuda_mixed_edge_modified,True
modified,0.185588,0.1713712,0.16812349999999998,0.16549,0.006215991541535791,cuda,case_ACTIVSg70k,mixed,0.234931,0.2200982,0.2167955,0.21412,0.006433933077398647,1.026166800524e-10,cuda_edge_modified,12.0,edge_based,end2end,cuda_edge_modified,10,0.049342,0.0487264,0.0486365,0.048515,0.0002492117350545278,cuda_mixed_edge_modified,True
standard,0.212625,0.1954318888888889,0.192851,0.189022,0.007189008892824599,cuda,Base_Eastern_Interconnect_515GW,mixed,0.249434,0.23579877777777777,0.234442,0.228543,0.006478188284114966,7.781764684023e-09,cuda_edge,6.666666666666667,edge_based,operators,cuda_edge,9,0.04253,0.04036622222222222,0.042226,0.036245,0.0029376012228422774,cuda_mixed_edge,True
standard,0.02692,0.024817,0.025085000000000003,0.023771,0.0009887156652277063,cuda,Base_Florida_42GW,mixed,0.031109,0.029020999999999998,0.029281500000000002,0.027962,0.0009920404337637767,3.34922395373e-10,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.004316,0.0042033,0.0041905,0.004179,4.032933864515461e-05,cuda_mixed_edge,True
standard,0.038414,0.0365262,0.0363145,0.036185,0.0006752377030021017,cuda,Base_MIOHIN_76GW,mixed,0.044846,0.0430231,0.042843,0.042641,0.0006641494895311168,2.45565079382e-09,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.006692,0.006496200000000001,0.0064495,0.006432,9.739587032084863e-05,cuda_mixed_edge,True
standard,0.032819,0.0286495,0.028187999999999998,0.027507,0.0015627594006898328,cuda,Base_Texas_66GW,mixed,0.037998,0.0338462,0.0334585,0.032667,0.0015565967721639115,3.288302963256e-11,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.005381,0.0051959,0.0051725,0.005146,7.121243649188751e-05,cuda_mixed_edge,True
standard,0.058949,0.057280700000000004,0.0575625,0.055246,0.0011962496069893697,cuda,Base_West_Interconnect_121GW,mixed,0.068087,0.0667249,0.0671335,0.063503,0.0014416157177895136,5.782269774102e-09,cuda_edge,5.8,edge_based,operators,cuda_edge,10,0.009983,0.0094436,0.009763,0.008009,0.0007547841781301164,cuda_mixed_edge,True
standard,0.015427,0.0141534,0.013963,0.013827,0.0004808516056609008,cuda,MemphisCase2026_Mar7,mixed,0.01659,0.0153259,0.015119,0.014976,0.0004978827282715392,6.525871541406e-12,cuda_edge,3.0,edge_based,operators,cuda_edge,10,0.001349,0.0011718,0.0011545,0.001136,6.309217243226152e-05,cuda_mixed_edge,True
standard,0.028538,0.026997,0.026767,0.026299,0.0006987199407169911,cuda,Texas7k_20220923,mixed,0.032555,0.0310134,0.0308215,0.030197,0.0007095343073688069,1.131396150861e-10,cuda_edge,4.0,edge_based,operators,cuda_edge,10,0.004111,0.0040158,0.0040275,0.003898,6.442359816092249e-05,cuda_mixed_edge,True
standard,0.01172,0.011269444444444445,0.011204,0.011148,0.0001807291558597498,cuda,case_ACTIVSg200,mixed,0.012366,0.011910555555555556,0.011846,0.011796,0.00018221972389886293,4.60107906959e-12,cuda_edge,3.0,edge_based,operators,cuda_edge,9,0.000648,0.000641,0.000641,0.000635,4.031128874149269e-06,cuda_mixed_edge,True
standard,0.017408,0.0164632,0.016419,0.015996,0.0003790856836594539,cuda,case_ACTIVSg2000,mixed,0.019481,0.0185529,0.0185125,0.018092,0.00037548589261855795,5.35746890556e-09,cuda_edge,4.0,edge_based,operators,cuda_edge,10,0.002109,0.0020894,0.00209,0.002073,1.0895462868144314e-05,cuda_mixed_edge,True
standard,0.077559,0.0686718888888889,0.069237,0.063989,0.004313685849840147,cuda,case_ACTIVSg25k,mixed,0.089056,0.08020155555555555,0.081186,0.075476,0.004310803089654845,3.752981256347e-09,cuda_edge,5.0,edge_based,operators,cuda_edge,9,0.011948,0.011529111111111112,0.011487,0.011379,0.00017978907394808815,cuda_mixed_edge,True
standard,0.012602,0.0121421,0.0120705,0.012018,0.00017389936425671305,cuda,case_ACTIVSg500,mixed,0.013604,0.0131443,0.013082,0.013,0.00017429352636668224,7.459285865313e-11,cuda_edge,4.0,edge_based,operators,cuda_edge,10,0.001015,0.0010017000000000001,0.0010035,0.000981,1.1116054455905973e-05,cuda_mixed_edge,True
standard,0.196347,0.171182125,0.1676375,0.163065,0.010648720760696364,cuda,case_ACTIVSg70k,mixed,0.234566,0.20934875,0.20697749999999998,0.200459,0.010771761412534695,5.207903571746e-09,cuda_edge,7.125,edge_based,operators,cuda_edge,8,0.042621,0.038166125,0.0374495,0.037278,0.001823287880842894,cuda_mixed_edge,True
modified,0.212244,0.1929162857142857,0.191692,0.183399,0.00907781783092327,cuda,Base_Eastern_Interconnect_515GW,mixed,0.236613,0.2169232857142857,0.215738,0.207326,0.009248123768532467,8.430054066793e-09,cuda_edge_modified,7.0,edge_based,operators,cuda_edge_modified,7,0.024369,0.02400642857142857,0.024045,0.023535,0.00025038494173495904,cuda_mixed_edge_modified,True
modified,0.037653,0.026845124999999997,0.024870499999999997,0.02393,0.004607933544830202,cuda,Base_Florida_42GW,mixed,0.043558,0.03163025,0.029958,0.02805,0.0051428119531744775,1.773342583888e-11,cuda_edge_modified,6.0,edge_based,operators,cuda_edge_modified,8,0.005904,0.004784625,0.004736000000000001,0.00412,0.0006973297923405498,cuda_mixed_edge_modified,True
modified,0.03888,0.037281666666666664,0.036903,0.036673,0.0007691318157507203,cuda,Base_MIOHIN_76GW,mixed,0.045142,0.04357888888888889,0.043205,0.04292,0.0007623051299257486,2.635651281265e-10,cuda_edge_modified,6.0,edge_based,operators,cuda_edge_modified,9,0.006487,0.0062966666666666666,0.006271,0.006246,7.366478127300722e-05,cuda_mixed_edge_modified,True
modified,0.03017,0.0285127,0.028339999999999997,0.027561,0.0008590391337612816,cuda,Base_Texas_66GW,mixed,0.035169,0.0335079,0.033332,0.032547,0.0008657757536195829,1.406519345437e-11,cuda_edge_modified,6.0,edge_based,operators,cuda_edge_modified,10,0.005013,0.0049946,0.004999,0.004982,1.062700961387228e-05,cuda_mixed_edge_modified,True
modified,0.061629,0.0574057,0.0574105,0.054459,0.0024305251855880404,cuda,Base_West_Interconnect_121GW,mixed,0.067437,0.0639374,0.0637005,0.06098,0.0024565264636609682,7.193141637885e-09,cuda_edge_modified,5.4,edge_based,operators,cuda_edge_modified,10,0.007636,0.0065312,0.0058365,0.005806,0.0009179555544796273,cuda_mixed_edge_modified,True
modified,0.014958,0.014202444444444445,0.013938,0.013785,0.0004939947143217,cuda,MemphisCase2026_Mar7,mixed,0.015877,0.015129777777777777,0.014861,0.014705,0.000490270531894835,7.258969343932e-12,cuda_edge_modified,3.0,edge_based,operators,cuda_edge_modified,9,0.000966,0.0009268888888888889,0.000923,0.000918,1.5053607910102836e-05,cuda_mixed_edge_modified,True
modified,0.031078,0.026635700000000002,0.0259135,0.025569,0.001703000296861722,cuda,Texas7k_20220923,mixed,0.034623,0.0301031,0.029337500000000002,0.028931,0.001746331039637102,9.955185168268e-09,cuda_edge_modified,4.8,edge_based,operators,cuda_edge_modified,10,0.003567,0.0034669,0.003547,0.00313,0.00017544384983362755,cuda_mixed_edge_modified,True
modified,0.013678,0.011782250000000001,0.011235,0.011152,0.0009381843787717997,cuda,case_ACTIVSg200,mixed,0.014195,0.012300125,0.011754500000000001,0.011668,0.0009381392582432217,1.522481973826e-09,cuda_edge_modified,3.0,edge_based,operators,cuda_edge_modified,8,0.000523,0.00051725,0.000518,0.000511,3.6154430670982353e-06,cuda_mixed_edge_modified,True
modified,0.016677,0.016231125,0.016163999999999998,0.016042,0.00021226293499202506,cuda,case_ACTIVSg2000,mixed,0.018911,0.018419125,0.018347500000000003,0.018226,0.00022810050259855716,3.962326337588e-11,cuda_edge_modified,5.0,edge_based,operators,cuda_edge_modified,8,0.002233,0.0021875,0.0021825,0.002174,1.8928436657202193e-05,cuda_mixed_edge_modified,True
modified,0.074312,0.070166875,0.071719,0.065075,0.0035278804011757573,cuda,case_ACTIVSg25k,mixed,0.089291,0.084062,0.0862435,0.073568,0.005163810995766597,8.137578014994e-10,cuda_edge_modified,6.0,edge_based,operators,cuda_edge_modified,8,0.014979,0.013894625,0.014598,0.008492,0.002189082191075912,cuda_mixed_edge_modified,True
modified,0.012827,0.0121231,0.012033499999999999,0.011977,0.00025632204136376735,cuda,case_ACTIVSg500,mixed,0.013828,0.0131245,0.0130385,0.012979,0.0002558260042381236,1.936981617326e-11,cuda_edge_modified,5.0,edge_based,operators,cuda_edge_modified,10,0.001005,0.0010009,0.0010015,0.000994,2.998147576235824e-06,cuda_mixed_edge_modified,True
modified,0.170343,0.16641922222222222,0.166833,0.162226,0.002315305313440204,cuda,case_ACTIVSg70k,mixed,0.2197,0.21589922222222221,0.216353,0.211642,0.0022993935492743437,6.979238308725e-11,cuda_edge_modified,12.0,edge_based,operators,cuda_edge_modified,9,0.04962,0.049479555555555554,0.049484,0.0493,0.0001099046303746016,cuda_mixed_edge_modified,True
