algorithm,analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
standard,0.012223,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013249,7.610759299567e-11,cuda_edge,4,edge_based,0.03058561719003,end2end,444,cuda_edge,55,6,0.001026,cuda_mixed_edge,True
standard,0.012048,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013082,5.738893268481e-11,cuda_edge,4,edge_based,0.03058561718997,end2end,444,cuda_edge,55,7,0.001034,cuda_mixed_edge,True
standard,0.012137,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013176,7.372382500808e-11,cuda_edge,4,edge_based,0.03058561718993,end2end,444,cuda_edge,55,8,0.001039,cuda_mixed_edge,True
standard,0.01221,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013242,6.681522240755e-11,cuda_edge,4,edge_based,0.03058561718998,end2end,444,cuda_edge,55,9,0.001032,cuda_mixed_edge,True
modified,0.012796,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013865,1.927705062898e-11,cuda_edge_modified,5,edge_based,0.03058561718934,end2end,444,cuda_edge_modified,55,0,0.001069,cuda_mixed_edge_modified,True
modified,0.01219,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.01325,1.933971154307e-11,cuda_edge_modified,5,edge_based,0.03058561718934,end2end,444,cuda_edge_modified,55,1,0.001059,cuda_mixed_edge_modified,True
modified,0.012138,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013174,1.934797855923e-11,cuda_edge_modified,5,edge_based,0.03058561718934,end2end,444,cuda_edge_modified,55,2,0.001035,cuda_mixed_edge_modified,True
modified,0.012271,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013324,1.931484473973e-11,cuda_edge_modified,5,edge_based,0.03058561718934,end2end,444,cuda_edge_modified,55,3,0.001053,cuda_mixed_edge_modified,True
modified,0.012105,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013313,1.92918420529e-11,cuda_edge_modified,5,edge_based,0.03058561718934,end2end,444,cuda_edge_modified,55,4,0.001208,cuda_mixed_edge_modified,True
modified,0.01217,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013204,1.92958590537e-11,cuda_edge_modified,5,edge_based,0.03058561718934,end2end,444,cuda_edge_modified,55,5,0.001033,cuda_mixed_edge_modified,True
modified,0.012302,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013347,1.933033520733e-11,cuda_edge_modified,5,edge_based,0.03058561718934,end2end,444,cuda_edge_modified,55,6,0.001045,cuda_mixed_edge_modified,True
modified,0.012126,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013169,1.928176667347e-11,cuda_edge_modified,5,edge_based,0.03058561718934,end2end,444,cuda_edge_modified,55,7,0.001042,cuda_mixed_edge_modified,True
modified,0.012187,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013231,1.928316476085e-11,cuda_edge_modified,5,edge_based,0.03058561718934,end2end,444,cuda_edge_modified,55,8,0.001043,cuda_mixed_edge_modified,True
modified,0.012103,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013152,1.939206406317e-11,cuda_edge_modified,5,edge_based,0.03058561718934,end2end,444,cuda_edge_modified,55,9,0.001048,cuda_mixed_edge_modified,True
standard,0.014137,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.015244,2.865456802415e-12,cuda_edge,3,edge_based,6.383030323755e-05,end2end,805,cuda_edge,187,0,0.001107,cuda_mixed_edge,True
standard,0.013872,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.014979,4.615006992292e-12,cuda_edge,3,edge_based,6.383030325861e-05,end2end,805,cuda_edge,187,1,0.001106,cuda_mixed_edge,True
standard,0.013852,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.014952,1.951113748969e-12,cuda_edge,3,edge_based,6.383030321921e-05,end2end,805,cuda_edge,187,2,0.0011,cuda_mixed_edge,True
standard,0.013649,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.014734,6.923605386613e-12,cuda_edge,3,edge_based,6.383030319672e-05,end2end,805,cuda_edge,187,3,0.001084,cuda_mixed_edge,True
standard,0.013667,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.014757,3.704238707671e-12,cuda_edge,3,edge_based,6.383030321768e-05,end2end,805,cuda_edge,187,4,0.00109,cuda_mixed_edge,True
standard,0.048308,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.049414,2.382022001408e-12,cuda_edge,3,edge_based,6.38303032467e-05,end2end,805,cuda_edge,187,5,0.001105,cuda_mixed_edge,True
standard,0.014794,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.0159,4.331161548658e-12,cuda_edge,3,edge_based,6.383030323989e-05,end2end,805,cuda_edge,187,6,0.001106,cuda_mixed_edge,True
standard,0.019622,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.020715,4.019443563993e-12,cuda_edge,3,edge_based,6.383030321544e-05,end2end,805,cuda_edge,187,7,0.001093,cuda_mixed_edge,True
standard,0.01735,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.018438,1.026759231447e-11,cuda_edge,3,edge_based,6.383030323028e-05,end2end,805,cuda_edge,187,8,0.001087,cuda_mixed_edge,True
standard,0.014284,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.015411,3.887650439479e-12,cuda_edge,3,edge_based,6.383030323031e-05,end2end,805,cuda_edge,187,9,0.001127,cuda_mixed_edge,True
modified,0.014146,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.01493,7.196235535311e-12,cuda_edge_modified,3,edge_based,6.383030303949e-05,end2end,805,cuda_edge_modified,187,0,0.000784,cuda_mixed_edge_modified,True
modified,0.013911,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.014683,7.017341695789e-12,cuda_edge_modified,3,edge_based,6.38303030289e-05,end2end,805,cuda_edge_modified,187,1,0.000772,cuda_mixed_edge_modified,True
modified,0.013799,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.014781,7.017090139402e-12,cuda_edge_modified,3,edge_based,6.383030299805e-05,end2end,805,cuda_edge_modified,187,2,0.000982,cuda_mixed_edge_modified,True
