algorithm,analyze_sec_max,analyze_sec_mean,analyze_sec_median,analyze_sec_min,analyze_sec_stdev,backend,case_name,compute,elapsed_sec_max,elapsed_sec_mean,elapsed_sec_median,elapsed_sec_min,elapsed_sec_stdev,final_mismatch_max,implementation,iterations_mean,jacobian,measurement_mode,profile,runs,solve_sec_max,solve_sec_mean,solve_sec_median,solve_sec_min,solve_sec_stdev,source_profile,success_all
standard,0.016797,0.0128998,0.012257,0.012048,0.001458887460437652,cuda,case_ACTIVSg500,mixed,0.018156,0.013964299999999999,0.013285,0.013082,0.0015563417255431615,7.610759299567e-11,cuda_edge,4.0,edge_based,end2end,cuda_edge,10,0.001358,0.001064,0.001033,0.001025,0.00010340105307866929,cuda_mixed_edge,True
standard,0.254357,0.1863261,0.173894,0.161784,0.02926676188841761,cuda,case_ACTIVSg70k,mixed,0.294076,0.2310717,0.2256625,0.204722,0.027552450534490677,8.214188125112e-09,cuda_edge,7.1,edge_based,end2end,cuda_edge,10,0.055394,0.044745099999999996,0.041319999999999996,0.036604,0.008243251360287935,cuda_mixed_edge,True
modified,0.215236,0.1983128,0.1960845,0.183853,0.010500826113533483,cuda,Base_Eastern_Interconnect_515GW,mixed,0.248069,0.2279179,0.2256155,0.206928,0.013227496970326625,6.440973270953e-09,cuda_edge_modified,7.0,edge_based,end2end,cuda_edge_modified,10,0.032833,0.0296045,0.0317905,0.023074,0.0039064614920524795,cuda_mixed_edge_modified,True
modified,0.053861,0.0276474,0.024835,0.023947,0.009232043281720226,cuda,Base_Florida_42GW,mixed,0.057859,0.0316171,0.0288005,0.027879,0.009242362966855993,1.916265757185e-11,cuda_edge_modified,6.0,edge_based,end2end,cuda_edge_modified,10,0.004017,0.0039692,0.003959,0.003932,2.6964173761987683e-05,cuda_mixed_edge_modified,True
modified,0.115435,0.0455712,0.037206,0.036504,0.024616191414053742,cuda,Base_MIOHIN_76GW,mixed,0.121855,0.0517283,0.043345499999999995,0.042628,0.024707733476923104,2.599794044725e-10,cuda_edge_modified,6.0,edge_based,end2end,cuda_edge_modified,10,0.006419,0.0061566,0.0061245,0.006102,9.438596882540927e-05,cuda_mixed_edge_modified,True
modified,0.03667,0.0292863,0.027903499999999998,0.027516,0.00278204844793664,cuda,Base_Texas_66GW,mixed,0.041531,0.034224,0.0328255,0.032386,0.0027686273775204117,1.484767864213e-11,cuda_edge_modified,6.0,edge_based,end2end,cuda_edge_modified,10,0.005353,0.0049371,0.0048955000000000005,0.004861,0.00014771929084885594,cuda_mixed_edge_modified,True
modified,0.135928,0.0659693,0.058653,0.055826,0.024630884813132022,cuda,Base_West_Interconnect_121GW,mixed,0.143852,0.073826,0.0662875,0.063442,0.02468379652052469,8.324193778719e-09,cuda_edge_modified,5.1,edge_based,end2end,cuda_edge_modified,10,0.00962,0.0078561,0.007634,0.007576,0.0006273307562823441,cuda_mixed_edge_modified,True
modified,0.015309,0.0140074,0.0138415,0.013641,0.00048100016170013444,cuda,MemphisCase2026_Mar7,mixed,0.01607,0.0147984,0.014666,0.014413,0.000473466460152025,7.256705336444e-12,cuda_edge_modified,3.0,edge_based,end2end,cuda_edge_modified,10,0.000982,0.0007906,0.0007675,0.000761,6.787766773967546e-05,cuda_mixed_edge_modified,True
modified,0.110862,0.0340929,0.025246499999999998,0.025094,0.026980348311111346,cuda,Texas7k_20220923,mixed,0.113458,0.036895,0.0281585,0.027791,0.026907650378449787,9.473813037828e-09,cuda_edge_modified,4.7,edge_based,end2end,cuda_edge_modified,10,0.003073,0.0028017,0.0028475,0.002538,0.0001574830149571693,cuda_mixed_edge_modified,True
modified,0.011596,0.0111932,0.011151999999999999,0.011125,0.0001423616677495894,cuda,case_ACTIVSg200,mixed,0.012086,0.011671299999999999,0.011629,0.0116,0.00014661063323571645,1.52253376573e-09,cuda_edge_modified,3.0,edge_based,end2end,cuda_edge_modified,10,0.000489,0.0004775,0.00047650000000000004,0.000467,5.9488560991915675e-06,cuda_mixed_edge_modified,True
modified,0.117508,0.0271814,0.016259,0.016007,0.03180143776344432,cuda,case_ACTIVSg2000,mixed,0.119832,0.029310799999999998,0.0183665,0.018095,0.031870062269576234,3.970420013764e-11,cuda_edge_modified,5.0,edge_based,end2end,cuda_edge_modified,10,0.002323,0.0021291,0.0021105,0.002088,6.970485396775943e-05,cuda_mixed_edge_modified,True
modified,0.121287,0.0701974,0.0642075,0.062199,0.018119613002980442,cuda,case_ACTIVSg25k,mixed,0.131923,0.0808168,0.074873,0.072643,0.018120543086048317,1.115467038074e-09,cuda_edge_modified,6.0,edge_based,end2end,cuda_edge_modified,10,0.010938,0.0106189,0.0105395,0.010443,0.00018071490745862035,cuda_mixed_edge_modified,True
modified,0.012796,0.0122388,0.0121785,0.012103,0.0002067015024403819,cuda,case_ACTIVSg500,mixed,0.013865,0.0133029,0.013240499999999999,0.013152,0.00020910202188299283,1.939206406317e-11,cuda_edge_modified,5.0,edge_based,end2end,cuda_edge_modified,10,0.001208,0.0010635,0.0010465000000000001,0.001033,5.190643291325056e-05,cuda_mixed_edge_modified,True
modified,0.185588,0.1713712,0.16812349999999998,0.16549,0.006215991541535791,cuda,case_ACTIVSg70k,mixed,0.234931,0.2200982,0.2167955,0.21412,0.006433933077398647,1.026166800524e-10,cuda_edge_modified,12.0,edge_based,end2end,cuda_edge_modified,10,0.049342,0.0487264,0.0486365,0.048515,0.0002492117350545278,cuda_mixed_edge_modified,True
