case_name,high_fence,measurement_mode,median,metric,profile,repeat_idx,value,value_over_median
Base_Eastern_Interconnect_515GW,0.29793959999999997,end2end,0.248283,elapsed_sec,cuda_edge,2,0.323782,1.304084452016449
Base_Eastern_Interconnect_515GW,0.24630419999999997,end2end,0.20525349999999998,analyze_sec,cuda_edge,2,0.282114,1.3744662088588016
Base_Florida_42GW,0.0345606,end2end,0.0288005,elapsed_sec,cuda_edge_modified,8,0.057859,2.008958177809413
Base_Florida_42GW,0.029802,end2end,0.024835,analyze_sec,cuda_edge_modified,8,0.053861,2.1687537749144354
Base_MIOHIN_76GW,0.052014599999999994,end2end,0.043345499999999995,elapsed_sec,cuda_edge_modified,0,0.121855,2.8112491492773186
Base_MIOHIN_76GW,0.044647200000000005,end2end,0.037206,analyze_sec,cuda_edge_modified,0,0.115435,3.10259097994947
Base_Texas_66GW,0.0393906,end2end,0.0328255,elapsed_sec,cuda_edge_modified,7,0.041531,1.2652054043350442
Base_Texas_66GW,0.0334842,end2end,0.027903499999999998,analyze_sec,cuda_edge_modified,7,0.03667,1.3141720572688016
Base_West_Interconnect_121GW,0.07954499999999999,end2end,0.0662875,elapsed_sec,cuda_edge_modified,4,0.143852,2.170122572128984
Base_West_Interconnect_121GW,0.07038359999999999,end2end,0.058653,analyze_sec,cuda_edge_modified,4,0.135928,2.317494416312891
Base_West_Interconnect_121GW,0.0091608,end2end,0.007634,solve_sec,cuda_edge_modified,0,0.00962,1.2601519517946032
MemphisCase2026_Mar7,0.022070625,end2end,0.0153275,elapsed_sec,cuda_edge,5,0.049414,3.2238786494862173
MemphisCase2026_Mar7,0.020992,end2end,0.014210500000000001,analyze_sec,cuda_edge,5,0.048308,3.3994581471447165
MemphisCase2026_Mar7,0.0009209999999999999,end2end,0.0007675,solve_sec,cuda_edge_modified,2,0.000982,1.2794788273615636
Texas7k_20220923,0.0337902,end2end,0.0281585,elapsed_sec,cuda_edge_modified,6,0.113458,4.02926292238578
Texas7k_20220923,0.030295799999999998,end2end,0.025246499999999998,analyze_sec,cuda_edge_modified,6,0.110862,4.3911829362485895
case_ACTIVSg200,0.014149199999999999,end2end,0.011791,elapsed_sec,cuda_edge,8,0.028302,2.4003053176151306
case_ACTIVSg200,0.013443600000000002,end2end,0.011203000000000001,analyze_sec,cuda_edge,8,0.027711,2.473533874854949
case_ACTIVSg2000,0.0221508,end2end,0.018459,elapsed_sec,cuda_edge,0,0.054624,2.959206890947505
case_ACTIVSg2000,0.0221508,end2end,0.018459,elapsed_sec,cuda_edge,1,0.022933,1.2423749932282355
case_ACTIVSg2000,0.019471799999999997,end2end,0.016226499999999998,analyze_sec,cuda_edge,0,0.052393,3.228854035066096
case_ACTIVSg2000,0.019471799999999997,end2end,0.016226499999999998,analyze_sec,cuda_edge,1,0.020696,1.2754444889532557
case_ACTIVSg2000,0.023268249999999997,end2end,0.0183665,elapsed_sec,cuda_edge_modified,0,0.119832,6.524487518035553
