case_name,buses,accounted_ms,mismatch_ms,jacobian_ms,linear_factorize_ms,linear_solve_ms,voltage_update_ms,mismatch_pct,jacobian_pct,linear_factorize_pct,linear_solve_pct,voltage_update_pct
case_ACTIVSg200,200,0.27188888888888885,0.03994444444444445,0.013055555555555555,0.10633333333333334,0.09244444444444445,0.020111111111111114,14.69145892930119,4.80179812014712,39.10911319983654,34.00081732733961,7.396812423375564
case_ACTIVSg500,500,0.3035333333333334,0.03323333333333333,0.011133333333333332,0.14586666666666667,0.0931,0.0202,10.948824950582031,3.6679112672962875,48.05622666373819,30.672084339995603,6.654952778387875
MemphisCase2026_Mar7,993,0.49879999999999997,0.0531,0.013049999999999999,0.25785,0.15395,0.020849999999999997,10.645549318364075,2.616279069767442,51.69406575781878,30.86407377706496,4.180032076984763
case_ACTIVSg2000,2000,0.6424333333333333,0.039766666666666665,0.011133333333333332,0.3801,0.19136666666666666,0.020066666666666667,6.190006745187568,1.7329943444196545,59.16567218388419,29.78778602189592,3.1235407046126706
Base_Florida_42GW,5658,0.919525,0.09182499999999999,0.015825,0.49425,0.29619999999999996,0.021425,9.986134145346782,1.7209972540170193,53.750577743943886,32.21228351594573,2.330007340746581
Texas7k_20220923,6717,1.1090666666666666,0.12056666666666667,0.016666666666666666,0.5960000000000001,0.35406666666666664,0.021766666666666667,10.871002644866556,1.502765087761481,53.738879538350574,31.924741524404904,1.9626112046164945
Base_Texas_66GW,7336,1.12835,0.112525,0.016125,0.618875,0.354875,0.02595,9.972526255151328,1.429077857047902,54.84778659104001,31.450790977976695,2.2998183187840655
Base_MIOHIN_76GW,10189,1.4085249999999998,0.15765,0.020075,0.7847,0.423325,0.022775,11.1925595924815,1.4252498180720967,55.71076125734368,30.054489625672247,1.6169397064304858
Base_West_Interconnect_121GW,20758,1.7975625000000002,0.12141666666666666,0.022770833333333337,1.1123125,0.5119166666666667,0.029145833333333333,6.754517112293266,1.2667617027687958,61.878933277702444,28.478379286765644,1.621408620469849
case_ACTIVSg25k,25000,2.563472222222223,0.4879722222222222,0.024138888888888887,1.169638888888889,0.8518888888888889,0.029833333333333333,19.03559625074497,0.9416481551714793,45.62713333694533,33.2318361597226,1.1637860974156145
case_ACTIVSg70k,70000,5.4565918367346935,0.7693061224489797,0.0650204081632653,2.8220612244897954,1.751530612244898,0.0486734693877551,14.09865618443149,1.191593766012275,51.71838592528041,32.09935184180901,0.8920122824668161
Base_Eastern_Interconnect_515GW,78478,6.142941176470587,0.8364509803921568,0.08056862745098038,3.313431372549019,1.8562549019607841,0.05623529411764705,13.61645759519934,1.3115643652845608,53.93884260589231,30.21768968048773,0.915445753136072
