case_name,delta_ms_modified_minus_standard,metric,modified_count_mean,modified_ms_mean,modified_runs_used,modified_sec_mean,speedup_standard_over_modified,standard_count_mean,standard_ms_mean,standard_runs_used,standard_sec_mean
Base_Eastern_Interconnect_515GW,-2.370888888888889,NR.iteration.mismatch.total_sec,7.0,2.369,7,0.002369,2.000797335959852,6.666666666666667,4.739888888888889,9,0.004739888888888889
Base_Eastern_Interconnect_515GW,-0.2196984126984127,NR.iteration.jacobian.total_sec,3.0,0.23685714285714285,7,0.00023685714285714285,1.9275566277978824,5.666666666666667,0.45655555555555555,9,0.00045655555555555553
Base_Eastern_Interconnect_515GW,-11.393301587301588,NR.iteration.linear.total_sec,6.0,17.905142857142856,7,0.017905142857142856,1.636314475578534,5.666666666666667,29.298444444444442,9,0.029298444444444443
Base_Eastern_Interconnect_515GW,-8.792111111111112,NR.iteration.linear_factorize.total_sec,3.0,9.984,7,0.009984,1.8806201032763534,5.666666666666667,18.77611111111111,9,0.01877611111111111
Base_Eastern_Interconnect_515GW,-2.5992063492063493,NR.iteration.linear_solve.total_sec,6.0,7.9195714285714285,7,0.007919571428571429,1.3282003796100879,5.666666666666667,10.518777777777778,9,0.010518777777777778
Base_Eastern_Interconnect_515GW,0.009333333333333362,NR.iteration.voltage_update.total_sec,6.0,0.328,7,0.000328,0.9715447154471544,5.666666666666667,0.31866666666666665,9,0.00031866666666666664
Base_Eastern_Interconnect_515GW,-0.03590476190476217,CUDA.solve.factorization32.total_sec,1.0,3.4174285714285713,7,0.0034174285714285713,1.0105063679179556,1.0,3.4533333333333336,9,0.0034533333333333334
Base_Eastern_Interconnect_515GW,-8.75590476190476,CUDA.solve.refactorization32.total_sec,2.0,6.565428571428572,7,0.006565428571428572,2.3336379592961687,4.666666666666667,15.321333333333333,9,0.015321333333333333
Base_Eastern_Interconnect_515GW,-1.862809523809524,CUDA.solve.rhsPrepare.total_sec,6.0,1.4788571428571429,7,0.0014788571428571429,2.259627769191139,5.666666666666667,3.341666666666667,9,0.003341666666666667
Base_Eastern_Interconnect_515GW,-0.7560793650793649,CUDA.solve.solve32.total_sec,6.0,6.235142857142858,7,0.0062351428571428575,1.1212609530210227,5.666666666666667,6.9912222222222224,9,0.0069912222222222225
Base_Florida_42GW,0.3112,NR.iteration.mismatch.total_sec,6.0,0.6785,8,0.0006785,0.5413411938098748,5.0,0.36729999999999996,10,0.0003673
Base_Florida_42GW,-0.014299999999999995,NR.iteration.jacobian.total_sec,3.0,0.049,8,4.9e-05,1.2918367346938775,4.0,0.0633,10,6.33e-05
Base_Florida_42GW,0.06952499999999998,NR.iteration.linear.total_sec,5.0,3.2346250000000003,8,0.003234625,0.9785060091973568,4.0,3.1651000000000002,10,0.0031651
Base_Florida_42GW,-0.46925000000000006,NR.iteration.linear_factorize.total_sec,3.0,1.50775,8,0.00150775,1.311225335765213,4.0,1.977,10,0.001977
Base_Florida_42GW,0.5398250000000001,NR.iteration.linear_solve.total_sec,5.0,1.724625,8,0.001724625,0.6869899253460897,4.0,1.1847999999999999,10,0.0011848
Base_Florida_42GW,0.020550000000000013,NR.iteration.voltage_update.total_sec,5.0,0.10625000000000001,8,0.00010625000000000001,0.8065882352941176,4.0,0.0857,10,8.57e-05
Base_Florida_42GW,0.0030499999999998844,CUDA.solve.factorization32.total_sec,1.0,0.56975,8,0.0005697499999999999,0.9946467749012727,1.0,0.5667000000000001,10,0.0005667000000000001
Base_Florida_42GW,-0.4724750000000001,CUDA.solve.refactorization32.total_sec,2.0,0.9376249999999999,8,0.000937625,1.5039061458472205,3.0,1.4101000000000001,10,0.0014101
Base_Florida_42GW,0.29405000000000003,CUDA.solve.rhsPrepare.total_sec,5.0,0.52625,8,0.00052625,0.4412351543942993,4.0,0.23220000000000002,10,0.0002322
Base_Florida_42GW,0.24352500000000007,CUDA.solve.solve32.total_sec,5.0,1.1856250000000002,8,0.001185625,0.7946020031628888,4.0,0.9420999999999999,10,0.0009421
Base_MIOHIN_76GW,0.11551111111111109,NR.iteration.mismatch.total_sec,6.0,0.7461111111111112,9,0.0007461111111111111,0.8451824274013403,5.0,0.6306,10,0.0006306
Base_MIOHIN_76GW,-0.02063333333333333,NR.iteration.jacobian.total_sec,3.0,0.059666666666666666,9,5.966666666666667e-05,1.3458100558659218,4.0,0.0803,10,8.03e-05
Base_MIOHIN_76GW,-0.31748888888888904,NR.iteration.linear.total_sec,5.0,4.51711111111111,9,0.004517111111111111,1.070285826732917,4.0,4.8346,10,0.0048346
Base_MIOHIN_76GW,-0.7801333333333332,NR.iteration.linear_factorize.total_sec,3.0,2.3586666666666662,9,0.0023586666666666665,1.330751837196156,4.0,3.1388,10,0.0031387999999999997
Base_MIOHIN_76GW,0.46303333333333346,NR.iteration.linear_solve.total_sec,5.0,2.1563333333333334,9,0.0021563333333333335,0.7852682021950842,4.0,1.6933,10,0.0016933
Base_MIOHIN_76GW,0.018677777777777783,NR.iteration.voltage_update.total_sec,5.0,0.1097777777777778,9,0.00010977777777777779,0.8298582995951417,4.0,0.0911,10,9.11e-05
Base_MIOHIN_76GW,-0.003166666666666617,CUDA.solve.factorization32.total_sec,1.0,0.8493333333333334,9,0.0008493333333333333,1.0037284144427001,1.0,0.8524999999999999,10,0.0008525
Base_MIOHIN_76GW,-0.7768000000000003,CUDA.solve.refactorization32.total_sec,2.0,1.509,9,0.001509,1.514777998674619,3.0,2.2858,10,0.0022858
Base_MIOHIN_76GW,0.1162444444444444,CUDA.solve.rhsPrepare.total_sec,5.0,0.5034444444444444,9,0.0005034444444444444,0.7691017435444715,4.0,0.3872,10,0.0003872
Base_MIOHIN_76GW,0.3434666666666667,CUDA.solve.solve32.total_sec,5.0,1.6316666666666666,9,0.0016316666666666667,0.7894994892747702,4.0,1.2882,10,0.0012882
Base_Texas_66GW,0.08579999999999997,NR.iteration.mismatch.total_sec,6.0,0.5358999999999999,10,0.0005359,0.8398955028923307,5.0,0.4501,10,0.0004501
Base_Texas_66GW,-0.014099999999999998,NR.iteration.jacobian.total_sec,3.0,0.0504,10,5.04e-05,1.2797619047619047,4.0,0.0645,10,6.45e-05
Base_Texas_66GW,-0.26840000000000025,NR.iteration.linear.total_sec,5.0,3.6287,10,0.0036287,1.0739658830986305,4.0,3.8971,10,0.0038971
Base_Texas_66GW,-0.5910999999999997,NR.iteration.linear_factorize.total_sec,3.0,1.8844,10,0.0018844,1.3136807471874334,4.0,2.4755,10,0.0024755
Base_Texas_66GW,0.32299999999999995,NR.iteration.linear_solve.total_sec,5.0,1.7425,10,0.0017425,0.8146341463414635,4.0,1.4195,10,0.0014195
Base_Texas_66GW,0.002400000000000004,NR.iteration.voltage_update.total_sec,5.0,0.1062,10,0.0001062,0.9774011299435028,4.0,0.1038,10,0.0001038
Base_Texas_66GW,0.0037000000000000357,CUDA.solve.factorization32.total_sec,1.0,0.6932,10,0.0006932,0.9946624350836699,1.0,0.6895,10,0.0006895
Base_Texas_66GW,-0.5948000000000001,CUDA.solve.refactorization32.total_sec,2.0,1.191,10,0.001191,1.4994122586062133,3.0,1.7858,10,0.0017858000000000001
Base_Texas_66GW,0.07180000000000002,CUDA.solve.rhsPrepare.total_sec,5.0,0.3595,10,0.0003595,0.800278164116829,4.0,0.2877,10,0.0002877
Base_Texas_66GW,0.24879999999999997,CUDA.solve.solve32.total_sec,5.0,1.3671,10,0.0013671,0.8180089239997075,4.0,1.1183,10,0.0011183
Base_West_Interconnect_121GW,-0.039300000000000036,NR.iteration.mismatch.total_sec,5.4,0.5435,10,0.0005434999999999999,1.0723091076356945,5.8,0.5828,10,0.0005828
Base_West_Interconnect_121GW,-0.053700000000000005,NR.iteration.jacobian.total_sec,2.4,0.0556,10,5.5599999999999996e-05,1.9658273381294966,4.8,0.1093,10,0.0001093
Base_West_Interconnect_121GW,-2.7929,NR.iteration.linear.total_sec,4.4,5.0066,10,0.0050066,1.5578436463867695,4.8,7.7995,10,0.0077995
Base_West_Interconnect_121GW,-2.6079000000000003,NR.iteration.linear_factorize.total_sec,2.4,2.7312,10,0.0027312,1.9548550087873462,4.8,5.3391,10,0.0053391
Base_West_Interconnect_121GW,-0.18350000000000008,NR.iteration.linear_solve.total_sec,4.4,2.2737,10,0.0022737,1.0807054580639486,4.8,2.4572000000000003,10,0.0024572
Base_West_Interconnect_121GW,-0.011099999999999999,NR.iteration.voltage_update.total_sec,4.4,0.1288,10,0.0001288,1.0861801242236024,4.8,0.1399,10,0.00013989999999999999
Base_West_Interconnect_121GW,-0.0010999999999999725,CUDA.solve.factorization32.total_sec,1.0,1.2071,10,0.0012071,1.0009112749565072,1.0,1.2082,10,0.0012082
Base_West_Interconnect_121GW,-2.6063999999999994,CUDA.solve.refactorization32.total_sec,1.4,1.5238,10,0.0015238,2.7104606903793145,3.8,4.130199999999999,10,0.0041302
Base_West_Interconnect_121GW,-0.02720000000000001,CUDA.solve.rhsPrepare.total_sec,4.4,0.2965,10,0.0002965,1.0917369308600338,4.8,0.3237,10,0.0003237
Base_West_Interconnect_121GW,-0.14979999999999985,CUDA.solve.solve32.total_sec,4.4,1.944,10,0.001944,1.0770576131687242,4.8,2.0938,10,0.0020938
MemphisCase2026_Mar7,-0.0006444444444444526,NR.iteration.mismatch.total_sec,3.0,0.10555555555555556,9,0.00010555555555555555,1.0061052631578948,3.0,0.1062,10,0.0001062
