case_name,n_bus,ybus_nnz,B,init_ms,solve_ms,solve_ms_per_system,iterations,max_final_mismatch,source
case_ACTIVSg25k,25000,85220,256,75.1421,260.215,1.016465,6,3.60238e-11,custom_fp16_scale0_maxiter10_med10
case_ACTIVSg70k,70000,236636,1,356.613,22.1645,22.1645,7,2.4343e-09,custom_fp32_scale0_maxiter10
case_ACTIVSg70k,70000,236636,16,197.5,74.3183,4.6449,7,8.2553e-09,custom_fp32_scale0_maxiter10
case_ACTIVSg70k,70000,236636,64,182.624,291.135,4.54898,8,5.08335e-11,custom_fp32_scale0_maxiter10
case_ACTIVSg70k,70000,236636,256,194.809,1127.88,4.40579,8,5.08335e-11,custom_fp32_scale0_maxiter10
case_ACTIVSg70k,70000,236636,1,364.442,102.974,102.974,30,1.66793e-05,custom_tf32_scale0_maxiter10
case_ACTIVSg70k,70000,236636,16,197.757,312.693,19.5433,30,6.63173e-06,custom_tf32_scale0_maxiter10
case_ACTIVSg70k,70000,236636,64,191.951,1080.12,16.8769,30,6.67019e-06,custom_tf32_scale0_maxiter10
case_ACTIVSg70k,70000,236636,256,188.763,4238.49,16.5566,30,2.60836e-07,custom_tf32_scale0_maxiter10
case_ACTIVSg70k,70000,236636,1,347.78,30.671,30.671,10,4.94959e-10,custom_fp16_scale0_maxiter10
case_ACTIVSg70k,70000,236636,16,189.522,89.9134,5.61959,9,8.39408e-09,custom_fp16_scale0_maxiter10
case_ACTIVSg70k,70000,236636,64,187.318,328.666,5.1354,9,7.72746e-09,custom_fp16_scale0_maxiter10
case_ACTIVSg70k,70000,236636,256,185.373,1596.61,6.23677,11,8.98616e-10,custom_fp16_scale0_maxiter10
case_SyntheticUSA,82000,278406,1,402.627,24.4904,24.4904,8,2.94396e-11,custom_fp32_scale0_maxiter10
case_SyntheticUSA,82000,278406,16,222.686,106.568,6.6605,9,3.41703e-09,custom_fp32_scale0_maxiter10
case_SyntheticUSA,82000,278406,64,247.098,336.124,5.25194,8,7.10006e-11,custom_fp32_scale0_maxiter10
case_SyntheticUSA,82000,278406,256,223.175,1281.27,5.00496,8,9.13681e-11,custom_fp32_scale0_maxiter10
case_SyntheticUSA,82000,278406,1,403.511,95.8187,95.8187,30,1.02642e-05,custom_tf32_scale0_maxiter10
case_SyntheticUSA,82000,278406,16,236.31,345.496,21.5935,30,1.03544e-05,custom_tf32_scale0_maxiter10
case_SyntheticUSA,82000,278406,64,240.042,1193.78,18.6528,30,3.04126e-07,custom_tf32_scale0_maxiter10
case_SyntheticUSA,82000,278406,256,233.991,4879.9,19.0621,30,5.70838e-06,custom_tf32_scale0_maxiter10
case_SyntheticUSA,82000,278406,1,402.818,36.6337,36.6337,12,2.67615e-09,custom_fp16_scale0_maxiter10
case_SyntheticUSA,82000,278406,16,242.55,102.74,6.42126,9,1.31583e-09,custom_fp16_scale0_maxiter10
case_SyntheticUSA,82000,278406,64,238.478,361.68,5.65124,9,8.53088e-09,custom_fp16_scale0_maxiter10
case_SyntheticUSA,82000,278406,256,237.98,1437.14,5.61384,9,2.26777e-10,custom_fp16_scale0_maxiter10
