analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,mg_device_indices,mg_enabled,pq,profile,profile_label,pv,repeat_idx,solve_sec,source_profile,success,variant
0.010419,cuda,30,case30_ieee,mixed,case30_ieee,0.011115,2.329280552552e-13,cuda_mixed_edge,5,edge_based,0.341154734562,end2end,,False,24,cuda_edge,CUDA mixed edge,5,0,0.000695,cuda_mixed_edge,True,baseline
0.016955,cuda,30,case30_ieee,mixed,case30_ieee,0.019254,2.452502295539e-13,cuda_mixed_edge,5,edge_based,0.341154734562,end2end,"0,1",True,24,cuda_edge,CUDA mixed edge,5,0,0.002298,cuda_mixed_edge,True,mg
