case,backend,n_bus,ybus_nnz,n_pv,n_pq,runs,ok_runs,converged_runs,initialize_mean_ms,initialize_median_ms,initialize_min_ms,initialize_max_ms,initialize_std_ms,solve_mean_ms,solve_median_ms,solve_min_ms,solve_max_ms,solve_std_ms,total_mean_ms,total_median_ms,final_mismatch_median,iterations_median,first_error
case10ba,cudss,10,28,0,9,10,10,10,18.15162860439159,18.145151989301667,18.10387900331989,18.225417006760836,0.040334046820843544,0.5591912078671157,0.5549750349018723,0.5511629860848188,0.5709099932573736,0.007604169625408095,18.710819812258705,18.7029619992245,1.453642761717333e-12,5.0,
case10ba,custom,10,28,0,9,10,10,10,0.6801339040976018,0.6896974809933454,0.63065200811252,0.7344570476561785,0.03744396379878032,0.5239884019829333,0.5253799608908594,0.5040350370109081,0.5377479828894138,0.01047303887884726,1.204122306080535,1.2255374749656767,1.4528378500244798e-12,5.0,
case118,cudss,118,476,53,64,10,10,10,19.227205199422315,19.225977535825223,19.147004990372807,19.287006987724453,0.04514862752196478,0.640106009086594,0.6313539925031364,0.6212640437297523,0.7092489977367222,0.025504090450950655,19.86731120850891,19.853684527333826,1.5109140519219495e-12,4.0,
case118,custom,118,476,53,64,10,10,10,0.8876309031620622,0.8767634863033891,0.8489909814670682,0.9592580026946962,0.040968053330037356,0.6119572033639997,0.6092170078773052,0.6010259967297316,0.63386803958565,0.010523349021028465,1.499588106526062,1.4892315084580332,1.4944836686786803e-12,4.0,
case118zh,cudss,118,352,0,117,10,10,10,18.91234879149124,18.908803001977503,18.851871020160615,18.990412005223334,0.0444198290810647,0.763612607261166,0.7644330034963787,0.7480020285584033,0.7790009840391576,0.008325253556212579,19.675961398752406,19.66837700456381,1.6449602097123872e-13,5.0,
case118zh,custom,118,352,0,117,10,10,10,0.8164746046531945,0.8007914875634015,0.7551760063506663,0.903644016943872,0.05476212387671895,0.6352616939693689,0.634353986242786,0.6179979536682367,0.6504200282506645,0.010965523489769124,1.4517362986225635,1.434865000192076,1.0824240809226282e-13,5.0,
case1197,cudss,1197,3589,0,1196,10,10,10,26.64798690821044,26.625394995789975,26.590139023028314,26.76742000039667,0.06161304216505382,1.0313723993021995,1.0305264731869102,1.0175179922953248,1.0629830067045987,0.01260896981769552,27.67935930751264,27.65997900860384,4.64533470172967e-12,4.0,
case1197,custom,1197,3589,0,1196,10,10,10,2.750739606563002,2.749088511336595,2.716792980208993,2.793687046505511,0.02450923012204207,0.8921174972783774,0.8925434958655387,0.8769240230321884,0.9056179551407695,0.00834464204138833,3.6428571038413793,3.6429945030249655,4.64533419382109e-12,4.0,
case12da,cudss,12,34,0,11,10,10,10,18.170697492314503,18.172752985265106,18.097276974003762,18.267315987031907,0.05663678988193787,0.4675706091802567,0.46791249769739807,0.45906001469120383,0.4776950227096677,0.006631768678118248,18.63826810149476,18.635626503964886,2.076505599413192e-10,4.0,
case12da,custom,12,34,0,11,10,10,10,0.6746428145561367,0.670968001941219,0.6292600301094353,0.7762950262986124,0.04098653192424276,0.4364171880297363,0.4339789738878608,0.42881397530436516,0.45069499174132943,0.007832374874873909,1.111060002585873,1.1028524895664304,2.076569714792864e-10,4.0,
