case,backend,repeat,status,initialize_ms,solve_ms,total_ms,iterations,final_mismatch,converged,n_bus,ybus_nnz,n_pv,n_pq,error
case118,custom,3,ok,0.8531200001016259,0.6010259967297316,1.4541459968313575,4,1.4944836686786803e-12,True,118,476,53,64,
case118,cudss,4,ok,19.214191008359194,0.6288390140980482,19.843030022457242,4,1.510914051921949e-12,True,118,476,53,64,
case118,custom,4,ok,0.8489909814670682,0.6012780359014869,1.450269017368555,4,1.4944836686786803e-12,True,118,476,53,64,
case118,cudss,5,ok,19.287006987724453,0.6394489901140332,19.926455977838486,4,1.518674116495918e-12,True,118,476,53,64,
case118,custom,5,ok,0.9068300132639706,0.6072180112823844,1.514048024546355,4,1.4944836686786803e-12,True,118,476,53,64,
case118,cudss,6,ok,19.245620002038777,0.6324760033749044,19.87809600541368,4,1.510914051921949e-12,True,118,476,53,64,
case118,custom,6,ok,0.9578150347806513,0.619591970462352,1.5774070052430034,4,1.4944836686786803e-12,True,118,476,53,64,
case118,cudss,7,ok,19.28313000826165,0.7092489977367222,19.992379005998373,4,1.510914051921949e-12,True,118,476,53,64,
case118,custom,7,ok,0.9592580026946962,0.6187800318002701,1.5780380344949663,4,1.4944836686786803e-12,True,118,476,53,64,
case118,cudss,8,ok,19.18558799661696,0.6302110268734396,19.8157990234904,4,1.5109140519219495e-12,True,118,476,53,64,
case118,custom,8,ok,0.877894985023886,0.6112160044722259,1.4891109894961119,4,1.4944836686786803e-12,True,118,476,53,64,
case118,cudss,9,ok,19.190345949027687,0.6212640437297523,19.81160999275744,4,1.5109140519219495e-12,True,118,476,53,64,
case118,custom,9,ok,0.8756319875828922,0.6180389900691807,1.493670977652073,4,1.4944836686786803e-12,True,118,476,53,64,
case118,cudss,10,ok,19.147004990372807,0.6493880064226687,19.796392996795475,4,1.5109140519219495e-12,True,118,476,53,64,
case118,custom,10,ok,0.8554839878343046,0.63386803958565,1.4893520274199545,4,1.4944836686786803e-12,True,118,476,53,64,
case118zh,cudss,1,ok,18.947539967484772,0.7790009840391576,19.72654095152393,5,1.9845063092827075e-13,True,118,352,0,117,
case118zh,custom,1,ok,0.7895199814811349,0.6504200282506645,1.4399400097317994,5,1.0824240809226282e-13,True,118,352,0,117,
case118zh,cudss,2,ok,18.893959990236908,0.7591129979118705,19.65307298814878,5,2.2652019149305147e-13,True,118,352,0,117,
case118zh,custom,2,ok,0.7551760063506663,0.6364529835991561,1.3916289899498224,5,1.0824240809226282e-13,True,118,352,0,117,
case118zh,cudss,3,ok,18.883620970882475,0.7648339960724115,19.648454966954887,5,1.1181680581451303e-13,True,118,352,0,117,
case118zh,custom,3,ok,0.7565080304630101,0.630502006970346,1.387010037433356,5,1.0824240809226282e-13,True,118,352,0,117,
case118zh,cudss,4,ok,18.9236460137181,0.7600350072607398,19.683681020978838,5,1.243918162918689e-13,True,118,352,0,117,
case118zh,custom,4,ok,0.8617150015197694,0.6423339946195483,1.5040489961393178,5,1.0824240809226282e-13,True,118,352,0,117,
case118zh,cudss,5,ok,18.8736220006831,0.7666170131415129,19.640239013824612,5,1.240934438540009e-13,True,118,352,0,117,
case118zh,custom,5,ok,0.8364779641851783,0.6415219977498055,1.4779999619349837,5,1.0824240809226282e-13,True,118,352,0,117,
case118zh,cudss,6,ok,18.86960497358814,0.7654850487597287,19.635090022347867,5,2.2652713038695538e-13,True,118,352,0,117,
case118zh,custom,6,ok,0.8930640178732574,0.6274560000747442,1.5205200179480016,5,1.0824240809226282e-13,True,118,352,0,117,
case118zh,cudss,7,ok,18.851871020160615,0.7576309726573527,19.609501992817968,5,2.2652713038695538e-13,True,118,352,0,117,
