case_name,ms_mean,ms_stdev,operator,operator_short,runs,scope,sec_mean,sec_stdev,share,success_all
case30_ieee,0.2439575269818306,0.005762727894365698,runpf.load_case_data,load_case_data,10,runpf,0.0002439575269818306,5.7627278943656985e-06,0.02536824756788773,True
case30_ieee,0.4198538139462471,0.007238746530227519,runpf.bus_indexing,bus_indexing,10,runpf,0.0004198538139462471,7.238746530227519e-06,0.04365905666564463,True
case30_ieee,0.9349700063467026,0.011767679678328265,runpf.build_Ybus,build_Ybus,10,runpf,0.0009349700063467026,1.1767679678328265e-05,0.09722409832150503,True
case30_ieee,0.11034589260816574,0.0013153101103264334,runpf.build_Sbus,build_Sbus,10,runpf,0.00011034589260816574,1.3153101103264333e-06,0.011474464249639592,True
case30_ieee,7.907521538436413,0.08328679334834797,runpf.newtonpf,newtonpf,10,runpf,0.007907521538436412,8.328679334834797e-05,0.8222741331953229,True
case30_ieee,0.011074915528297424,0.00023391309753688616,newtonpf.init_index,init_index,10,newtonpf,1.1074915528297425e-05,2.3391309753688616e-07,0.0014105859710964392,True
case30_ieee,0.1603059470653534,0.0012210362188738411,newtonpf.mismatch,mismatch,10,newtonpf,0.0001603059470653534,1.221036218873841e-06,0.020417791850054746,True
case30_ieee,7.166878879070282,0.07505961962992493,newtonpf.jacobian,jacobian,10,newtonpf,0.007166878879070282,7.505961962992493e-05,0.9128285247443392,True
case30_ieee,0.4518333822488785,0.014859058133247146,newtonpf.solve,solve,10,newtonpf,0.0004518333822488785,1.4859058133247146e-05,0.057548956345972624,True
case30_ieee,0.06119403988122941,0.000536001148094455,newtonpf.update_voltage,update_voltage,10,newtonpf,6.11940398812294e-05,5.36001148094455e-07,0.007794141088536891,True
case118_ieee,0.252377986907959,0.002525772493884705,runpf.load_case_data,load_case_data,10,runpf,0.000252377986907959,2.5257724938847052e-06,0.02340016558676052,True
case118_ieee,0.4498187452554703,0.002945187510202728,runpf.bus_indexing,bus_indexing,10,runpf,0.0004498187452554703,2.945187510202728e-06,0.04170662129437451,True
case118_ieee,1.0401038452982903,0.0064790448030825,runpf.build_Ybus,build_Ybus,10,runpf,0.0010401038452982903,6.4790448030824995e-06,0.09643710414523002,True
