analyze_jacobian_builder_ms_mean,case_name,edge_vs_vertex_jacobian_speedup,elapsed_ms_mean,jacobian_count_mean,jacobian_update_ms_mean,jacobian_update_ms_stdev,jacobian_update_per_call_ms,profile,profile_jacobian_speedup_vs_vertex,runs,solve_ms_mean,success_all
0.0157,case30_ieee,1.0453400503778336,25.2241,4.0,0.039700000000000006,0.0011595018087284057,0.009925000000000002,cuda_edge,1.0453400503778336,10,0.7633,True
0.016,case30_ieee,1.0453400503778336,11.1243,4.0,0.0415,0.0008498365855987977,0.010375,cuda_vertex,1.0,10,0.7494,True
0.0386,case118_ieee,1.0227790432801824,12.5225,4.0,0.043899999999999995,0.0007378647873726228,0.010974999999999999,cuda_edge,1.0227790432801824,10,0.8811,True
0.039799999999999995,case118_ieee,1.0227790432801824,12.8322,4.0,0.0449,0.000994428926011753,0.011225,cuda_vertex,1.0,10,0.8634,True
0.30729999999999996,case793_goc,1.2945454545454544,25.651500000000002,5.0,0.055,0.0009428090415820647,0.011,cuda_edge,1.2945454545454544,10,1.5637,True
0.3259,case793_goc,1.2945454545454544,17.0375,4.9,0.0712,0.0043665394383500845,0.014530612244897958,cuda_vertex,1.0,10,1.8703,True
0.5126,case1354_pegase,1.180511182108626,18.855999999999998,5.0,0.0626,0.000699205898780099,0.01252,cuda_edge,1.180511182108626,10,2.344,True
0.5653,case1354_pegase,1.180511182108626,22.0122,5.0,0.0739,0.0026436506745197807,0.01478,cuda_vertex,1.0,10,2.6638,True
1.0092,case2746wop_k,0.9399684044233809,29.276699999999998,4.0,0.0633,0.05963416246861637,0.015825,cuda_edge,0.9399684044233809,10,2.5089,True
0.9867999999999999,case2746wop_k,0.9399684044233809,19.7332,4.0,0.059500000000000004,0.0007071067811865487,0.014875000000000001,cuda_vertex,1.0,10,2.4009,True
1.9780000000000002,case4601_goc,1.4193548387096773,30.172,5.0,0.062,0.0013333333333333324,0.0124,cuda_edge,1.4193548387096773,10,4.2284999999999995,True
2.0947,case4601_goc,1.4193548387096773,29.096400000000003,5.0,0.088,0.0006666666666666648,0.0176,cuda_vertex,1.0,10,4.8552,True
3.6985,case8387_pegase,1.6234636871508379,41.065200000000004,6.0,0.08950000000000001,0.0011785113019775818,0.014916666666666667,cuda_edge,1.6234636871508379,10,6.148499999999999,True
3.6734000000000004,case8387_pegase,1.6234636871508379,38.9445,6.0,0.1453,0.000674948557710551,0.024216666666666668,cuda_vertex,1.0,10,6.1329,True
4.2274,case9241_pegase,1.698224852071006,41.4729,7.0,0.1183,0.0011595018087284083,0.016900000000000002,cuda_edge,1.698224852071006,10,7.2597,True
4.1256,case9241_pegase,1.698224852071006,46.9919,7.0,0.2009,0.058377031251835486,0.0287,cuda_vertex,1.0,10,7.3799,True
