measurement_mode,case_name,nd_label,elapsed_ms_mean,analyze_ms_mean,solve_ms_mean,elapsed_ratio_vs_baseline,elapsed_speedup_vs_baseline,analyze_ratio_vs_baseline,solve_ratio_vs_baseline,runs,success_all
end2end,case30_ieee,auto,10.9326,10.246,0.6859999999999999,1.0,1.0,1.0,1.0,10,True
end2end,case30_ieee,nd_8,10.8925,10.2089,0.683,0.9963320710535462,1.0036814321781042,0.9963790747608823,0.9956268221574345,10,True
end2end,case30_ieee,nd_9,10.878300000000001,10.1987,0.6792,0.9950332034465726,1.004991588759273,0.9953835643177825,0.9900874635568514,10,True
end2end,case30_ieee,nd_10,11.1506,10.432500000000001,0.7177,1.019940361853539,0.9804494825390563,1.0182022252586376,1.0462099125364432,10,True
end2end,case30_ieee,nd_11,11.2318,10.517999999999999,0.7134,1.0273676892962333,0.9733613490268702,1.0265469451493265,1.039941690962099,10,True
end2end,case118_ieee,auto,11.5016,10.7102,0.7908999999999999,1.0,1.0,1.0,1.0,10,True
end2end,case118_ieee,nd_8,11.4344,10.6527,0.7814,0.9941573346317034,1.0058770027286084,0.9946312860637523,0.9879883676823872,10,True
end2end,case118_ieee,nd_9,11.499799999999999,10.709299999999999,0.7898999999999999,0.9998435000347776,1.000156524461295,0.9999159679557805,0.9987356176507776,10,True
end2end,case118_ieee,nd_10,11.7009,10.8602,0.8404,1.0173280239271056,0.9829671221871822,1.014005340703255,1.062586926286509,10,True
end2end,case118_ieee,nd_11,11.5608,10.780100000000001,0.7802,1.0051471099673088,0.9948792471109267,1.0065264887677168,0.9864711088633202,10,True
end2end,case793_goc,auto,15.4729,14.0372,1.435,1.0,1.0,1.0,1.0,10,True
end2end,case793_goc,nd_8,14.8419,13.2616,1.5797,0.9592190216442943,1.0425147723674193,0.9447468156042516,1.1008362369337978,10,True
end2end,case793_goc,nd_9,15.4004,13.7784,1.6217,0.9953143883822684,1.0047076699306512,0.9815632747271535,1.1301045296167247,10,True
end2end,case793_goc,nd_10,15.708900000000002,14.2259,1.4824,1.0152524736797885,0.984976669276652,1.0134428518507965,1.0330313588850173,10,True
end2end,case793_goc,nd_11,15.4502,14.059800000000001,1.3903,0.9985329188452069,1.0014692366441857,1.0016100076938421,0.9688501742160279,10,True
end2end,case1354_pegase,auto,18.8498,16.852,1.9976,1.0,1.0,1.0,1.0,10,True
end2end,case1354_pegase,nd_8,17.4447,15.4971,1.9471,0.9254580950461013,1.0805459537853903,0.9196000474721102,0.9747196635963156,10,True
end2end,case1354_pegase,nd_9,17.8893,15.979899999999999,1.9089,0.9490445521968404,1.0536913126841183,0.9482494659387609,0.9555967160592712,10,True
end2end,case1354_pegase,nd_10,19.2162,17.048399999999997,2.1675,1.0194378720198622,0.9809327546549266,1.011654403038215,1.08505206247497,10,True
end2end,case1354_pegase,nd_11,19.053300000000004,17.1687,1.8841999999999999,1.0107958705132152,0.9893194354783684,1.0187930215998102,0.9432318782539046,10,True
end2end,case2746wop_k,auto,24.610799999999998,22.3678,2.2424,1.0,1.0,1.0,1.0,10,True
end2end,case2746wop_k,nd_8,24.3518,21.4208,2.9305,0.9894761649357193,1.0106357640913608,0.9576623539194735,1.3068587227970032,10,True
end2end,case2746wop_k,nd_9,24.4194,21.8806,2.5380999999999996,0.9922229265200645,1.0078380304184378,0.9782186893659636,1.131867641812344,10,True
end2end,case2746wop_k,nd_10,25.165699999999998,22.6534,2.5118,1.0225470118809628,0.9779501464294654,1.0127683545096076,1.1201391366393152,10,True
end2end,case2746wop_k,nd_11,26.543400000000002,24.2511,2.2916999999999996,1.0785265005607296,0.9271909401207079,1.084196925938179,1.0219853728148411,10,True
end2end,case4601_goc,auto,36.4663,32.3485,4.117500000000001,1.0,1.0,1.0,1.0,10,True
end2end,case4601_goc,nd_8,33.080400000000004,28.824099999999998,4.255699999999999,0.9071498890756672,1.102353659568808,0.8910490440051315,1.0335640558591375,10,True
end2end,case4601_goc,nd_9,34.582800000000006,30.4137,4.1684,0.9483495720706516,1.0544634905212995,0.9401888804735922,1.012361870066788,10,True
end2end,case4601_goc,nd_10,36.388400000000004,32.2617,4.1262,0.9978637810800658,1.0021407921205658,0.9973167225682796,1.0021129326047358,10,True
end2end,case4601_goc,nd_11,38.6907,34.4662,4.224,1.0609987851797413,0.9425081479528672,1.0654651684003895,1.0258652094717668,10,True
end2end,case8387_pegase,auto,53.809799999999996,47.7562,6.053,1.0,1.0,1.0,1.0,10,True
