case_name,nd_label,runs,cudss_analysis_ms,cudss_analysis_ms_ratio_vs_baseline,cudss_analysis_ms_speedup_vs_baseline,cudss_setup_ms,cudss_setup_ms_ratio_vs_baseline,cudss_setup_ms_speedup_vs_baseline,cudss_factorization_ms,cudss_factorization_ms_ratio_vs_baseline,cudss_factorization_ms_speedup_vs_baseline,cudss_refactorization_ms,cudss_refactorization_ms_ratio_vs_baseline,cudss_refactorization_ms_speedup_vs_baseline,cudss_solve_ms,cudss_solve_ms_ratio_vs_baseline,cudss_solve_ms_speedup_vs_baseline,nr_analyze_linear_solve_ms,nr_analyze_linear_solve_ms_ratio_vs_baseline,nr_analyze_linear_solve_ms_speedup_vs_baseline,nr_iteration_linear_solve_ms,nr_iteration_linear_solve_ms_ratio_vs_baseline,nr_iteration_linear_solve_ms_speedup_vs_baseline
case30_ieee,auto,10,8.474,1.0,1.0,1.5574,1.0,1.0,0.0669,1.0,1.0,0.059866666666666,1.0,1.0,0.051399999999999994,1.0,1.0,10.0342,1.0,1.0,0.123575,1.0,1.0
case30_ieee,nd_8,10,8.414200000000001,0.9929431201321691,1.0071070333483871,1.5588,1.0008989341209709,0.9991018732358223,0.066,0.9865470852017938,1.0136363636363637,0.058499999999999,0.977171492204894,1.0233618233618296,0.050625,0.984922178988327,1.0153086419753086,9.9759,0.9941898706424029,1.0058440842430258,0.12145,0.9828039652033178,1.0174969123095925
case30_ieee,nd_9,10,8.4376,0.9957045079065376,1.0043140229449132,1.5538,0.9976884551175036,1.002316900501995,0.0661,0.9880418535127056,1.0121028744326777,0.058833333333334,0.9827394209354341,1.0175637393767476,0.0509,0.9902723735408562,1.0098231827111983,9.9942,0.9960136333738613,1.004002321346381,0.1224,0.9904916042888933,1.0095996732026145
case30_ieee,nd_10,10,8.5236,1.0058531980174652,0.994180862546342,1.6459000000000001,1.0568254783613718,0.9462300261255239,0.0713,1.0657698056801197,0.938288920056101,0.063866666666666,1.0668151447661478,0.9373695198329847,0.0564,1.0972762645914398,0.9113475177304964,10.1723,1.0137629307767435,0.986423915928551,0.1347,1.0900262998179242,0.9174090571640684
case30_ieee,nd_11,10,8.5379,1.0075407127684683,0.9925157240070743,1.5624,1.0032104790034675,0.9967997951868919,0.0659,0.9850523168908819,1.015174506828528,0.058633333333333995,0.9793986636971267,1.0210346787947469,0.05125,0.9970817120622568,1.0029268292682927,10.1032,1.006876482430089,0.9931704806397974,0.122375,0.9902892979971677,1.009805924412666
case118_ieee,auto,10,8.9081,1.0,1.0,1.5492,1.0,1.0,0.0757,1.0,1.0,0.06936666666666799,1.0,1.0,0.061325,1.0,1.0,10.4606,1.0,1.0,0.1429,1.0,1.0
case118_ieee,nd_8,10,8.838,0.992130757400568,1.0079316587463227,1.5534,1.0027110766847405,0.9972962533796833,0.0769,1.0158520475561426,0.9843953185955787,0.070166666666664,1.0115329168668332,0.9885985748219092,0.061425,1.0016306563391766,0.9983719983719983,10.3945,0.9936810508001455,1.0063591322333925,0.14415,1.0087473757872638,0.9913284772806105
case118_ieee,nd_9,10,8.8525,0.9937584894646445,1.0062807116633719,1.5521,1.0018719339013686,0.9981315636879067,0.0765,1.010568031704095,0.9895424836601308,0.06963333333333199,1.0038443056222586,0.9961704164672474,0.061175,0.9975540154912352,1.0024519820187985,10.4074,0.9949142496606315,1.0051117474104962,0.14350000000000002,1.0041987403778867,0.9958188153310104
case118_ieee,nd_10,10,8.9571,1.0055006118027414,0.9945294794073973,1.658,1.0702297960237541,0.93437876960193,0.0829,1.095112285336856,0.9131483715319663,0.075433333333333,1.0874579529072306,0.9195757843570698,0.067925,1.1076233183856503,0.902834008097166,10.618,1.0150469380341474,0.9851761160293839,0.158475,1.1089923023093073,0.9017195141189461
case118_ieee,nd_11,10,8.9579,1.005590417709725,0.9944406613157101,1.5727,1.0151691195455719,0.98505754435048,0.07629999999999999,1.0079260237780712,0.9921363040629098,0.069833333333334,1.0067275348390101,0.993317422434377,0.06165,1.0052996331023238,0.9947283049472829,10.5335,1.0069690075139095,0.993079223430009,0.14385,1.0066480055983205,0.9933958985053876
case793_goc,auto,10,11.999,1.0,1.0,1.5471,1.0,1.0,0.2202,1.0,1.0,0.11414166666666001,1.0,1.0,0.08444,1.0,1.0,13.549,1.0,1.0,0.235015,1.0,1.0
case793_goc,nd_8,10,11.2415,0.9368697391449288,1.067384245874661,1.5731,1.0168056363518843,0.9834721251032992,0.2283,1.0367847411444142,0.9645203679369251,0.121225,1.0620573848288566,0.9415687083246855,0.09926,1.1755092373282805,0.850695144066089,12.8174,0.946003395084508,1.057078658698332,0.257125,1.0940791013339575,0.9140106951871658
case793_goc,nd_9,10,11.7582,0.9799316609717477,1.0204793250667619,1.6348,1.0566867041561632,0.9463542941032541,0.2592,1.1771117166212532,0.8495370370370371,0.1325,1.1608381397386967,0.8614465408804528,0.10711999999999999,1.268593083846518,0.7882748319641524,13.395999999999999,0.9887076537013801,1.0114213197969544,0.28398,1.2083484032934069,0.8275758856257482
case793_goc,nd_10,10,12.0419,1.0035752979414951,0.9964374392745331,1.6720000000000002,1.080731691551936,0.9252990430622008,0.25279999999999997,1.1480472297910989,0.8710443037974684,0.11989166666667,1.050375994743465,0.9520400361436588,0.08991,1.0647797252486972,0.939161383605828,13.7168,1.0123846778360026,0.987766826081885,0.256935,1.0932706422994278,0.914686593885613
case793_goc,nd_11,10,12.0727,1.006142178514876,0.9938953175346029,1.5923,1.0292159524271218,0.9716133894366639,0.2191,0.9950045413260671,1.0050205385668645,0.11384166666667,0.9973716872308679,1.0026352390014492,0.08369499999999999,0.9911771672193272,1.0089013680626084,13.6679,1.0087755553915418,0.9913007850511052,0.232335,0.9885964725655809,1.0115350678976478
case1354_pegase,auto,10,14.5645,1.0,1.0,1.6076,1.0,1.0,0.2835,1.0,1.0,0.17504999999999998,1.0,1.0,0.12346,1.0,1.0,16.1751,1.0,1.0,0.33555999999999997,1.0,1.0
case1354_pegase,nd_8,10,13.2048,0.9066428644992962,1.1029701320731855,1.5839,0.9852575267479473,1.0149630658501168,0.2738,0.9657848324514992,1.035427319211103,0.166575,0.951585261353899,1.0508779828905896,0.1167,0.9452454236189859,1.0579263067694944,14.7917,0.9144734808440134,1.0935254230413003,0.3213,0.9575038741208726,1.0443821973233738
case1354_pegase,nd_9,10,13.751999999999999,0.9442136702255483,1.059082315299593,1.6156000000000001,1.004976362279174,0.9950482792770486,0.27290000000000003,0.9626102292768961,1.0388420666910954,0.1677,0.9580119965724079,1.0438282647584973,0.11534,0.9342297100275393,1.0704005548812208,15.3703,0.9502445116258941,1.0523607216514967,0.31996,0.9535105495291455,1.0487560945118137
