case_name,transition,standard_actual_ratio,modified_actual_ratio,modified_jacobian_age,modified_phase,modified_over_standard
Base_Eastern_Interconnect_515GW,F0->F1,0.030630301683954635,0.030630301683954635,0,factorization,1.0
Base_Eastern_Interconnect_515GW,F1->F2,0.05866901658197405,0.07667652526244674,1,solve_only,1.3069338763384943
Base_Eastern_Interconnect_515GW,F2->F3,0.03162489731136943,0.08612074089498688,0,refactorization,2.7231943252516335
Base_Eastern_Interconnect_515GW,F3->F4,0.0005503102054008285,0.07644792465882493,1,solve_only,138.9178756064367
Base_Eastern_Interconnect_515GW,F4->F5,0.00035101210202988594,0.0005986120175987137,0,refactorization,1.7053885439760323
Base_Eastern_Interconnect_515GW,F5->F6,,0.00037248044859663706,1,solve_only,
Base_West_Interconnect_121GW,F0->F1,0.015374191171170356,0.015373972755418432,0,factorization,0.9999857933500701
Base_West_Interconnect_121GW,F1->F2,0.011726647344536002,0.03038560697052739,1,solve_only,2.5911589287014314
Base_West_Interconnect_121GW,F2->F3,0.0006353402762437987,0.0005027390612972748,0,refactorization,0.7912910295401436
Base_West_Interconnect_121GW,F3->F4,0.002082431145041521,0.0011789360106017068,1,solve_only,0.5661344498274877
MemphisCase2026_Mar7,F0->F1,2.133629379679576e-05,2.1349240411623723e-05,0,factorization,1.0006067883649927
MemphisCase2026_Mar7,F1->F2,3.017994411810811e-05,4.537725913433721e-05,1,solve_only,1.503556764610132
Texas7k_20220923,F0->F1,0.00852502123293667,0.008524966672451591,0,factorization,0.9999935999590396
Texas7k_20220923,F1->F2,0.0002635804895303572,0.03185960162189776,1,solve_only,120.87238201380005
Texas7k_20220923,F2->F3,4.478841844365877e-06,1.021175344046744e-05,0,refactorization,2.2799986682524263
case_ACTIVSg25k,F0->F1,0.06783414821517861,0.06783414821517861,0,factorization,1.0
case_ACTIVSg25k,F1->F2,0.01920629935570539,0.13068612221640338,1,solve_only,6.804336420882766
case_ACTIVSg25k,F2->F3,0.0003030338514611598,0.0009865825139451637,0,refactorization,3.2556841725374537
case_ACTIVSg25k,F3->F4,0.00010498737389820228,0.010775029357131946,1,solve_only,102.63166852406096
case_ACTIVSg25k,F4->F5,,0.00021326670092020763,0,refactorization,
