case_name,fresh_iter,stale_iter,stale_age,stale_phase,dim,dx_fresh_inf,dx_stale_inf,dx_stale_over_fresh_inf,dx_delta_inf,dx_delta_over_fresh_inf,dx_delta_over_stale_inf,f_fresh_inf,f_stale_inf,f_stale_over_fresh_inf,fresh_linear_relres,stale_linear_relres
Base_Eastern_Interconnect_515GW,0,1,1,solve_only,154916,2.24502,2.59495,1.1558694354615995,4.839969999999999,2.1558694354615993,1.8651496175263491,513.7,15.7348,0.03063032898578937,3.5734303285198056e-05,0.0016336361657986829
Base_Eastern_Interconnect_515GW,2,3,1,solve_only,154916,0.386222,0.00678848,0.01757662691405461,0.39301048,1.0175766269140545,57.89373762609597,1.20649,0.103904,0.0861208961533042,0.002800892532056985,0.0005812718947267906
Base_Eastern_Interconnect_515GW,4,5,1,solve_only,154916,0.000294545,1.52911e-07,0.0005191430850973535,0.000294668101,1.0004179361387904,1927.0562680251912,0.00794326,4.75493e-06,0.0005986119049357568,0.00041658821922378254,0.00024438064864728306
Base_West_Interconnect_121GW,0,1,1,solve_only,40748,0.0853712,0.079608,0.9324924564724404,0.1649792,1.9324924564724404,2.072394734197568,32.049,0.49272,0.01537395862585416,8.818208088602379e-06,0.0007274962617540971
Base_West_Interconnect_121GW,2,3,1,solve_only,40748,0.00224803,1.56656e-06,0.000696859027682015,0.0022466795299999997,0.9993992651343621,1434.1484079767133,0.0149716,7.5268e-06,0.0005027385182612413,0.0004800967937070172,0.0010285779416181328
MemphisCase2026_Mar7,0,1,1,solve_only,1797,6.08434e-05,2.7789e-09,4.567299000384594e-05,6.084081203e-05,0.9999574650660548,21893.847216524522,0.00733783,1.56657e-07,2.1349227223852284e-05,5.291477698287393e-07,1.517308881342948e-05
Texas7k_20220923,0,1,1,solve_only,12843,0.0158092,0.000263007,0.016636325683779065,0.016072206999999998,1.016636325683779,61.10942674529574,1.83283,0.0156248,0.008524958670471348,4.3527994364907973e-07,1.4321690666512172e-05
case_ACTIVSg25k,0,1,1,solve_only,47246,0.24575,0.269701,1.0974608341810785,0.515451,2.0974608341810783,1.9111942484455005,45.7795,3.10541,0.06783407420351904,7.9624219945489e-06,0.0002386960459583288
case_ACTIVSg25k,2,3,1,solve_only,47246,0.0247719,0.00010463,0.004223737379853786,0.0248705932,1.0039840787343723,237.7004033260059,0.405834,0.000400389,0.000986583184257603,2.887677721526791e-05,0.00023461292996162326
