case_name,success,iterations,linear_solve_steps,factorize_steps,stale_solve_steps,buses,dim,nnz,final_mismatch,solve_sec,max_jacobian_age,max_linear_relres,median_linear_relres,max_actual_ratio,max_model_error_ratio,max_stale_linear_relres,max_stale_actual_ratio,max_stale_model_error_ratio,max_dx_inf,max_npivots_total
Base_Eastern_Interconnect_515GW,True,7,6,3,3,78478,154916,1143804,1.771121915795e-09,3.286175,1,0.002800892532056985,0.0004989300569752865,0.08612074089498688,0.08612069040580737,0.0016336361657986829,0.07667652526244674,0.0766765198347651,2.594949722290039,0
Base_West_Interconnect_121GW,True,5,4,2,2,20758,40748,302486,8.873621233149e-09,0.605131,1,0.0010285779416181328,0.0006037965277305571,0.03038560697052739,0.03039237150042031,0.0010285779416181328,0.03038560697052739,0.03039237150042031,0.0853712409734726,0
MemphisCase2026_Mar7,True,3,2,1,1,993,1797,13355,7.108675288457e-12,0.033127,1,1.517308881342948e-05,7.85111829162911e-06,4.537725913433721e-05,4.5462406765063716e-05,1.517308881342948e-05,4.537725913433721e-05,4.5462406765063716e-05,6.0843423852929845e-05,0
Texas7k_20220923,True,4,3,2,1,6717,12843,91901,5.083419102325e-09,0.157396,1,1.4321690666512172e-05,1.0894484412263451e-05,0.03185960162189776,0.03185942003277343,1.4321690666512172e-05,0.03185960162189776,0.03185942003277343,0.01580924168229103,0
case_ACTIVSg25k,True,6,5,3,2,25000,47246,318672,9.20074902005e-10,0.81285,1,0.0002386960459583288,0.00022409406982917856,0.13068612221640338,0.13068572253327881,0.0002386960459583288,0.13068612221640338,0.13068572253327881,0.26970088481903076,0
