case_name,from_iter,to_iter,pair,pair_kind,from_phase,to_phase,from_jacobian_age,to_jacobian_age,dx_from_inf,dx_to_inf,dx_to_over_from_inf,dx_delta_inf,dx_delta_over_from_inf,dx_from_l2,dx_to_l2,dx_to_over_from_l2,dx_delta_l2,dx_delta_l2_over_from_l2,dx_cosine,max_delta_index,dx_from_at_max_delta,dx_to_at_max_delta,dx_delta_at_max_delta
Base_Eastern_Interconnect_515GW,0,1,"0,1",same_jacobian_fresh_to_stale,factorization,solve_only,0,1,2.24502,2.59495,1.1558694354615995,4.839969999999999,2.1558694354615993,482.8451803746563,561.631933357814,1.1631718741026353,1044.435444758826,2.163085575273657,-0.9998395117006658,3792,2.24502,-2.59495,-4.839969999999999
Base_Eastern_Interconnect_515GW,1,2,"1,2",stale_to_next_fresh,solve_only,refactorization,1,0,2.59495,0.386222,0.14883600840093258,2.975923,1.1468132333956338,561.631933357814,88.46843092681297,0.15752030052473887,649.9717507674942,1.1572913008730208,-0.9983173881437232,3792,-2.59495,0.380973,2.975923
Base_Eastern_Interconnect_515GW,2,3,"2,3",same_jacobian_fresh_to_stale,refactorization,solve_only,0,1,0.386222,0.00678848,0.01757662691405461,0.39301048,1.0175766269140545,88.46843092681297,1.7504735947206853,0.019786420719598775,90.21106155721989,1.0196977680303672,-0.9954310645540577,5903,0.386222,-0.00678848,-0.39301048
Base_Eastern_Interconnect_515GW,3,4,"3,4",stale_to_next_fresh,solve_only,refactorization,1,0,0.00678848,0.000294545,0.04338894715753747,0.007083025000000001,1.0433889471575375,1.7504735947206853,0.07857823504917366,0.04488970029948496,1.8289978422098712,1.044858858611755,-0.9992821140258338,5873,-0.00678848,0.000294545,0.007083025000000001
Base_Eastern_Interconnect_515GW,4,5,"4,5",same_jacobian_fresh_to_stale,refactorization,solve_only,0,1,0.000294545,1.52911e-07,0.0005191430850973535,0.000294668101,1.0004179361387904,0.07857823504917366,2.4054246581947244e-05,0.000306118438100503,0.07860017987579164,1.0002792736004347,-0.9122800468755808,5872,0.000294545,-1.23101e-07,-0.000294668101
Base_West_Interconnect_121GW,0,1,"0,1",same_jacobian_fresh_to_stale,factorization,solve_only,0,1,0.0853712,0.079608,0.9324924564724404,0.1649792,1.9324924564724404,4.975343295120361,4.734662847260996,0.9516253585766804,9.70155054007441,1.9499258572949818,-0.9965161230561,663,0.0853712,-0.079608,-0.1649792
Base_West_Interconnect_121GW,1,2,"1,2",stale_to_next_fresh,solve_only,refactorization,1,0,0.079608,0.00224803,0.028238744849763842,0.07735997,0.9717612551502361,4.734662847260996,0.06684298563352963,0.01411779207725389,4.795371082702487,1.0128220820362344,-0.9069852306549588,663,-0.079608,-0.00224803,0.07735997
Base_West_Interconnect_121GW,2,3,"2,3",same_jacobian_fresh_to_stale,refactorization,solve_only,0,1,0.00224803,1.56656e-06,0.000696859027682015,0.0022466795299999997,0.9993992651343621,0.06684298563352963,8.63396695901485e-05,0.0012916788316953785,0.06692089394836277,1.0011655421147745,-0.9022267093677466,663,-0.00224803,-1.35047e-06,0.0022466795299999997
MemphisCase2026_Mar7,0,1,"0,1",same_jacobian_fresh_to_stale,factorization,solve_only,0,1,6.08434e-05,2.7789e-09,4.567299000384594e-05,6.084081203e-05,0.9999574650660548,0.0005977269503978756,5.6284120361546274e-08,9.416359815143165e-05,0.0005977015202249703,0.9999574552010941,0.45185536769931045,613,-6.08434e-05,-2.58797e-09,6.084081203e-05
Texas7k_20220923,0,1,"0,1",same_jacobian_fresh_to_stale,factorization,solve_only,0,1,0.0158092,0.000263007,0.016636325683779065,0.016072206999999998,1.016636325683779,0.16076041952439357,0.018391418537860752,0.11440265329159621,0.17282815832421808,1.075066604301772,-0.6235879697698682,7969,0.0158092,-0.000263007,-0.016072206999999998
Texas7k_20220923,1,2,"1,2",stale_to_next_fresh,solve_only,refactorization,1,0,0.000263007,8.48975e-06,0.03227955909918747,0.00027149675,1.0322795590991876,0.018391418537860752,0.0004449847158359434,0.024195236214101353,0.018836153379938034,1.02418164978203,-0.999424884031535,7969,-0.000263007,8.48975e-06,0.00027149675
case_ACTIVSg25k,0,1,"0,1",same_jacobian_fresh_to_stale,factorization,solve_only,0,1,0.24575,0.269701,1.0974608341810785,0.515451,2.0974608341810783,10.431688312567912,11.062596345571754,1.0604799543563561,21.479123787485864,2.0590266066144056,-0.9971771858894006,6178,0.24575,-0.269701,-0.515451
case_ACTIVSg25k,1,2,"1,2",stale_to_next_fresh,solve_only,refactorization,1,0,0.269701,0.0247719,0.09184949258623437,0.2904023,1.0767564821784124,11.062596345571754,0.6942438005111188,0.06275595518668795,11.75404028278367,1.0625028624034263,-0.9957144491890944,6178,-0.269701,0.0207013,0.2904023
case_ACTIVSg25k,2,3,"2,3",same_jacobian_fresh_to_stale,refactorization,solve_only,0,1,0.0247719,0.00010463,0.004223737379853786,0.0248705932,1.0039840787343723,0.6942438005111188,0.002205289548884492,0.0031765347378844514,0.6964311373373951,1.0031506753458455,-0.9918334905520368,1219,0.0247719,-9.86932e-05,-0.0248705932
case_ACTIVSg25k,3,4,"3,4",stale_to_next_fresh,solve_only,refactorization,1,0,0.00010463,1.28387e-06,0.012270572493548694,0.00010587516000000001,1.0119006021217625,0.002205289548884492,1.6900228514575857e-05,0.0076634963980691554,0.002221934936882911,1.007547937642401,-0.9848061959186298,540,-0.00010463,1.24516e-06,0.00010587516000000001
