case_name,iter,jacobian_updated,jacobian_age,factorization_phase,norm_f_inf,linear_relres,actual_ratio,model_error_ratio,dx_inf,npivots_total,dim,nnz
Base_Eastern_Interconnect_515GW,0,1,0,factorization,513.7004578783666,3.5734303285198056e-05,0.030630301683954635,0.030630173355472565,2.2450242042541504,0,154916,1143804
Base_Eastern_Interconnect_515GW,1,0,1,solve_only,15.734802742696703,0.0016336361657986829,0.07667652526244674,0.0766765198347651,2.594949722290039,0,154916,1143804
Base_Eastern_Interconnect_515GW,2,1,0,refactorization,1.2064921750580095,0.002800892532056985,0.08612074089498688,0.08612069040580737,0.3862224817276001,0,154916,1143804
Base_Eastern_Interconnect_515GW,3,0,1,solve_only,0.10390419407000938,0.0005812718947267906,0.07644792465882493,0.07644932748958941,0.006788481026887894,0,154916,1143804
Base_Eastern_Interconnect_515GW,4,1,0,refactorization,0.007943258505023067,0.00041658821922378254,0.0005986120175987137,0.00018202353594380495,0.000294545287033543,0,154916,1143804
Base_Eastern_Interconnect_515GW,5,0,1,solve_only,4.7549341359335724e-06,0.00024438064864728306,0.00037248044859663706,0.00012810061771347938,1.529108004660884e-07,0,154916,1143804
Base_West_Interconnect_121GW,0,1,0,factorization,32.04897054512763,8.818208088602379e-06,0.015373972755418432,0.015374202081037163,0.0853712409734726,0,40748,302486
Base_West_Interconnect_121GW,1,0,1,solve_only,0.49272012287007294,0.0007274962617540971,0.03038560697052739,0.03039237150042031,0.07960803061723709,0,40748,302486
Base_West_Interconnect_121GW,2,1,0,refactorization,0.014971583828353702,0.0004800967937070172,0.0005027390612972748,0.00026793961921402866,0.002248029690235853,0,40748,302486
Base_West_Interconnect_121GW,3,0,1,solve_only,7.526803762208494e-06,0.0010285779416181328,0.0011789360106017068,0.000987456194529404,1.5665599448766443e-06,0,40748,302486
MemphisCase2026_Mar7,0,1,0,factorization,0.007337825467303612,5.291477698287393e-07,2.1349240411623723e-05,2.14446678653183e-05,6.0843423852929845e-05,0,1797,13355
MemphisCase2026_Mar7,1,0,1,solve_only,1.56657324298832e-07,1.517308881342948e-05,4.537725913433721e-05,4.5462406765063716e-05,2.778897112420964e-09,0,1797,13355
Texas7k_20220923,0,1,0,factorization,1.832828279609761,4.3527994364907973e-07,0.008524966672451591,0.008524973963642015,0.01580924168229103,0,12843,91901
Texas7k_20220923,1,0,1,solve_only,0.01562483441907984,1.4321690666512172e-05,0.03185960162189776,0.03185942003277343,0.0002630065137054771,0,12843,91901
Texas7k_20220923,2,1,0,refactorization,0.0004978008947861268,1.0894484412263451e-05,1.021175344046744e-05,1.0784546705779879e-05,8.489748324791435e-06,0,12843,91901
case_ACTIVSg25k,0,1,0,factorization,45.779450051458475,7.9624219945489e-06,0.06783414821517861,0.06783422195131995,0.24575026333332062,0,47246,318672
case_ACTIVSg25k,1,0,1,solve_only,3.105410070458581,0.0002386960459583288,0.13068612221640338,0.13068572253327881,0.26970088481903076,0,47246,318672
case_ACTIVSg25k,2,1,0,refactorization,0.4058342757352523,2.887677721526791e-05,0.0009865825139451637,0.0009858283341769678,0.024771900847554207,0,47246,318672
case_ACTIVSg25k,3,0,1,solve_only,0.00040038870030033373,0.00023461292996162326,0.010775029357131946,0.010773358950350989,0.00010463014768902212,0,47246,318672
case_ACTIVSg25k,4,1,0,refactorization,4.314199057002529e-06,0.00022409406982917856,0.00021326670092020763,3.0356735577007313e-05,1.2838704606110696e-06,0,47246,318672
