case_name,from_iter,to_iter,pair,pair_kind,from_phase,to_phase,from_jacobian_age,to_jacobian_age,dx_from_inf,dx_to_inf,dx_to_over_from_inf,dx_delta_inf,dx_delta_over_from_inf,dx_from_l2,dx_to_l2,dx_to_over_from_l2,dx_delta_l2,dx_delta_l2_over_from_l2,dx_cosine,max_delta_index,dx_from_at_max_delta,dx_to_at_max_delta,dx_delta_at_max_delta
Base_Eastern_Interconnect_515GW,0,1,"0,1",same_jacobian_fresh_to_stale,factorization,solve_only,0,1,2.24502,2.59495,1.1558694354615995,4.839969999999999,2.1558694354615993,482.8451803746563,561.631933357814,1.1631718741026353,1044.435444758826,2.163085575273657,-0.9998395117006658,3792,2.24502,-2.59495,-4.839969999999999
Base_Eastern_Interconnect_515GW,0,2,"0,2",fresh_to_fresh_next_cycle,factorization,refactorization,0,0,2.24502,0.386222,0.17203499300674382,1.864424,0.8304709980311981,482.8451803746563,88.46843092681297,0.18322318317057085,394.66000626694637,0.8173634579115318,0.997383917792337,3812,2.242,0.377576,-1.864424
Base_Eastern_Interconnect_515GW,0,3,"0,3",factorization_to_solve_only,factorization,solve_only,0,1,2.24502,0.00678848,0.0030237948882415305,2.2516839099999997,1.0029683076320033,482.8451803746563,1.7504735947206853,0.0036253309877970247,484.57149052270927,1.0035752871069634,-0.9861463534122823,3792,2.24502,-0.00666391,-2.2516839099999997
Base_Eastern_Interconnect_515GW,0,4,"0,4",fresh_to_fresh_other,factorization,refactorization,0,0,2.24502,0.000294545,0.0001311992766211437,2.2447290649999996,0.9998704087268709,482.8451803746563,0.07857823504917366,0.00016274002152864421,482.7681707488368,0.9998405086579517,0.9800408281136865,3792,2.24502,0.000290935,-2.2447290649999996
Base_Eastern_Interconnect_515GW,0,5,"0,5",factorization_to_solve_only,factorization,solve_only,0,1,2.24502,1.52911e-07,6.811119722764163e-08,2.24502012585,1.0000000560574072,482.8451803746563,2.4054246581947244e-05,4.9817721206790796e-08,482.8452032447207,1.0000000473652122,-0.9507702718629446,3792,2.24502,-1.2585e-07,-2.24502012585
Base_Eastern_Interconnect_515GW,1,2,"1,2",stale_to_next_fresh,solve_only,refactorization,1,0,2.59495,0.386222,0.14883600840093258,2.975923,1.1468132333956338,561.631933357814,88.46843092681297,0.15752030052473887,649.9717507674942,1.1572913008730208,-0.9983173881437232,3792,-2.59495,0.380973,2.975923
Base_Eastern_Interconnect_515GW,1,3,"1,3",stale_to_stale_next_cycle,solve_only,solve_only,1,1,2.59495,0.00678848,0.00261603499104029,2.58828609,0.9974319697874718,561.631933357814,1.7504735947206853,0.003116762938060119,559.9019777251953,0.9969197698174391,0.9883149409830647,3792,-2.59495,-0.00666391,2.58828609
Base_Eastern_Interconnect_515GW,1,4,"1,4",solve_only_to_refactorization,solve_only,refactorization,1,0,2.59495,0.000294545,0.00011350700398851616,2.595240935,1.0001121158403823,561.631933357814,0.07857823504917366,0.00013991055419406096,561.7091425393444,1.0001374729194417,-0.9825747753590461,3792,-2.59495,0.000290935,2.595240935
Base_Eastern_Interconnect_515GW,1,5,"1,5",stale_to_stale_other,solve_only,solve_only,1,1,2.59495,1.52911e-07,5.89263762307559e-08,2.5949498741499997,0.9999999515019556,561.631933357814,2.4054246581947244e-05,4.282920032366172e-08,561.6319105453673,0.9999999593818562,0.9483750260587653,3792,-2.59495,-1.2585e-07,2.5949498741499997
Base_Eastern_Interconnect_515GW,2,3,"2,3",same_jacobian_fresh_to_stale,refactorization,solve_only,0,1,0.386222,0.00678848,0.01757662691405461,0.39301048,1.0175766269140545,88.46843092681297,1.7504735947206853,0.019786420719598775,90.21106155721989,1.0196977680303672,-0.9954310645540577,5903,0.386222,-0.00678848,-0.39301048
Base_Eastern_Interconnect_515GW,2,4,"2,4",fresh_to_fresh_next_cycle,refactorization,refactorization,0,0,0.386222,0.000294545,0.0007626313363816665,0.38592745500000003,0.9992373686636183,88.46843092681297,0.07857823504917366,0.0008882064961023085,88.39052357815163,0.9991193768461227,0.9914697365455767,5903,0.386222,0.000294545,-0.38592745500000003
Base_Eastern_Interconnect_515GW,2,5,"2,5",refactorization_to_solve_only,refactorization,solve_only,0,1,0.386222,1.52911e-07,3.95914784761096e-07,0.386222123073,1.000000318658699,88.46843092681297,2.4054246581947244e-05,2.7189638529755924e-07,88.46845349722969,1.0000002551239633,-0.9383132180244801,5903,0.386222,-1.23073e-07,-0.386222123073
Base_Eastern_Interconnect_515GW,3,4,"3,4",stale_to_next_fresh,solve_only,refactorization,1,0,0.00678848,0.000294545,0.04338894715753747,0.007083025000000001,1.0433889471575375,1.7504735947206853,0.07857823504917366,0.04488970029948496,1.8289978422098712,1.044858858611755,-0.9992821140258338,5873,-0.00678848,0.000294545,0.007083025000000001
Base_Eastern_Interconnect_515GW,3,5,"3,5",stale_to_stale_next_cycle,solve_only,solve_only,1,1,0.00678848,1.52911e-07,2.2525071886490056e-05,0.006788356927000001,0.9999818703155935,1.7504735947206853,2.4054246581947244e-05,1.3741564942478018e-05,1.7504514976860994,0.9999873765393248,0.9186344827600561,5903,-0.00678848,-1.23073e-07,0.006788356927000001
Base_Eastern_Interconnect_515GW,4,5,"4,5",same_jacobian_fresh_to_stale,refactorization,solve_only,0,1,0.000294545,1.52911e-07,0.0005191430850973535,0.000294668101,1.0004179361387904,0.07857823504917366,2.4054246581947244e-05,0.000306118438100503,0.07860017987579164,1.0002792736004347,-0.9122800468755808,5872,0.000294545,-1.23101e-07,-0.000294668101
Base_West_Interconnect_121GW,0,1,"0,1",same_jacobian_fresh_to_stale,factorization,solve_only,0,1,0.0853712,0.079608,0.9324924564724404,0.1649792,1.9324924564724404,4.975343295120361,4.734662847260996,0.9516253585766804,9.70155054007441,1.9499258572949818,-0.9965161230561,663,0.0853712,-0.079608,-0.1649792
Base_West_Interconnect_121GW,0,2,"0,2",fresh_to_fresh_next_cycle,factorization,refactorization,0,0,0.0853712,0.00224803,0.02633241655265476,0.08761922999999999,1.0263324165526548,4.975343295120361,0.06684298563352963,0.01343484894782775,4.914598269833494,0.9877907871510206,0.9099416033912086,663,0.0853712,-0.00224803,-0.08761922999999999
Base_West_Interconnect_121GW,0,3,"0,3",factorization_to_solve_only,factorization,solve_only,0,1,0.0853712,1.56656e-06,1.834998219540079e-05,0.08537255046999999,1.0000158188007195,4.975343295120361,8.63396695901485e-05,1.735350999293403e-05,4.9754291641854715,1.0000172589226546,-0.9945492891482824,663,0.0853712,-1.35047e-06,-0.08537255046999999
Base_West_Interconnect_121GW,1,2,"1,2",stale_to_next_fresh,solve_only,refactorization,1,0,0.079608,0.00224803,0.028238744849763842,0.07735997,0.9717612551502361,4.734662847260996,0.06684298563352963,0.01411779207725389,4.795371082702487,1.0128220820362344,-0.9069852306549588,663,-0.079608,-0.00224803,0.07735997
Base_West_Interconnect_121GW,1,3,"1,3",stale_to_stale_next_cycle,solve_only,solve_only,1,1,0.079608,1.56656e-06,1.9678424278966937e-05,0.07960664953,0.9999830360014069,4.734662847260996,8.63396695901485e-05,1.8235653176465573e-05,4.734576637188013,0.9999817917187002,0.9984990193557941,663,-0.079608,-1.35047e-06,0.07960664953
Base_West_Interconnect_121GW,2,3,"2,3",same_jacobian_fresh_to_stale,refactorization,solve_only,0,1,0.00224803,1.56656e-06,0.000696859027682015,0.0022466795299999997,0.9993992651343621,0.06684298563352963,8.63396695901485e-05,0.0012916788316953785,0.06692089394836277,1.0011655421147745,-0.9022267093677466,663,-0.00224803,-1.35047e-06,0.0022466795299999997
MemphisCase2026_Mar7,0,1,"0,1",same_jacobian_fresh_to_stale,factorization,solve_only,0,1,6.08434e-05,2.7789e-09,4.567299000384594e-05,6.084081203e-05,0.9999574650660548,0.0005977269503978756,5.6284120361546274e-08,9.416359815143165e-05,0.0005977015202249703,0.9999574552010941,0.45185536769931045,613,-6.08434e-05,-2.58797e-09,6.084081203e-05
Texas7k_20220923,0,1,"0,1",same_jacobian_fresh_to_stale,factorization,solve_only,0,1,0.0158092,0.000263007,0.016636325683779065,0.016072206999999998,1.016636325683779,0.16076041952439357,0.018391418537860752,0.11440265329159621,0.17282815832421808,1.075066604301772,-0.6235879697698682,7969,0.0158092,-0.000263007,-0.016072206999999998
Texas7k_20220923,0,2,"0,2",fresh_to_fresh_next_cycle,factorization,refactorization,0,0,0.0158092,8.48975e-06,0.0005370132581028768,0.01580071025,0.9994629867418972,0.16076041952439357,0.0004449847158359434,0.00276799921991011,0.16048522855237277,0.9982881920012715,0.6192826041748426,7969,0.0158092,8.48975e-06,-0.01580071025
Texas7k_20220923,1,2,"1,2",stale_to_next_fresh,solve_only,refactorization,1,0,0.000263007,8.48975e-06,0.03227955909918747,0.00027149675,1.0322795590991876,0.018391418537860752,0.0004449847158359434,0.024195236214101353,0.018836153379938034,1.02418164978203,-0.999424884031535,7969,-0.000263007,8.48975e-06,0.00027149675
case_ACTIVSg25k,0,1,"0,1",same_jacobian_fresh_to_stale,factorization,solve_only,0,1,0.24575,0.269701,1.0974608341810785,0.515451,2.0974608341810783,10.431688312567912,11.062596345571754,1.0604799543563561,21.479123787485864,2.0590266066144056,-0.9971771858894006,6178,0.24575,-0.269701,-0.515451
case_ACTIVSg25k,0,2,"0,2",fresh_to_fresh_next_cycle,factorization,refactorization,0,0,0.24575,0.0247719,0.10080122075279756,0.2250487,0.9157627670396744,10.431688312567912,0.6942438005111188,0.06655143249196836,9.743790315263276,0.9340568873711583,0.9914649420744726,6178,0.24575,0.0207013,-0.2250487
case_ACTIVSg25k,0,3,"0,3",factorization_to_solve_only,factorization,solve_only,0,1,0.24575,0.00010463,0.0004257578840284843,0.24576009669999999,1.000041085249237,10.431688312567912,0.002205289548884492,0.0002114029371667095,10.433843543740283,1.0002066042530982,-0.9772960249120645,6178,0.24575,-1.00967e-05,-0.24576009669999999
case_ACTIVSg25k,0,4,"0,4",fresh_to_fresh_other,factorization,refactorization,0,0,0.24575,1.28387e-06,5.224292980671414e-06,0.245749721472,0.9999988666205494,10.431688312567912,1.6900228514575857e-05,1.6200856475183182e-06,10.431672526467326,0.9999984867166164,0.9340762662136392,6178,0.24575,2.78528e-07,-0.245749721472
case_ACTIVSg25k,1,2,"1,2",stale_to_next_fresh,solve_only,refactorization,1,0,0.269701,0.0247719,0.09184949258623437,0.2904023,1.0767564821784124,11.062596345571754,0.6942438005111188,0.06275595518668795,11.75404028278367,1.0625028624034263,-0.9957144491890944,6178,-0.269701,0.0207013,0.2904023
case_ACTIVSg25k,1,3,"1,3",stale_to_stale_next_cycle,solve_only,solve_only,1,1,0.269701,0.00010463,0.0003879481351570814,0.2696909033,0.9999625633571992,11.062596345571754,0.002205289548884492,0.00019934647165963419,11.06043214093986,0.999804367386797,0.9813735102624687,6178,-0.269701,-1.00967e-05,0.2696909033
case_ACTIVSg25k,1,4,"1,4",solve_only_to_refactorization,solve_only,refactorization,1,0,0.269701,1.28387e-06,4.760345716181994e-06,0.269701278528,1.0000010327288367,11.062596345571754,1.6900228514575857e-05,1.5276909675314013e-06,11.062612219364823,1.0000014349066506,-0.9392649053507338,6178,-0.269701,2.78528e-07,0.269701278528
case_ACTIVSg25k,2,3,"2,3",same_jacobian_fresh_to_stale,refactorization,solve_only,0,1,0.0247719,0.00010463,0.004223737379853786,0.0248705932,1.0039840787343723,0.6942438005111188,0.002205289548884492,0.0031765347378844514,0.6964311373373951,1.0031506753458455,-0.9918334905520368,1219,0.0247719,-9.86932e-05,-0.0248705932
case_ACTIVSg25k,2,4,"2,4",fresh_to_fresh_next_cycle,refactorization,refactorization,0,0,0.0247719,1.28387e-06,5.18276757132073e-05,0.02477061613,0.9999481723242868,0.6942438005111188,1.6900228514575857e-05,2.434336252211904e-05,0.6942275473200904,0.9999765886407391,0.9617151901767861,1219,0.0247719,1.28387e-06,-0.02477061613
case_ACTIVSg25k,3,4,"3,4",stale_to_next_fresh,solve_only,refactorization,1,0,0.00010463,1.28387e-06,0.012270572493548694,0.00010587516000000001,1.0119006021217625,0.002205289548884492,1.6900228514575857e-05,0.0076634963980691554,0.002221934936882911,1.007547937642401,-0.9848061959186298,540,-0.00010463,1.24516e-06,0.00010587516000000001
