level	bin	lo	hi	count
15	49-56	49	56	0
15	57-64	57	64	0
15	65-72	65	72	0
15	73-80	73	80	0
15	81-96	81	96	0
15	97-112	97	112	0
15	113-128	113	128	0
16	1-4	1	4	0
16	5-8	5	8	0
16	9-12	9	12	0
16	13-16	13	16	0
16	17-20	17	20	1
16	21-24	21	24	0
16	25-28	25	28	1
16	29-32	29	32	0
16	33-40	33	40	2
16	41-48	41	48	0
16	49-56	49	56	0
16	57-64	57	64	0
16	65-72	65	72	0
16	73-80	73	80	0
16	81-96	81	96	0
16	97-112	97	112	0
16	113-128	113	128	0
17	1-4	1	4	0
17	5-8	5	8	0
17	9-12	9	12	0
17	13-16	13	16	0
17	17-20	17	20	1
17	21-24	21	24	0
17	25-28	25	28	1
17	29-32	29	32	0
17	33-40	33	40	1
17	41-48	41	48	0
17	49-56	49	56	0
17	57-64	57	64	0
17	65-72	65	72	0
17	73-80	73	80	0
17	81-96	81	96	0
17	97-112	97	112	0
17	113-128	113	128	0
18	1-4	1	4	0
18	5-8	5	8	0
18	9-12	9	12	0
18	13-16	13	16	0
18	17-20	17	20	0
18	21-24	21	24	0
18	25-28	25	28	0
18	29-32	29	32	1
18	33-40	33	40	0
18	41-48	41	48	1
18	49-56	49	56	0
18	57-64	57	64	0
18	65-72	65	72	0
18	73-80	73	80	0
18	81-96	81	96	0
18	97-112	97	112	0
18	113-128	113	128	0
19	1-4	1	4	0
19	5-8	5	8	0
19	9-12	9	12	0
19	13-16	13	16	0
19	17-20	17	20	0
19	21-24	21	24	0
19	25-28	25	28	0
19	29-32	29	32	0
19	33-40	33	40	1
19	41-48	41	48	0
19	49-56	49	56	0
19	57-64	57	64	0
19	65-72	65	72	0
19	73-80	73	80	0
19	81-96	81	96	0
19	97-112	97	112	0
19	113-128	113	128	0
20	1-4	1	4	0
20	5-8	5	8	0
20	9-12	9	12	0
20	13-16	13	16	0
20	17-20	17	20	0
20	21-24	21	24	0
20	25-28	25	28	0
20	29-32	29	32	0
20	33-40	33	40	0
20	41-48	41	48	0
20	49-56	49	56	0
20	57-64	57	64	1
20	65-72	65	72	0
20	73-80	73	80	0
20	81-96	81	96	0
20	97-112	97	112	0
20	113-128	113	128	0
21	1-4	1	4	0
21	5-8	5	8	0
21	9-12	9	12	0
21	13-16	13	16	0
21	17-20	17	20	0
21	21-24	21	24	0
21	25-28	25	28	0
21	29-32	29	32	0
21	33-40	33	40	0
21	41-48	41	48	0
21	49-56	49	56	1
21	57-64	57	64	0
21	65-72	65	72	0
21	73-80	73	80	0
21	81-96	81	96	0
21	97-112	97	112	0
21	113-128	113	128	0
22	1-4	1	4	0
22	5-8	5	8	0
22	9-12	9	12	0
22	13-16	13	16	0
22	17-20	17	20	0
22	21-24	21	24	0
22	25-28	25	28	0
22	29-32	29	32	0
22	33-40	33	40	0
22	41-48	41	48	1
22	49-56	49	56	0
22	57-64	57	64	0
22	65-72	65	72	0
22	73-80	73	80	0
22	81-96	81	96	0
22	97-112	97	112	0
22	113-128	113	128	0
23	1-4	1	4	0
23	5-8	5	8	0
23	9-12	9	12	0
23	13-16	13	16	0
23	17-20	17	20	0
23	21-24	21	24	0
23	25-28	25	28	0
23	29-32	29	32	0
23	33-40	33	40	1
23	41-48	41	48	0
23	49-56	49	56	0
23	57-64	57	64	0
23	65-72	65	72	0
23	73-80	73	80	0
23	81-96	81	96	0
23	97-112	97	112	0
23	113-128	113	128	0
24	1-4	1	4	0
24	5-8	5	8	0
24	9-12	9	12	0
24	13-16	13	16	0
24	17-20	17	20	0
24	21-24	21	24	0
24	25-28	25	28	0
24	29-32	29	32	1
24	33-40	33	40	0
24	41-48	41	48	0
24	49-56	49	56	0
24	57-64	57	64	0
24	65-72	65	72	0
24	73-80	73	80	0
24	81-96	81	96	0
24	97-112	97	112	0
24	113-128	113	128	0
25	1-4	1	4	0
25	5-8	5	8	0
25	9-12	9	12	0
25	13-16	13	16	0
25	17-20	17	20	0
25	21-24	21	24	1
25	25-28	25	28	0
25	29-32	29	32	0
25	33-40	33	40	0
25	41-48	41	48	0
25	49-56	49	56	0
25	57-64	57	64	0
25	65-72	65	72	0
25	73-80	73	80	0
25	81-96	81	96	0
25	97-112	97	112	0
25	113-128	113	128	0
26	1-4	1	4	0
26	5-8	5	8	0
26	9-12	9	12	0
26	13-16	13	16	1
26	17-20	17	20	0
26	21-24	21	24	0
26	25-28	25	28	0
26	29-32	29	32	0
26	33-40	33	40	0
26	41-48	41	48	0
26	49-56	49	56	0
26	57-64	57	64	0
26	65-72	65	72	0
26	73-80	73	80	0
26	81-96	81	96	0
26	97-112	97	112	0
26	113-128	113	128	0
27	1-4	1	4	0
27	5-8	5	8	1
