baseline_alg,baseline_analyze_ms,baseline_cuda_factorization_ms,baseline_cuda_refactorization_ms,baseline_cuda_solve_ms,baseline_cudss_analysis_ms,baseline_elapsed_ms,baseline_nr_linear_factorize_ms,baseline_nr_linear_solve_ms,baseline_runs,baseline_solve_ms,baseline_success_all,candidate_alg,candidate_analyze_ms,candidate_cuda_factorization_ms,candidate_cuda_refactorization_ms,candidate_cuda_solve_ms,candidate_cudss_analysis_ms,candidate_elapsed_ms,candidate_nr_linear_factorize_ms,candidate_nr_linear_solve_ms,candidate_runs,candidate_solve_ms,candidate_success_all,candidate_vs_baseline_analyze_ms_ratio,candidate_vs_baseline_analyze_ms_speedup,candidate_vs_baseline_cuda_factorization_ms_ratio,candidate_vs_baseline_cuda_factorization_ms_speedup,candidate_vs_baseline_cuda_refactorization_ms_ratio,candidate_vs_baseline_cuda_refactorization_ms_speedup,candidate_vs_baseline_cuda_solve_ms_ratio,candidate_vs_baseline_cuda_solve_ms_speedup,candidate_vs_baseline_cudss_analysis_ms_ratio,candidate_vs_baseline_cudss_analysis_ms_speedup,candidate_vs_baseline_elapsed_ms_ratio,candidate_vs_baseline_elapsed_ms_speedup,candidate_vs_baseline_nr_linear_factorize_ms_ratio,candidate_vs_baseline_nr_linear_factorize_ms_speedup,candidate_vs_baseline_nr_linear_solve_ms_ratio,candidate_vs_baseline_nr_linear_solve_ms_speedup,candidate_vs_baseline_solve_ms_ratio,candidate_vs_baseline_solve_ms_speedup,case_name
DEFAULT,201.34900000000002,3.4533,3.28453,1.2358700000001002,151.5379,241.9754,3.3147866666667,1.8585066666667,10,40.6257,True,ALG_1,156.6044,930.8065,55.32448,92.733233333333,94.0507,1939.7112,201.23851666666002,93.600300000001,10,1783.1061,True,0.777775901544085,1.285717387250933,269.54116352474443,0.003710008471148407,16.843956365142045,0.05936847485959199,75.0347798177199,0.013327153120583213,0.6206414368946647,1.611236280006422,8.016150402065664,0.1247481583856401,60.709341777648234,0.016471929537015286,50.36317688753658,0.019855776815530295,43.89108618436113,0.022783669463079064,Base_Eastern_Interconnect_515GW
DEFAULT,24.817,0.5667,0.47003333333333996,0.235525,20.2125,29.021,0.49425,0.2962,10,4.2033000000000005,True,ALG_1,12.9392,65.4573,3.7024333333332002,5.037325,8.0045,110.9752,19.141275,5.10335,10,98.0356,True,0.5213845347946972,1.9179701990849511,115.5060878771837,0.008657552328006196,7.876959080915853,0.12695254472284628,21.38764462371298,0.04675596670852089,0.39601731601731605,2.525142107564495,3.823961958581717,0.2615088776591527,38.72792109256449,0.025821163950677267,17.229405806887236,0.05804030685726043,23.323483929293648,0.0428752412388969,Base_Florida_42GW
DEFAULT,36.526199999999996,0.8525,0.76193333333334,0.32205,29.7484,43.0231,0.7847,0.423325,10,6.4962,True,ALG_1,22.302599999999998,121.0637,8.0786999999999,12.837525,14.0792,220.9922,36.325,12.942874999999999,10,198.6891,True,0.6105918491384267,1.6377552392994539,142.01020527859237,0.007041747443701126,10.602896141394474,0.0943138541266973,39.86190032603633,0.02508661132110746,0.47327587366043217,2.1129325529859653,5.136594062259577,0.19468153174636932,46.29157639862368,0.02160220233998623,30.574322329179704,0.032707184454767585,30.58543456174379,0.03269530135271638,Base_MIOHIN_76GW
DEFAULT,28.6495,0.6895,0.5952666666666699,0.279575,23.3099,33.846199999999996,0.618875,0.354875,10,5.1959,True,ALG_1,18.5977,84.7199,4.5063666666666995,7.0882499999999995,10.3862,146.827,24.559875,7.1708,10,128.2288,True,0.6491457093492033,1.5404861891524222,122.87150108774473,0.008138583732983632,7.57033262403406,0.13209459209562743,25.35366180810158,0.03944203435262583,0.44557033706708316,2.2443145712580153,4.338064539002902,0.23051754786245035,39.68471015956373,0.025198621735656224,20.206551602677,0.04948889942544765,24.67884293385169,0.040520538287810534,Base_Texas_66GW
DEFAULT,57.2807,1.2082,1.0869499999999999,0.436145,46.3624,66.7249,1.11254,0.5118550000000001,10,9.4436,True,ALG_1,38.0493,239.6655,13.190316666667,22.970575,24.8143,429.6047,64.146835,23.063875,10,391.5549,True,0.664260387879338,1.5054337399111153,198.36575070352592,0.005041192829172325,12.135164144318507,0.08240514822110455,52.66728954820071,0.018987117214088023,0.5352246648145911,1.8683742841829107,6.438446516967428,0.15531696929758917,57.65800330774623,0.017343646027118877,45.059391819949,0.02219293158673467,41.462461349485366,0.024118201559985588,Base_West_Interconnect_121GW
DEFAULT,14.153400000000001,0.3073,0.20779999999999998,0.13145,11.8397,15.325899999999999,0.25785,0.15395,10,1.1718,True,ALG_1,4.5929,10.0716,0.8251,0.93755,2.3682,17.7442,5.44845,0.9615,10,13.1507,True,0.3245085986406093,3.0815824424655447,32.77448747152619,0.03051153739227134,3.9706448508180943,0.2518482608168707,7.132369722327881,0.14020585568769667,0.20002196001587877,4.999451059876701,1.1577917120691117,0.8637132133316802,21.130308318789993,0.04732538611898797,6.245534264371549,0.16011440457618303,11.222648916197304,0.08910552289992167,MemphisCase2026_Mar7
DEFAULT,26.997,0.6574,0.5651499999999999,0.25053333333333,21.7255,31.0134,0.59600000000001,0.35406666666666,10,4.0158,True,ALG_1,14.0681,75.4409,4.55625,6.7746,8.5621,120.232,28.1847,6.8494,10,106.1635,True,0.5210986405896951,1.919022469274458,114.7564648615759,0.008714106008809544,8.062018933026632,0.1240384087791495,27.04071314529041,0.036981273187100344,0.39410370302179465,2.537403207157123,3.876775845279782,0.25794630381262895,47.28976510067035,0.02114622472476237,19.34494445490528,0.051693092338987355,26.43645101847702,0.03782655997588625,Texas7k_20220923
DEFAULT,11.7614,0.10950000000000001,0.1031,0.07755,9.8804,12.4024,0.10635,0.0924,10,0.6408,True,ALG_1,3.3235,2.1854999999999998,0.2744,0.197,1.4188,6.4107,1.2301,0.2105,10,3.0864000000000003,True,0.2825769041100549,3.5388596359259816,19.958904109589035,0.05010295126973234,2.661493695441319,0.37572886297376096,2.5402965828497748,0.39365482233502536,0.1435974252054573,6.963913166055821,0.5168918918918919,1.934640522875817,11.566525622943113,0.08645638565970247,2.2781385281385282,0.43895486935866984,4.8164794007490634,0.20762052877138412,case_ACTIVSg200
DEFAULT,16.4632,0.439,0.35055000000000003,0.17306666666667,13.782300000000001,18.5529,0.38010000000001,0.19136666666667,10,2.0894,True,ALG_1,6.0894,20.7629,1.8843,1.7488333333332,3.4482,36.460100000000004,8.1772666666666,1.7792666666668,10,30.3703,True,0.3698794887992614,2.7035832758564062,47.295899772209566,0.021143481883551914,5.375267436884895,0.1860372552141379,10.10496918335805,0.0989612122367387,0.25019046167911013,3.9969549330085266,1.9651968155921717,0.5088548852032769,21.513461369814223,0.046482524723014174,9.297683330430774,0.10755367379818782,14.535416866085958,0.06879747648195769,case_ACTIVSg2000
DEFAULT,71.1382,1.279,1.1333666666666,0.4851,57.2281,82.5612,1.16995,0.82705,10,11.4225,True,ALG_1,46.0008,270.6325,12.653266666666,22.715325,25.147199999999998,452.7373,77.1482,23.1801,10,406.7362,True,0.6466399206052444,1.5464557138136727,211.5969507427678,0.004725966024036285,11.164318696508994,0.08957107255570312,46.826066790352506,0.021355626652931444,0.43942049447736337,2.275724533944137,5.483656972040135,0.18236005736660088,65.94145048933716,0.015164968204054016,28.027446950003025,0.03567931113325654,35.6083344276647,0.028083312967963018,case_ACTIVSg25k
