CUDA.analyze.cudss32.analysis.avg_sec,CUDA.analyze.cudss32.analysis.count,CUDA.analyze.cudss32.analysis.total_sec,CUDA.analyze.cudss32.setup.avg_sec,CUDA.analyze.cudss32.setup.count,CUDA.analyze.cudss32.setup.total_sec,CUDA.solve.factorization32.avg_sec,CUDA.solve.factorization32.count,CUDA.solve.factorization32.total_sec,CUDA.solve.refactorization32.avg_sec,CUDA.solve.refactorization32.count,CUDA.solve.refactorization32.total_sec,CUDA.solve.rhsPrepare.avg_sec,CUDA.solve.rhsPrepare.count,CUDA.solve.rhsPrepare.total_sec,CUDA.solve.solve32.avg_sec,CUDA.solve.solve32.count,CUDA.solve.solve32.total_sec,NR.analyze.jacobian_builder.avg_sec,NR.analyze.jacobian_builder.count,NR.analyze.jacobian_builder.total_sec,NR.analyze.linear_solve.avg_sec,NR.analyze.linear_solve.count,NR.analyze.linear_solve.total_sec,NR.analyze.storage_prepare.avg_sec,NR.analyze.storage_prepare.count,NR.analyze.storage_prepare.total_sec,NR.analyze.total.avg_sec,NR.analyze.total.count,NR.analyze.total.total_sec,NR.iteration.jacobian.avg_sec,NR.iteration.jacobian.count,NR.iteration.jacobian.total_sec,NR.iteration.linear.avg_sec,NR.iteration.linear.count,NR.iteration.linear.total_sec,NR.iteration.linear_factorize.avg_sec,NR.iteration.linear_factorize.count,NR.iteration.linear_factorize.total_sec,NR.iteration.linear_solve.avg_sec,NR.iteration.linear_solve.count,NR.iteration.linear_solve.total_sec,NR.iteration.mismatch.avg_sec,NR.iteration.mismatch.count,NR.iteration.mismatch.total_sec,NR.iteration.total.avg_sec,NR.iteration.total.count,NR.iteration.total.total_sec,NR.iteration.voltage_update.avg_sec,NR.iteration.voltage_update.count,NR.iteration.voltage_update.total_sec,NR.solve.download.avg_sec,NR.solve.download.count,NR.solve.download.total_sec,NR.solve.total.avg_sec,NR.solve.total.count,NR.solve.total.total_sec,NR.solve.upload.avg_sec,NR.solve.upload.count,NR.solve.upload.total_sec,algorithm,analyze_sec,backend,buses,case_name,compute,cudss_reordering_alg,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
0.010016,1,0.010016,0.001606,1,0.001606,0.000114,1,0.000114,,,,1.35e-05,2,2.7e-05,7.55e-05,2,0.000151,7.7e-05,1,7.7e-05,0.011625,1,0.011625,0.000294,1,0.000294,0.011999,1,0.011999,1.4e-05,1,1.4e-05,0.000148,2,0.000296,0.000114,1,0.000114,9.05e-05,2,0.000181,2.633333333333e-05,3,7.9e-05,0.000195,2,0.00039,1.95e-05,2,3.9e-05,1.9e-05,1,1.9e-05,0.000521,1,0.000521,6.9e-05,1,6.9e-05,modified,0.012,cuda,200,case_ACTIVSg200,mixed,DEFAULT,case_ACTIVSg200,0.012523,1.521059944665e-09,cuda_edge_modified,3,edge_based,0.000562604828619,operators,162,cuda_edge_modified,37,0,0.000523,cuda_mixed_edge_modified,True
0.034336,1,0.034336,0.001616,1,0.001616,0.000109,1,0.000109,,,,1.25e-05,2,2.5e-05,7.65e-05,2,0.000153,6.4e-05,1,6.4e-05,0.035955,1,0.035955,0.000236,1,0.000236,0.036256,1,0.036256,1.4e-05,1,1.4e-05,0.000145,2,0.00029,0.000109,1,0.000109,9.05e-05,2,0.000181,2.566666666667e-05,3,7.7e-05,0.000191,2,0.000382,2e-05,2,4e-05,1.9e-05,1,1.9e-05,0.000512,1,0.000512,6.7e-05,1,6.7e-05,modified,0.036257,cuda,200,case_ACTIVSg200,mixed,DEFAULT,case_ACTIVSg200,0.036771,1.522329928783e-09,cuda_edge_modified,3,edge_based,0.0005626048286135,operators,162,cuda_edge_modified,37,1,0.000513,cuda_mixed_edge_modified,True
0.048665,1,0.048665,0.00155,1,0.00155,0.00011,1,0.00011,,,,1.45e-05,2,2.9e-05,7.75e-05,2,0.000155,6.4e-05,1,6.4e-05,0.050219,1,0.050219,0.000233,1,0.000233,0.050518,1,0.050518,1.4e-05,1,1.4e-05,0.0001485,2,0.000297,0.000111,1,0.000111,9.3e-05,2,0.000186,2.666666666667e-05,3,8e-05,0.000195,2,0.00039,2e-05,2,4e-05,2e-05,1,2e-05,0.000523,1,0.000523,6.9e-05,1,6.9e-05,modified,0.050519,cuda,200,case_ACTIVSg200,mixed,DEFAULT,case_ACTIVSg200,0.051044,1.521670539573e-09,cuda_edge_modified,3,edge_based,0.0005626048286116,operators,162,cuda_edge_modified,37,2,0.000524,cuda_mixed_edge_modified,True
0.009308,1,0.009308,0.001694,1,0.001694,0.00011,1,0.00011,,,,1.35e-05,2,2.7e-05,7.65e-05,2,0.000153,6.5e-05,1,6.5e-05,0.011004,1,0.011004,0.000238,1,0.000238,0.011309,1,0.011309,1.3e-05,1,1.3e-05,0.0001465,2,0.000293,0.00011,1,0.00011,9.15e-05,2,0.000183,2.633333333333e-05,3,7.9e-05,0.000194,2,0.000388,2e-05,2,4e-05,2e-05,1,2e-05,0.000518,1,0.000518,6.8e-05,1,6.8e-05,modified,0.01131,cuda,200,case_ACTIVSg200,mixed,DEFAULT,case_ACTIVSg200,0.01183,1.521885006905e-09,cuda_edge_modified,3,edge_based,0.0005626048286135,operators,162,cuda_edge_modified,37,3,0.000519,cuda_mixed_edge_modified,True
0.011826,1,0.011826,0.001542,1,0.001542,0.00011,1,0.00011,,,,1.3e-05,2,2.6e-05,7.65e-05,2,0.000153,6.6e-05,1,6.6e-05,0.013371,1,0.013371,0.000238,1,0.000238,0.013677,1,0.013677,1.3e-05,1,1.3e-05,0.0001465,2,0.000293,0.00011,1,0.00011,9.1e-05,2,0.000182,2.633333333333e-05,3,7.9e-05,0.000193,2,0.000386,2e-05,2,4e-05,2e-05,1,2e-05,0.000516,1,0.000516,6.7e-05,1,6.7e-05,modified,0.013678,cuda,200,case_ACTIVSg200,mixed,DEFAULT,case_ACTIVSg200,0.014195,1.521323372833e-09,cuda_edge_modified,3,edge_based,0.0005626048286135,operators,162,cuda_edge_modified,37,4,0.000517,cuda_mixed_edge_modified,True
0.010781,1,0.010781,0.001552,1,0.001552,0.00011,1,0.00011,,,,1.35e-05,2,2.7e-05,7.65e-05,2,0.000153,6.5e-05,1,6.5e-05,0.012335,1,0.012335,0.000237,1,0.000237,0.012639,1,0.012639,1.3e-05,1,1.3e-05,0.000146,2,0.000292,0.000111,1,0.000111,9.05e-05,2,0.000181,2.6e-05,3,7.8e-05,0.0001925,2,0.000385,2e-05,2,4e-05,1.9e-05,1,1.9e-05,0.000514,1,0.000514,6.7e-05,1,6.7e-05,modified,0.01264,cuda,200,case_ACTIVSg200,mixed,DEFAULT,case_ACTIVSg200,0.013156,1.522481973826e-09,cuda_edge_modified,3,edge_based,0.0005626048286135,operators,162,cuda_edge_modified,37,5,0.000515,cuda_mixed_edge_modified,True
0.009307,1,0.009307,0.001548,1,0.001548,0.000109,1,0.000109,,,,1.4e-05,2,2.8e-05,7.6e-05,2,0.000152,6.6e-05,1,6.6e-05,0.010857,1,0.010857,0.000233,1,0.000233,0.011158,1,0.011158,1.3e-05,1,1.3e-05,0.0001455,2,0.000291,0.000109,1,0.000109,9.05e-05,2,0.000181,2.7e-05,3,8.1e-05,0.000193,2,0.000386,2e-05,2,4e-05,1.9e-05,1,1.9e-05,0.000518,1,0.000518,6.9e-05,1,6.9e-05,modified,0.011159,cuda,200,case_ACTIVSg200,mixed,DEFAULT,case_ACTIVSg200,0.011679,1.520666342847e-09,cuda_edge_modified,3,edge_based,0.0005626048286135,operators,162,cuda_edge_modified,37,6,0.000519,cuda_mixed_edge_modified,True
0.009317,1,0.009317,0.001544,1,0.001544,0.000109,1,0.000109,,,,1.3e-05,2,2.6e-05,7.6e-05,2,0.000152,6.2e-05,1,6.2e-05,0.010864,1,0.010864,0.00023,1,0.00023,0.011158,1,0.011158,1.3e-05,1,1.3e-05,0.000145,2,0.00029,0.000109,1,0.000109,8.95e-05,2,0.000179,2.566666666667e-05,3,7.7e-05,0.000191,2,0.000382,2e-05,2,4e-05,2e-05,1,2e-05,0.000511,1,0.000511,6.6e-05,1,6.6e-05,modified,0.011159,cuda,200,case_ACTIVSg200,mixed,DEFAULT,case_ACTIVSg200,0.011671,1.521768849821e-09,cuda_edge_modified,3,edge_based,0.0005626048286172,operators,162,cuda_edge_modified,37,7,0.000511,cuda_mixed_edge_modified,True
0.009287,1,0.009287,0.001563,1,0.001563,0.00011,1,0.00011,,,,1.35e-05,2,2.7e-05,7.6e-05,2,0.000152,6.4e-05,1,6.4e-05,0.010853,1,0.010853,0.000232,1,0.000232,0.011151,1,0.011151,1.3e-05,1,1.3e-05,0.0001455,2,0.000291,0.00011,1,0.00011,9.05e-05,2,0.000181,2.666666666667e-05,3,8e-05,0.000192,2,0.000384,2e-05,2,4e-05,2e-05,1,2e-05,0.000514,1,0.000514,6.6e-05,1,6.6e-05,modified,0.011152,cuda,200,case_ACTIVSg200,mixed,DEFAULT,case_ACTIVSg200,0.011668,1.520637310515e-09,cuda_edge_modified,3,edge_based,0.000562604828619,operators,162,cuda_edge_modified,37,8,0.000515,cuda_mixed_edge_modified,True
0.009314,1,0.009314,0.001544,1,0.001544,0.00011,1,0.00011,,,,1.35e-05,2,2.7e-05,7.65e-05,2,0.000153,6.3e-05,1,6.3e-05,0.010862,1,0.010862,0.000232,1,0.000232,0.011159,1,0.011159,1.3e-05,1,1.3e-05,0.0001465,2,0.000293,0.00011,1,0.00011,9.1e-05,2,0.000182,2.666666666667e-05,3,8e-05,0.000193,2,0.000386,2e-05,2,4e-05,2.2e-05,1,2.2e-05,0.000518,1,0.000518,6.6e-05,1,6.6e-05,modified,0.01116,cuda,200,case_ACTIVSg200,mixed,DEFAULT,case_ACTIVSg200,0.011679,1.522253323394e-09,cuda_edge_modified,3,edge_based,0.000562604828595,operators,162,cuda_edge_modified,37,9,0.000519,cuda_mixed_edge_modified,True
