case,iterative_solved,iterative_success_flag,iterative_iterations,iterative_relative_residual_inf,iterative_residual_inf,setup_sec,solve_sec,total_sec,newton_converged,newton_iterations,newton_final_mismatch,n_bus,n_pv,n_pq,snapshot
RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr,true,true,56,9.98537832641925756e-04,5.80342338497939636e+00,4.85395099999999958e-03,2.49080789999999996e-02,2.97620299999999983e-02,false,10,6.248772188023e+04,4492,181,4310,/workspace/exp/20260413/iterative/pf_dumps/RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr/cuda_mixed_edge/iter_000
case10000_goc,true,true,218,9.33394429444254397e-04,1.77660430079442933e-02,1.01363340000000003e-02,2.83674990999999987e-01,2.93811325000000012e-01,false,10,2.904257516796e+09,10000,1294,8705,/workspace/exp/20260413/iterative/pf_dumps/case10000_goc/cuda_mixed_edge/iter_000
case10192_epigrids,true,true,105,2.84436418153922945e-04,9.21367555331565995e-03,1.20646350000000006e-02,1.51433324000000008e-01,1.63497958999999998e-01,false,10,2.752269443945e+05,10189,190,9998,/workspace/exp/20260413/iterative/pf_dumps/case10192_epigrids/cuda_mixed_edge/iter_000
case10480_goc,true,true,235,9.36767624556975390e-04,1.24112338789659684e-02,1.27020840000000006e-02,3.60263559000000011e-01,3.72965643000000013e-01,false,10,3.029886704861e+09,10480,338,10141,/workspace/exp/20260413/iterative/pf_dumps/case10480_goc/cuda_mixed_edge/iter_000
case118_ieee,true,true,15,7.74909811564497412e-04,2.73543161265232815e-03,6.57700000000000022e-05,9.91799999999999957e-05,1.64949999999999998e-04,true,5,6.224075103791e-11,118,53,64,/workspace/exp/20260413/iterative/pf_dumps/case118_ieee/cuda_mixed_edge/iter_000
case1354_pegase,true,true,85,9.04343635542073556e-04,2.41158159069669864e-02,1.07627099999999996e-03,1.28742340000000000e-02,1.39505050000000002e-02,true,6,4.762783540520e-12,1354,259,1094,/workspace/exp/20260413/iterative/pf_dumps/case1354_pegase/cuda_mixed_edge/iter_000
case13659_pegase,false,false,1000,1.74329528057212646e+00,4.94346248829970136e+01,1.81878460000000006e-02,1.64131518299999990e+00,1.65950302899999991e+00,false,10,1.177225517264e+11,13659,4091,9567,/workspace/exp/20260413/iterative/pf_dumps/case13659_pegase/cuda_mixed_edge/iter_000
case14_ieee,true,true,4,3.65287963085907303e-04,3.44101250950135107e-04,1.34200000000000003e-05,6.83999999999999973e-06,2.02599999999999991e-05,true,5,4.653916141351e-14,14,4,9,/workspace/exp/20260413/iterative/pf_dumps/case14_ieee/cuda_mixed_edge/iter_000
case162_ieee_dtc,true,true,13,8.61805778913489907e-04,7.45979094062618198e-03,2.02971000000000005e-04,1.90289999999999996e-04,3.93261000000000001e-04,false,10,1.466049293256e+03,162,11,150,/workspace/exp/20260413/iterative/pf_dumps/case162_ieee_dtc/cuda_mixed_edge/iter_000
case179_goc,true,true,24,8.99240352783980674e-04,9.26245006005219362e-02,1.41769999999999993e-04,2.89399999999999987e-04,4.31169999999999980e-04,false,10,1.556696971246e+05,179,28,150,/workspace/exp/20260413/iterative/pf_dumps/case179_goc/cuda_mixed_edge/iter_000
