case,iterative_solved,iterative_success_flag,iterative_iterations,iterative_relative_residual_inf,iterative_residual_inf,setup_sec,solve_sec,total_sec,newton_converged,newton_iterations,newton_final_mismatch,n_bus,n_pv,n_pq,snapshot
case24464_goc,false,false,1000,9.21267166411782634e-01,2.95050232957691314e+01,4.08912609999999982e-02,1.66424898900000007e+00,1.70514025000000013e+00,false,10,3.131950614855e+13,24464,682,23781,/workspace/exp/20260413/iterative/pf_dumps/case24464_goc/cuda_mixed_edge/iter_000
case24_ieee_rts,true,true,5,4.86475750477007648e-09,2.21005944205099336e-08,3.63100000000000030e-05,6.40999999999999961e-06,4.27200000000000043e-05,true,5,1.684667753152e-10,24,10,13,/workspace/exp/20260413/iterative/pf_dumps/case24_ieee_rts/cuda_mixed_edge/iter_000
case2736sp_k,false,false,1000,5.58061521475072039e-03,5.00604936183714211e-02,4.08292800000000042e-03,1.27388448999999987e-01,1.31471377000000000e-01,true,5,2.571772017568e-09,2736,233,2502,/workspace/exp/20260413/iterative/pf_dumps/case2736sp_k/cuda_mixed_edge/iter_000
case2737sop_k,false,false,1000,3.82361354913999564e-04,2.35123593802185823e-03,4.11769800000000036e-03,1.29083518000000008e-01,1.33201216000000011e-01,true,5,1.233647714864e-11,2737,192,2544,/workspace/exp/20260413/iterative/pf_dumps/case2737sop_k/cuda_mixed_edge/iter_000
case2742_goc,true,true,380,8.62308184819611030e-09,8.28893545291170541e-07,4.26715800000000006e-03,5.75517789999999974e-02,6.18189369999999974e-02,false,10,5.650369283220e+03,2742,50,2691,/workspace/exp/20260413/iterative/pf_dumps/case2742_goc/cuda_mixed_edge/iter_000
case2746wop_k,false,false,1000,1.23971429182240765e-03,1.15067591675537262e-02,4.00746699999999980e-03,1.21460393999999999e-01,1.25467860999999986e-01,true,5,1.036131999784e-09,2746,349,2396,/workspace/exp/20260413/iterative/pf_dumps/case2746wop_k/cuda_mixed_edge/iter_000
case2746wp_k,false,false,1000,5.49808925192160438e-05,5.11607131670643867e-04,3.99130799999999984e-03,1.21075784000000006e-01,1.25067092000000019e-01,true,5,5.858362239386e-09,2746,363,2382,/workspace/exp/20260413/iterative/pf_dumps/case2746wp_k/cuda_mixed_edge/iter_000
case2848_rte,false,false,1000,2.38247602513663814e+01,1.15639110157517371e+04,4.13976699999999993e-03,1.37574932000000011e-01,1.41714699000000000e-01,false,10,2.374327585249e+06,2848,369,2478,/workspace/exp/20260413/iterative/pf_dumps/case2848_rte/cuda_mixed_edge/iter_000
case2853_sdet,false,false,1000,5.83435989124582055e-01,1.66351022393781811e+01,3.81799700000000006e-03,1.19337995000000002e-01,1.23155992000000006e-01,false,10,1.616364543680e+08,2853,798,2054,/workspace/exp/20260413/iterative/pf_dumps/case2853_sdet/cuda_mixed_edge/iter_000
case2868_rte,false,false,78,7.46181431495539726e-01,3.62176810359541832e+02,4.14304700000000040e-03,1.08935420000000008e-02,1.50365890000000012e-02,false,10,1.264244973030e+07,2868,412,2455,/workspace/exp/20260413/iterative/pf_dumps/case2868_rte/cuda_mixed_edge/iter_000
