snapshot,solver,success,iterations,estimated_error,setup_sec,solve_sec,rhs_inf,residual_inf,relative_residual_inf,x_inf,direct_residual_inf,x_delta_direct_inf
/workspace/exp/20260413/iterative/pf_dumps/case20758_epigrids/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,false,1000,2.47341058117490298e-01,7.44783880000000065e-02,4.51720892999999979e+00,5.35505981445312500e+01,4.76262229674844395e+00,8.89368646059617851e-02,5.48074147690498670e-01,1.34234150665742291e-01,4.80367231898221902e+00
/workspace/exp/20260413/iterative/pf_dumps/case2312_goc/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,true,92,9.61515098266546727e-04,5.55062600000000034e-03,3.66684070000000001e-02,1.92934551239013672e+01,1.61000499343515457e-02,8.34482462107384473e-04,9.73290808751963610e-01,6.58386042244440972e-04,3.02518090959691399e-03
/workspace/exp/20260413/iterative/pf_dumps/case2383wp_k/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,false,57,9.68565134435284418e-04,5.33543400000000001e-03,2.31953049999999994e-02,5.54020023345947266e+00,1.16314366689991289e-02,2.09946142356954137e-03,1.02394846961430419e+00,2.06651538192303974e-03,1.72330575891710414e-03
/workspace/exp/20260413/iterative/pf_dumps/case240_pserc/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,true,30,7.59239718743955506e-04,5.47874999999999968e-04,8.93187000000000039e-04,9.00398406982421875e+01,7.20711770832478393e-02,8.00436523702721886e-04,7.56712151561601942e+00,2.06505880232729644e-03,1.41368082991411015e-03
/workspace/exp/20260413/iterative/pf_dumps/case24464_goc/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,false,1000,9.83253030777632570e-02,8.89418349999999969e-02,5.08484678800000012e+00,3.20265655517578125e+01,3.60724625931959597e+00,1.12632940721975369e-01,4.01312000963175652e+00,5.14733439143156168e-01,2.23500506141475412e+01
/workspace/exp/20260413/iterative/pf_dumps/case24_ieee_rts/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,true,5,2.24921711884732502e-04,2.21751000000000012e-04,2.90409999999999986e-05,4.54300022125244141e+00,9.99699575561351778e-04,2.20052724383479917e-04,4.19075695005852455e-01,2.59912482070134843e-06,3.60706928134758853e-05
/workspace/exp/20260413/iterative/pf_dumps/case2736sp_k/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,true,74,8.86263185166576606e-04,6.46671299999999980e-03,3.54663750000000014e-02,8.97042560577392578e+00,8.29669680557998390e-03,9.24894444276948453e-04,6.41889372324061735e-01,5.21122203898050085e-04,7.92948248049096804e-04
/workspace/exp/20260413/iterative/pf_dumps/case2737sop_k/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,false,66,9.89683462674119819e-04,6.34762300000000015e-03,3.18903040000000013e-02,6.14925098419189453e+00,1.17101012162699192e-02,1.90431342717568472e-03,2.83977792142884766e-01,3.69783547645496924e-04,8.32052655272294550e-04
/workspace/exp/20260413/iterative/pf_dumps/case2742_goc/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,true,22,9.19181915947037435e-04,9.88607199999999922e-03,1.16902870000000006e-02,9.61249771118164062e+01,2.20806670280486728e-02,2.29707904141954287e-04,1.34969559368587522e+00,9.51161007209488929e-04,8.79558239130662223e-03
/workspace/exp/20260413/iterative/pf_dumps/case2746wop_k/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,true,74,9.95197964169256769e-04,5.88590899999999993e-03,3.48912300000000022e-02,9.28178310394287109e+00,8.22878551479178100e-03,8.86552230604938335e-04,4.49893832773320790e-01,8.70442842570318120e-04,7.10080793583547920e-04
/workspace/exp/20260413/iterative/pf_dumps/case2746wp_k/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,false,78,9.37347699714631121e-04,5.81626800000000031e-03,3.67060150000000016e-02,9.30518054962158203e+00,1.73284006608156460e-02,1.86223153526240254e-03,6.49157021092061415e-01,7.85389259498614489e-04,8.57449682868050012e-04
/workspace/exp/20260413/iterative/pf_dumps/case2848_rte/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,false,1000,2.20778630525327417e-02,7.04837800000000011e-03,4.97282066000000023e-01,4.85373657226562500e+02,1.14499946994294426e+01,2.35900620665221196e-02,3.36409353836726588e+00,6.00818997648910891e-02,1.62006186444595137e+01
/workspace/exp/20260413/iterative/pf_dumps/case2853_sdet/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,false,1000,4.25705827668597936e-01,5.56423600000000018e-03,4.35110449999999982e-01,2.85123004913330078e+01,8.74765299457554946e+00,3.06802777882991484e-01,2.97874361288392286e+00,3.63351229620028360e-02,5.25091822391575569e+00
/workspace/exp/20260413/iterative/pf_dumps/case2868_rte/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,false,1000,4.29829414157464132e-02,7.09818900000000041e-03,4.96740764999999973e-01,4.85373657226562500e+02,2.05594067853675107e+01,4.23578957763066227e-02,2.21276427616672411e+00,1.40229280973237280e-01,3.95604113962074919e+01
/workspace/exp/20260413/iterative/pf_dumps/case2869_pegase/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,false,79,9.41071898265127024e-04,7.20448899999999968e-03,4.01836829999999978e-02,2.66666507720947266e+01,4.69700131031061119e-02,1.76137654122870968e-03,1.05395139917251757e+00,1.11795093610411733e-03,1.05207600772094477e-02
/workspace/exp/20260413/iterative/pf_dumps/case30000_goc/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,true,351,9.98741783628031427e-04,8.27869849999999935e-02,2.07687485900000013e+00,6.71930236816406250e+01,8.71398463238931553e-03,1.29685853604029247e-04,6.18835656839452675e+00,4.00651363928972160e-03,1.83590979010797462e-01
/workspace/exp/20260413/iterative/pf_dumps/case300_ieee/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,true,16,9.53116709436556647e-04,1.00402900000000003e-03,5.27773999999999952e-04,1.74990367889404297e+01,1.49531628559187446e-02,8.54513481871716353e-04,6.22770103634050542e+00,6.40689348101908251e-04,2.17999681000340395e-02
/workspace/exp/20260413/iterative/pf_dumps/case3012wp_k/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,true,171,9.23279277594719612e-04,6.74122600000000034e-03,9.06182479999999985e-02,2.72074680328369141e+01,1.62918599940340414e-02,5.98801034126779570e-04,1.58759776850401613e+00,4.22923611067638205e-03,3.04563606830021705e-03
/workspace/exp/20260413/iterative/pf_dumps/case3022_goc/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,false,1000,5.68594241483148410e-01,7.16349900000000026e-03,5.35203722999999965e-01,2.30895633697509766e+01,1.07652446871472645e+01,4.66238556128372950e-01,1.76303885928106641e+00,2.33342944084737880e-02,2.95596767894466801e+01
/workspace/exp/20260413/iterative/pf_dumps/case30_as/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,true,7,5.42191088319620416e-04,1.54580999999999989e-04,3.92409999999999992e-05,1.11424911022186279e+00,3.67659863826641509e-04,3.29961999030392084e-04,2.31832094272791306e-01,5.15226893371689698e-07,1.94088624439842095e-04
/workspace/exp/20260413/iterative/pf_dumps/case30_ieee/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,true,7,5.81412720706168582e-04,1.12820999999999996e-04,3.73899999999999995e-05,9.41999971866607666e-01,2.96884474333736215e-04,3.15163994904849834e-04,3.29367654814264665e-01,1.72933624531523833e-06,2.82110349410058525e-04
/workspace/exp/20260413/iterative/pf_dumps/case3120sp_k/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,false,134,9.93772434099013217e-04,6.73399599999999991e-03,7.35171960000000069e-02,2.75737037658691406e+01,3.23023908291908413e-02,1.17149263310701440e-03,8.18427158095141771e-01,1.10028001172315926e-03,2.26540054820906223e-03
/workspace/exp/20260413/iterative/pf_dumps/case3375wp_k/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,false,536,9.91623184314736070e-04,7.19823900000000037e-03,3.19977477999999982e-01,2.72074680328369141e+01,2.89457188562991519e-02,1.06388873898020670e-03,1.49524074995061751e+00,5.38573078173687492e-03,5.13119440676396144e-03
/workspace/exp/20260413/iterative/pf_dumps/case3970_goc/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,true,42,8.38812830684000405e-04,1.45181700000000004e-02,3.26341990000000026e-02,1.58070001602172852e+01,7.20509588617535002e-03,4.55816778208744408e-04,1.15213341089026056e+00,1.18445312385595525e-03,5.73787417406923517e-03
/workspace/exp/20260413/iterative/pf_dumps/case39_epri/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,true,5,5.55192781296779368e-04,1.28860999999999998e-04,3.46699999999999984e-05,8.30686473846435547e+00,6.84546193687110560e-03,8.24072878564360606e-04,1.27150164179229330e+00,6.73228162106909167e-05,1.79027135411624627e-04
/workspace/exp/20260413/iterative/pf_dumps/case3_lmbd/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,true,1,0.00000000000000000e+00,2.97999999999999993e-05,6.26000000000000020e-06,8.89999961853027344e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.61566055483274962e+00,1.89522978644163231e-07,1.12586683975735014e-07
/workspace/exp/20260413/iterative/pf_dumps/case4020_goc/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,true,29,7.80418262108862021e-04,1.49194730000000008e-02,2.37067250000000014e-02,1.42045001983642578e+01,7.79182523393018300e-03,5.48546244156303590e-04,1.66810030368411222e+00,1.01847761382031499e-02,1.12480811703463690e-03
/workspace/exp/20260413/iterative/pf_dumps/case4601_goc/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,true,58,9.47340236201653797e-04,1.62320040000000013e-02,5.39268639999999980e-02,1.58070001602172852e+01,4.90827885228928285e-03,3.10512988077417287e-04,1.60387974506471909e+00,4.06862662996720914e-04,9.47815650846206559e-03
/workspace/exp/20260413/iterative/pf_dumps/case4619_goc/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,true,58,8.34347774719129925e-04,1.80160879999999995e-02,5.63692640000000023e-02,2.53402690887451172e+01,1.85502941122974718e-02,7.32048031823647350e-04,1.33093754458235436e+00,1.20047648859136769e-03,1.17194568206651084e-02
