case,iterative_solved,iterative_success_flag,iterative_iterations,iterative_relative_residual_inf,iterative_residual_inf,iterative_solve_sec,newton_converged,newton_iterations,newton_final_mismatch,n_bus,n_pv,n_pq,snapshot
case2742_goc,true,true,5,7.38384992701219281e-09,7.09772405231134246e-07,2.15029999999999995e-03,false,10,5.650369283220e+03,2742,50,2691,/workspace/exp/20260413/iterative/pf_dumps/case2742_goc/cuda_mixed_edge/iter_000
case2746wop_k,true,true,6,2.48321054625680129e-11,2.30486216917791253e-10,1.94089099999999993e-03,true,5,1.036131999784e-09,2746,349,2396,/workspace/exp/20260413/iterative/pf_dumps/case2746wop_k/cuda_mixed_edge/iter_000
case2746wp_k,true,true,5,8.56090814257461573e-09,7.96607959353823336e-08,1.76056200000000002e-03,true,5,5.858362239386e-09,2746,363,2382,/workspace/exp/20260413/iterative/pf_dumps/case2746wp_k/cuda_mixed_edge/iter_000
case2848_rte,true,true,5,2.40562116599185183e-10,1.16762514323909272e-07,1.75267200000000004e-03,false,10,2.374327585249e+06,2848,369,2478,/workspace/exp/20260413/iterative/pf_dumps/case2848_rte/cuda_mixed_edge/iter_000
case2853_sdet,true,true,7,2.64438352624864135e-09,7.53974577147320524e-08,2.30545900000000015e-03,false,10,1.616364543680e+08,2853,798,2054,/workspace/exp/20260413/iterative/pf_dumps/case2853_sdet/cuda_mixed_edge/iter_000
case2868_rte,true,true,5,1.21032511315877092e-10,5.87459926607025729e-08,1.77121200000000009e-03,false,10,1.264244973030e+07,2868,412,2455,/workspace/exp/20260413/iterative/pf_dumps/case2868_rte/cuda_mixed_edge/iter_000
case2869_pegase,true,true,4,4.48672891483675105e-10,1.19646033081011183e-08,1.54399399999999992e-03,true,6,8.506317872303e-11,2869,509,2359,/workspace/exp/20260413/iterative/pf_dumps/case2869_pegase/cuda_mixed_edge/iter_000
case30000_goc,true,true,11,7.44050520033272172e-10,4.99950042129326810e-08,4.76372669999999970e-02,false,10,1.328386150549e+01,30000,2277,27722,/workspace/exp/20260413/iterative/pf_dumps/case30000_goc/cuda_mixed_edge/iter_000
case300_ieee,true,true,3,2.47404296659486747e-12,4.32933688898629043e-11,1.13120000000000001e-04,false,10,5.408878852085e+04,300,68,231,/workspace/exp/20260413/iterative/pf_dumps/case300_ieee/cuda_mixed_edge/iter_000
case3012wp_k,true,true,7,1.00884390321074384e-11,2.74480882467287302e-10,2.52720899999999988e-03,true,7,8.687808083898e-12,3012,297,2714,/workspace/exp/20260413/iterative/pf_dumps/case3012wp_k/cuda_mixed_edge/iter_000
case3022_goc,true,true,5,1.27217524917732223e-10,2.93739710333085213e-09,2.05446100000000005e-03,false,10,3.528715899914e+09,3022,318,2703,/workspace/exp/20260413/iterative/pf_dumps/case3022_goc/cuda_mixed_edge/iter_000
case30_as,true,true,1,1.84141795201925450e-11,2.05179831458401907e-11,6.37999999999999990e-06,true,5,1.017796957825e-12,30,2,27,/workspace/exp/20260413/iterative/pf_dumps/case30_as/cuda_mixed_edge/iter_000
case30_ieee,true,true,1,1.15704365093468745e-11,1.08993508662891259e-11,5.81000000000000028e-06,true,5,2.601446840299e-13,30,5,24,/workspace/exp/20260413/iterative/pf_dumps/case30_ieee/cuda_mixed_edge/iter_000
case3120sp_k,true,true,5,1.71793501413268023e-09,4.73698311687087426e-08,1.91145099999999999e-03,true,6,5.802414659282e-12,3120,247,2872,/workspace/exp/20260413/iterative/pf_dumps/case3120sp_k/cuda_mixed_edge/iter_000
case3375wp_k,true,true,6,5.53513539435822224e-10,1.50597019299425483e-08,2.54891799999999984e-03,true,6,6.197135079120e-11,3374,391,2982,/workspace/exp/20260413/iterative/pf_dumps/case3375wp_k/cuda_mixed_edge/iter_000
case3970_goc,true,true,5,5.59657355621516891e-09,8.84650390997610003e-08,3.02960599999999979e-03,true,6,6.290856724434e-12,3970,122,3847,/workspace/exp/20260413/iterative/pf_dumps/case3970_goc/cuda_mixed_edge/iter_000
case39_epri,true,true,1,8.25200686039470205e-09,6.85483048101787062e-08,7.53999999999999981e-06,false,10,1.352689202441e+03,39,9,29,/workspace/exp/20260413/iterative/pf_dumps/case39_epri/cuda_mixed_edge/iter_000
case3_lmbd,true,true,2,0.00000000000000000e+00,0.00000000000000000e+00,1.45000000000000009e-06,false,10,9.718034879158e+00,3,2,0,/workspace/exp/20260413/iterative/pf_dumps/case3_lmbd/cuda_mixed_edge/iter_000
case4020_goc,false,true,6,1.06211601452216293e-08,1.50868271389659192e-07,3.94735299999999980e-03,false,10,1.359389906036e+01,4020,88,3931,/workspace/exp/20260413/iterative/pf_dumps/case4020_goc/cuda_mixed_edge/iter_000
