case,iterative_solved,iterative_success_flag,iterative_iterations,iterative_relative_residual_inf,iterative_residual_inf,setup_sec,solve_sec,total_sec,newton_converged,newton_iterations,newton_final_mismatch,n_bus,n_pv,n_pq,snapshot
case24464_goc,true,true,683,2.75318723928709665e-09,8.81751315952913201e-08,2.62581719999999998e-02,2.33542845699999990e+00,2.36168662899999982e+00,false,10,3.131950614855e+13,24464,682,23781,/workspace/exp/20260413/iterative/pf_dumps/case24464_goc/cuda_mixed_edge/iter_000
case24_ieee_rts,true,true,9,1.63485455862330991e-09,7.42714462154125954e-09,1.97899999999999986e-05,1.49499999999999992e-05,3.47399999999999960e-05,true,5,1.684667753152e-10,24,10,13,/workspace/exp/20260413/iterative/pf_dumps/case24_ieee_rts/cuda_mixed_edge/iter_000
case2736sp_k,true,true,141,5.70549843184678497e-09,5.11807492267413790e-08,1.94301799999999992e-03,4.61413180000000006e-02,4.80843359999999984e-02,true,5,2.571772017568e-09,2736,233,2502,/workspace/exp/20260413/iterative/pf_dumps/case2736sp_k/cuda_mixed_edge/iter_000
case2737sop_k,true,true,149,4.06491024131617092e-09,2.49961533020651774e-08,1.97349800000000018e-03,4.87781350000000002e-02,5.07516329999999974e-02,true,5,1.233647714864e-11,2737,192,2544,/workspace/exp/20260413/iterative/pf_dumps/case2737sop_k/cuda_mixed_edge/iter_000
case2742_goc,true,true,95,6.71799406622359254e-09,6.45767025853061227e-07,2.60837800000000017e-03,3.47983950000000028e-02,3.74067730000000043e-02,false,10,5.650369283220e+03,2742,50,2691,/workspace/exp/20260413/iterative/pf_dumps/case2742_goc/cuda_mixed_edge/iter_000
case2746wop_k,true,true,146,3.13845375927719454e-09,2.91304470753650513e-08,1.88148900000000008e-03,4.73367969999999999e-02,4.92182860000000000e-02,true,5,1.036131999784e-09,2746,349,2396,/workspace/exp/20260413/iterative/pf_dumps/case2746wop_k/cuda_mixed_edge/iter_000
case2746wp_k,true,true,139,3.98237883854987531e-09,3.70567541096988862e-08,1.85489899999999991e-03,4.46717879999999970e-02,4.65266869999999971e-02,true,5,5.858362239386e-09,2746,363,2382,/workspace/exp/20260413/iterative/pf_dumps/case2746wp_k/cuda_mixed_edge/iter_000
case2848_rte,false,false,1000,3.20654067365608655e-02,1.55637037381818004e+01,2.52843899999999995e-03,3.41402075999999999e-01,3.43930514999999992e-01,false,10,2.374327585249e+06,2848,369,2478,/workspace/exp/20260413/iterative/pf_dumps/case2848_rte/cuda_mixed_edge/iter_000
case2853_sdet,true,true,416,8.78782776920010563e-09,2.50561186021514004e-07,2.14922799999999999e-03,1.34210263999999996e-01,1.36359491999999999e-01,false,10,1.616364543680e+08,2853,798,2054,/workspace/exp/20260413/iterative/pf_dumps/case2853_sdet/cuda_mixed_edge/iter_000
case2868_rte,false,false,1000,2.18646048571957419e+00,1.06125032233507591e+03,2.54088799999999983e-03,3.37141259999999998e-01,3.39682148000000017e-01,false,10,1.264244973030e+07,2868,412,2455,/workspace/exp/20260413/iterative/pf_dumps/case2868_rte/cuda_mixed_edge/iter_000
case2869_pegase,true,true,252,9.24058198199932789e-09,2.46415372644886999e-07,2.69774799999999981e-03,9.45433329999999933e-02,9.72410809999999931e-02,true,6,8.506317872303e-11,2869,509,2359,/workspace/exp/20260413/iterative/pf_dumps/case2869_pegase/cuda_mixed_edge/iter_000
case30000_goc,false,false,1000,4.41791719923346198e-07,2.96853214991621428e-05,2.36023030000000016e-02,3.73868125899999981e+00,3.76228356199999991e+00,false,10,1.328386150549e+01,30000,2277,27722,/workspace/exp/20260413/iterative/pf_dumps/case30000_goc/cuda_mixed_edge/iter_000
