config,raw_csv,merged_csv,cases,success_flag_true,solved_rel_le_1e-3,not_solved_rel_gt_1e-3,setup_sec_mean,solve_sec_mean,total_sec_mean,setup_sec_median,solve_sec_median,total_sec_median,iterations_mean,iterations_median,iterations_max,relative_residual_inf_mean,relative_residual_inf_median,relative_residual_inf_max,not_solved_cases
bicgstab_ilut_tol1e-3,/workspace/exp/20260413/iterative/results/pf_iterative_bicgstab_ilut_tol1e-3.csv,/workspace/exp/20260413/iterative/results/pf_iterative_bicgstab_ilut_tol1e-3_vs_newton.csv,67,67,63,4,0.01287111728358209,0.006862567268656717,0.019733684552238805,0.003238021,0.00109639,0.004266852,3.1641791044776117,3,19,0.00023730621659768958,8.362069671584396e-05,0.0015336829845189665,case13659_pegase case24464_goc case2742_goc case78484_epigrids
bicgstab_ilu0_tol1e-3,/workspace/exp/20260413/iterative/results/pf_iterative_bicgstab_ilu0_tol1e-3.csv,/workspace/exp/20260413/iterative/results/pf_iterative_bicgstab_ilu0_tol1e-3_vs_newton.csv,67,57,57,10,0.00587212776119403,0.32849615931343285,0.33436828707462685,0.00218545,0.032074781,0.035203802,243.83582089552237,81,1000,0.4752094163404749,0.0008228664589942866,10.307490781938977,case13659_pegase case1888_rte case1951_rte case2848_rte case2868_rte case6468_rte case6470_rte case6495_rte case6515_rte case9241_pegase
bicgstab_ilu1_tol1e-3,/workspace/exp/20260413/iterative/results/pf_iterative_bicgstab_ilu1_tol1e-3.csv,/workspace/exp/20260413/iterative/results/pf_iterative_bicgstab_ilu1_tol1e-3_vs_newton.csv,67,56,56,11,0.01329918928358209,0.3630967420597015,0.3763959313432836,0.005062901,0.032569599,0.037880651,221.98507462686567,63,1000,0.2939069869664764,0.0007832955175813826,14.266667440013629,case13659_pegase case1888_rte case1951_rte case240_pserc case2848_rte case2868_rte case6468_rte case6470_rte case6495_rte case6515_rte case9241_pegase
bicgstab_block_jacobi_b32_tol1e-3,/workspace/exp/20260413/iterative/results/pf_iterative_bicgstab_block_jacobi_b32_tol1e-3.csv,/workspace/exp/20260413/iterative/results/pf_iterative_bicgstab_block_jacobi_b32_tol1e-3_vs_newton.csv,67,41,41,26,0.00894442719402985,0.32047255058208957,0.3294169777761194,0.004184881,0.096561845,0.100719196,508.6268656716418,454,1000,1.3506236171001182,0.0009494720235354159,38.91772743615357,case10192_epigrids case10480_goc case13659_pegase case1888_rte case1951_rte case20758_epigrids case2383wp_k case24464_goc case2736sp_k case2848_rte case2853_sdet case2868_rte case3012wp_k case3022_goc case3120sp_k case3375wp_k case4661_sdet case5658_epigrids case6468_rte case6470_rte case6495_rte case6515_rte case7336_epigrids case78484_epigrids case8387_pegase case9241_pegase
