case,iterative_solved,iterative_success_flag,iterative_iterations,iterative_relative_residual_inf,iterative_residual_inf,setup_sec,solve_sec,total_sec,newton_converged,newton_iterations,newton_final_mismatch,n_bus,n_pv,n_pq,snapshot
case24464_goc,false,false,1000,9.21267166411782634e-01,2.95050232957691314e+01,4.07604209999999981e-02,1.69529572200000000e+00,1.73605614300000011e+00,false,10,3.131950614855e+13,24464,682,23781,/workspace/exp/20260413/iterative/pf_dumps/case24464_goc/cuda_mixed_edge/iter_000
case24_ieee_rts,true,true,3,8.93715518224042947e-05,4.06014979702856715e-04,3.67099999999999992e-05,6.25000000000000030e-06,4.29600000000000020e-05,true,5,1.684667753152e-10,24,10,13,/workspace/exp/20260413/iterative/pf_dumps/case24_ieee_rts/cuda_mixed_edge/iter_000
case2736sp_k,false,false,1000,5.58061521475072039e-03,5.00604936183714211e-02,4.13133100000000024e-03,1.26099612000000000e-01,1.30230942999999988e-01,true,5,2.571772017568e-09,2736,233,2502,/workspace/exp/20260413/iterative/pf_dumps/case2736sp_k/cuda_mixed_edge/iter_000
case2737sop_k,true,true,752,8.47020393576688145e-04,5.20854098883205552e-03,4.15735100000000010e-03,9.65618449999999934e-02,1.00719195999999997e-01,true,5,1.233647714864e-11,2737,192,2544,/workspace/exp/20260413/iterative/pf_dumps/case2737sop_k/cuda_mixed_edge/iter_000
case2742_goc,true,true,175,7.74846147356890187e-04,7.44820681798601947e-02,4.36667099999999992e-03,2.66429860000000004e-02,3.10096569999999995e-02,false,10,5.650369283220e+03,2742,50,2691,/workspace/exp/20260413/iterative/pf_dumps/case2742_goc/cuda_mixed_edge/iter_000
case2746wop_k,true,true,894,5.76942374604510816e-04,5.35505398455282666e-03,4.03912099999999968e-03,1.10455057999999995e-01,1.14494179000000001e-01,true,5,1.036131999784e-09,2746,349,2396,/workspace/exp/20260413/iterative/pf_dumps/case2746wop_k/cuda_mixed_edge/iter_000
case2746wp_k,true,true,883,9.55379856335982717e-04,8.88998205667784758e-03,4.03215100000000031e-03,1.08430167999999993e-01,1.12462318999999991e-01,true,5,5.858362239386e-09,2746,363,2382,/workspace/exp/20260413/iterative/pf_dumps/case2746wp_k/cuda_mixed_edge/iter_000
case2848_rte,false,false,1000,2.38247602513663814e+01,1.15639110157517371e+04,4.18488099999999967e-03,1.37436715999999987e-01,1.41621596999999988e-01,false,10,2.374327585249e+06,2848,369,2478,/workspace/exp/20260413/iterative/pf_dumps/case2848_rte/cuda_mixed_edge/iter_000
case2853_sdet,false,false,1000,5.83435989124582055e-01,1.66351022393781811e+01,3.85689099999999988e-03,1.20597751000000003e-01,1.24454642000000004e-01,false,10,1.616364543680e+08,2853,798,2054,/workspace/exp/20260413/iterative/pf_dumps/case2853_sdet/cuda_mixed_edge/iter_000
case2868_rte,false,false,78,7.46181431495539726e-01,3.62176810359541832e+02,4.19026099999999981e-03,1.09521930000000007e-02,1.51424539999999996e-02,false,10,1.264244973030e+07,2868,412,2455,/workspace/exp/20260413/iterative/pf_dumps/case2868_rte/cuda_mixed_edge/iter_000
case2869_pegase,true,true,991,7.11971754056679772e-04,1.89859021250251975e-02,4.28384999999999964e-03,1.32647944999999989e-01,1.36931794999999995e-01,true,6,8.506317872303e-11,2869,509,2359,/workspace/exp/20260413/iterative/pf_dumps/case2869_pegase/cuda_mixed_edge/iter_000
case30000_goc,true,true,553,7.35678544192275470e-04,4.94324658419864615e-02,4.96214219999999984e-02,1.22486735499999999e+00,1.27448877699999996e+00,false,10,1.328386150549e+01,30000,2277,27722,/workspace/exp/20260413/iterative/pf_dumps/case30000_goc/cuda_mixed_edge/iter_000
case300_ieee,true,true,102,2.92572973629389842e-04,5.11974522899039108e-03,4.78010000000000013e-04,1.24490100000000008e-03,1.72291100000000015e-03,false,10,5.408878852085e+04,300,68,231,/workspace/exp/20260413/iterative/pf_dumps/case300_ieee/cuda_mixed_edge/iter_000
case3012wp_k,false,false,1000,2.44407932058254007e-02,6.64972099844672204e-01,4.53270200000000043e-03,1.44594695999999995e-01,1.49127397999999994e-01,true,7,8.687808083898e-12,3012,297,2714,/workspace/exp/20260413/iterative/pf_dumps/case3012wp_k/cuda_mixed_edge/iter_000
case3022_goc,false,false,1000,1.02556452093197165e-01,2.36798369958270616e+00,4.49586100000000030e-03,1.57012829999999992e-01,1.61508690999999982e-01,false,10,3.528715899914e+09,3022,318,2703,/workspace/exp/20260413/iterative/pf_dumps/case3022_goc/cuda_mixed_edge/iter_000
case30_as,true,true,6,8.42869795449761286e-04,9.39166919612779982e-04,6.39400000000000011e-05,1.03299999999999994e-05,7.42700000000000055e-05,true,5,1.017796957825e-12,30,2,27,/workspace/exp/20260413/iterative/pf_dumps/case30_as/cuda_mixed_edge/iter_000
case30_ieee,true,true,6,9.92793105531963654e-04,9.35211077480471720e-04,4.26899999999999995e-05,1.06000000000000002e-05,5.32899999999999997e-05,true,5,2.601446840299e-13,30,5,24,/workspace/exp/20260413/iterative/pf_dumps/case30_ieee/cuda_mixed_edge/iter_000
case3120sp_k,false,false,1000,5.28889458111439677e-03,1.45834412428558935e-01,4.71641199999999969e-03,1.51369059000000000e-01,1.56085471000000003e-01,true,6,5.802414659282e-12,3120,247,2872,/workspace/exp/20260413/iterative/pf_dumps/case3120sp_k/cuda_mixed_edge/iter_000
case3375wp_k,false,false,1000,7.56758079271122736e-02,2.05894712503601340e+00,5.02297100000000021e-03,1.64874311999999995e-01,1.69897282999999982e-01,true,6,6.197135079120e-11,3374,391,2982,/workspace/exp/20260413/iterative/pf_dumps/case3375wp_k/cuda_mixed_edge/iter_000
case3970_goc,true,true,235,8.95950402002309546e-04,1.41622881479972484e-02,6.16289199999999968e-03,5.54753139999999978e-02,6.16382060000000009e-02,true,6,6.290856724434e-12,3970,122,3847,/workspace/exp/20260413/iterative/pf_dumps/case3970_goc/cuda_mixed_edge/iter_000
case39_epri,true,true,12,3.69117820768050160e-05,3.06621180967692197e-04,5.70400000000000028e-05,2.16700000000000009e-05,7.87100000000000104e-05,false,10,1.352689202441e+03,39,9,29,/workspace/exp/20260413/iterative/pf_dumps/case39_epri/cuda_mixed_edge/iter_000
case3_lmbd,true,true,1,9.97953323335981286e-17,8.88178419700125232e-16,1.41000000000000005e-06,6.89999999999999958e-07,2.10000000000000022e-06,false,10,9.718034879158e+00,3,2,0,/workspace/exp/20260413/iterative/pf_dumps/case3_lmbd/cuda_mixed_edge/iter_000
case4020_goc,true,true,506,4.23443008409693695e-04,6.01479629695145235e-03,6.26235199999999968e-03,1.27910042000000002e-01,1.34172394000000000e-01,false,10,1.359389906036e+01,4020,88,3931,/workspace/exp/20260413/iterative/pf_dumps/case4020_goc/cuda_mixed_edge/iter_000
case4601_goc,true,true,325,2.84405599077401888e-04,4.49559935018318483e-03,7.13997199999999964e-03,9.24293929999999986e-02,9.95693649999999930e-02,true,6,2.846984870075e-10,4601,132,4468,/workspace/exp/20260413/iterative/pf_dumps/case4601_goc/cuda_mixed_edge/iter_000
case4619_goc,true,true,454,9.44160427911385240e-04,2.39252793062192382e-02,7.20203199999999970e-03,1.36537085000000002e-01,1.43739117000000000e-01,true,6,1.190209993063e-09,4619,129,4489,/workspace/exp/20260413/iterative/pf_dumps/case4619_goc/cuda_mixed_edge/iter_000
case4661_sdet,false,false,1000,9.93530301171952401e-01,4.07786459087219555e+01,6.86675200000000027e-03,2.60533546000000005e-01,2.67400297999999981e-01,false,10,1.035818863952e+04,4661,630,4030,/workspace/exp/20260413/iterative/pf_dumps/case4661_sdet/cuda_mixed_edge/iter_000
case4837_goc,true,true,443,4.93179355513662728e-04,8.87722839924592888e-03,7.47104100000000031e-03,1.28769393000000010e-01,1.36240434000000021e-01,false,10,5.533659467606e+07,4837,149,4687,/workspace/exp/20260413/iterative/pf_dumps/case4837_goc/cuda_mixed_edge/iter_000
case4917_goc,true,true,773,9.82260055914149170e-04,2.35659379350948474e-02,7.30749199999999963e-03,2.28813737999999989e-01,2.36121229999999988e-01,false,10,3.550286638140e+10,4917,552,4364,/workspace/exp/20260413/iterative/pf_dumps/case4917_goc/cuda_mixed_edge/iter_000
case500_goc,true,true,138,9.90891854940406701e-04,2.45036683827527108e-02,6.99269999999999991e-04,2.93888099999999996e-03,3.63815100000000006e-03,false,10,2.554613215887e+01,500,112,387,/workspace/exp/20260413/iterative/pf_dumps/case500_goc/cuda_mixed_edge/iter_000
case5658_epigrids,false,false,1000,9.58332801703070530e-03,2.55759855486375809e-01,8.81205300000000025e-03,3.72442814000000011e-01,3.81254866999999997e-01,true,5,5.539486284691e-10,5658,104,5553,/workspace/exp/20260413/iterative/pf_dumps/case5658_epigrids/cuda_mixed_edge/iter_000
case57_ieee,true,true,15,5.59372341836404273e-04,2.40250425086407926e-03,8.44099999999999999e-05,3.99500000000000021e-05,1.24360000000000009e-04,true,5,4.405632109128e-12,57,6,50,/workspace/exp/20260413/iterative/pf_dumps/case57_ieee/cuda_mixed_edge/iter_000
case588_sdet,true,true,434,9.32229022815038834e-04,1.41187574474346475e-02,8.73210000000000023e-04,1.13501739999999993e-02,1.22233839999999986e-02,true,6,5.156487433125e-12,588,80,507,/workspace/exp/20260413/iterative/pf_dumps/case588_sdet/cuda_mixed_edge/iter_000
case5_pjm,true,true,1,2.96059473233375061e-16,8.88178419700125232e-16,2.40999999999999980e-06,1.15999999999999991e-06,3.56999999999999970e-06,true,4,3.695588279840e-11,5,3,1,/workspace/exp/20260413/iterative/pf_dumps/case5_pjm/cuda_mixed_edge/iter_000
case60_c,true,true,23,9.51256500924120801e-04,2.14508333700878101e-02,8.03700000000000047e-05,5.53599999999999985e-05,1.35730000000000003e-04,true,6,8.186456814788e-13,60,22,37,/workspace/exp/20260413/iterative/pf_dumps/case60_c/cuda_mixed_edge/iter_000
case6468_rte,false,false,257,3.89177274361535694e+01,2.27088692642284514e+04,9.90927299999999969e-03,1.07603027000000004e-01,1.17512300000000000e-01,false,10,1.883240657100e+09,6468,290,6177,/workspace/exp/20260413/iterative/pf_dumps/case6468_rte/cuda_mixed_edge/iter_000
case6470_rte,false,false,667,7.28749173687830876e-01,4.25232170579359263e+02,9.78382199999999931e-03,2.75718770000000002e-01,2.85502591999999999e-01,false,10,1.316357372426e+09,6470,452,6017,/workspace/exp/20260413/iterative/pf_dumps/case6470_rte/cuda_mixed_edge/iter_000
case6495_rte,false,false,463,2.29778017118879241e-01,1.34077688865740100e+02,9.80739199999999985e-03,1.91552409000000007e-01,2.01359801000000005e-01,false,10,4.853444320003e+10,6495,492,6002,/workspace/exp/20260413/iterative/pf_dumps/case6495_rte/cuda_mixed_edge/iter_000
case6515_rte,false,false,192,1.17849246908993628e+01,6.87661720570552279e+03,9.82656299999999996e-03,8.03319200000000011e-02,9.01584829999999976e-02,false,10,9.283106943686e+08,6515,492,6022,/workspace/exp/20260413/iterative/pf_dumps/case6515_rte/cuda_mixed_edge/iter_000
case7336_epigrids,false,false,1000,1.36538838816292890e-02,3.59684268718987177e-01,1.13438429999999993e-02,4.76751338999999996e-01,4.88095182000000016e-01,true,6,1.571986985027e-11,7336,239,7096,/workspace/exp/20260413/iterative/pf_dumps/case7336_epigrids/cuda_mixed_edge/iter_000
case73_ieee_rts,true,true,24,7.69487085127350495e-04,3.49577999798444949e-03,9.13499999999999978e-05,6.45499999999999969e-05,1.55899999999999995e-04,true,6,1.077471445399e-13,73,32,40,/workspace/exp/20260413/iterative/pf_dumps/case73_ieee_rts/cuda_mixed_edge/iter_000
case78484_epigrids,false,false,1000,2.69062931195113864e+00,9.15177206768304785e+01,1.36652743999999993e-01,8.03203523200000014e+00,8.16868797599999930e+00,false,10,1.108899578530e+14,78478,2038,76439,/workspace/exp/20260413/iterative/pf_dumps/case78484_epigrids/cuda_mixed_edge/iter_000
case793_goc,true,true,307,4.21623339114285899e-04,2.78219127919052817e-03,1.20404999999999991e-03,1.11041230000000005e-02,1.23081730000000004e-02,true,6,2.639533557003e-12,793,88,704,/workspace/exp/20260413/iterative/pf_dumps/case793_goc/cuda_mixed_edge/iter_000
case8387_pegase,false,false,1000,3.28645691670778547e-02,7.36336529399192870e+01,1.17577629999999992e-02,5.21375712999999963e-01,5.33133475999999940e-01,true,7,2.014866495870e-09,8387,1864,6522,/workspace/exp/20260413/iterative/pf_dumps/case8387_pegase/cuda_mixed_edge/iter_000
case89_pegase,true,true,60,9.08832192797850210e-04,1.22451039750628432e-02,1.41769999999999993e-04,2.89480000000000000e-04,4.31249999999999993e-04,true,5,6.929104401365e-09,89,11,77,/workspace/exp/20260413/iterative/pf_dumps/case89_pegase/cuda_mixed_edge/iter_000
case9241_pegase,false,false,285,1.51865701171776979e+00,4.34050595219560336e+01,1.34468529999999999e-02,1.71807570999999992e-01,1.85254424000000001e-01,true,8,5.490430332600e-10,9241,1444,7796,/workspace/exp/20260413/iterative/pf_dumps/case9241_pegase/cuda_mixed_edge/iter_000
case9591_goc,true,true,403,3.74520208959770479e-04,5.46424990587029979e-03,1.49785339999999999e-02,2.62582152000000013e-01,2.77560686000000001e-01,false,10,1.026429475934e+09,9591,167,9423,/workspace/exp/20260413/iterative/pf_dumps/case9591_goc/cuda_mixed_edge/iter_000
