source_mat,case,converted_dir,snapshot_dir,profile,status,converged,iterations,final_mismatch,snapshots,total_sec,n_bus,ybus_nnz,n_ref,n_pv,n_pq,returncode,error
/workspace/datasets/pf_dataset/pglib_opf_case2848_rte.mat,case2848_rte,/workspace/exp/20260413/iterative/pf_cupf_dumps/case2848_rte,/workspace/exp/20260413/iterative/pf_dumps_max20_not_converged_max10/case2848_rte/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,20,7.905372649257e+08,1,9.072988089000e+00,2848,9732,1,369,2478,0,
/workspace/datasets/pf_dataset/pglib_opf_case2853_sdet.mat,case2853_sdet,/workspace/exp/20260413/iterative/pf_cupf_dumps/case2853_sdet,/workspace/exp/20260413/iterative/pf_dumps_max20_not_converged_max10/case2853_sdet/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,20,7.878334078029e+07,1,9.130546122000e+00,2853,10123,1,798,2054,0,
/workspace/datasets/pf_dataset/pglib_opf_case2868_rte.mat,case2868_rte,/workspace/exp/20260413/iterative/pf_cupf_dumps/case2868_rte,/workspace/exp/20260413/iterative/pf_dumps_max20_not_converged_max10/case2868_rte/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,20,5.484731503551e+09,1,9.139629237000e+00,2868,9810,1,412,2455,0,
/workspace/datasets/pf_dataset/pglib_opf_case30000_goc.mat,case30000_goc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case30000_goc,/workspace/exp/20260413/iterative/pf_dumps_max20_not_converged_max10/case30000_goc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,20,2.426730243373e+01,1,9.530900605000e+00,30000,100466,1,2277,27722,0,
/workspace/datasets/pf_dataset/pglib_opf_case300_ieee.mat,case300_ieee,/workspace/exp/20260413/iterative/pf_cupf_dumps/case300_ieee,/workspace/exp/20260413/iterative/pf_dumps_max20_not_converged_max10/case300_ieee/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,20,2.750198115739e+05,1,9.091506273000e+00,300,1118,1,68,231,0,
/workspace/datasets/pf_dataset/pglib_opf_case3022_goc.mat,case3022_goc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case3022_goc,/workspace/exp/20260413/iterative/pf_dumps_max20_not_converged_max10/case3022_goc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,20,4.563294126371e+10,1,9.112632122000e+00,3022,10756,1,318,2703,0,
/workspace/datasets/pf_dataset/pglib_opf_case39_epri.mat,case39_epri,/workspace/exp/20260413/iterative/pf_cupf_dumps/case39_epri,/workspace/exp/20260413/iterative/pf_dumps_max20_not_converged_max10/case39_epri/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,20,8.108670181024e+06,1,9.068929282000e+00,39,131,1,9,29,0,
/workspace/datasets/pf_dataset/pglib_opf_case3_lmbd.mat,case3_lmbd,/workspace/exp/20260413/iterative/pf_cupf_dumps/case3_lmbd,/workspace/exp/20260413/iterative/pf_dumps_max20_not_converged_max10/case3_lmbd/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,20,9.620529859130e+00,1,9.149499486000e+00,3,9,1,2,0,0,
/workspace/datasets/pf_dataset/pglib_opf_case4020_goc.mat,case4020_goc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case4020_goc,/workspace/exp/20260413/iterative/pf_dumps_max20_not_converged_max10/case4020_goc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,20,5.971846101618e+12,1,9.260426453000e+00,4020,16198,1,88,3931,0,
/workspace/datasets/pf_dataset/pglib_opf_case4661_sdet.mat,case4661_sdet,/workspace/exp/20260413/iterative/pf_cupf_dumps/case4661_sdet,/workspace/exp/20260413/iterative/pf_dumps_max20_not_converged_max10/case4661_sdet/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,20,8.950394330376e+10,1,3.334123100000e-01,4661,16163,1,630,4030,0,
/workspace/datasets/pf_dataset/pglib_opf_case4837_goc.mat,case4837_goc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case4837_goc,/workspace/exp/20260413/iterative/pf_dumps_max20_not_converged_max10/case4837_goc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,20,1.929941242592e+09,1,3.355557380000e-01,4837,18081,1,149,4687,0,
/workspace/datasets/pf_dataset/pglib_opf_case4917_goc.mat,case4917_goc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case4917_goc,/workspace/exp/20260413/iterative/pf_dumps_max20_not_converged_max10/case4917_goc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,20,2.813107261586e+08,1,3.492281030000e-01,4917,17291,1,552,4364,0,
/workspace/datasets/pf_dataset/pglib_opf_case500_goc.mat,case500_goc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case500_goc,/workspace/exp/20260413/iterative/pf_dumps_max20_not_converged_max10/case500_goc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,20,4.929175889835e+07,1,2.754958120000e-01,500,1800,1,112,387,0,
/workspace/datasets/pf_dataset/pglib_opf_case6468_rte.mat,case6468_rte,/workspace/exp/20260413/iterative/pf_cupf_dumps/case6468_rte,/workspace/exp/20260413/iterative/pf_dumps_max20_not_converged_max10/case6468_rte/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,20,2.117306578371e+09,1,3.534623890000e-01,6468,22598,1,290,6177,0,
/workspace/datasets/pf_dataset/pglib_opf_case6470_rte.mat,case6470_rte,/workspace/exp/20260413/iterative/pf_cupf_dumps/case6470_rte,/workspace/exp/20260413/iterative/pf_dumps_max20_not_converged_max10/case6470_rte/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,20,6.270515634882e+09,1,3.574246010000e-01,6470,22602,1,452,6017,0,
/workspace/datasets/pf_dataset/pglib_opf_case6495_rte.mat,case6495_rte,/workspace/exp/20260413/iterative/pf_cupf_dumps/case6495_rte,/workspace/exp/20260413/iterative/pf_dumps_max20_not_converged_max10/case6495_rte/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,20,3.056410823421e+09,1,3.521914030000e-01,6495,22663,1,492,6002,0,
/workspace/datasets/pf_dataset/pglib_opf_case6515_rte.mat,case6515_rte,/workspace/exp/20260413/iterative/pf_cupf_dumps/case6515_rte,/workspace/exp/20260413/iterative/pf_dumps_max20_not_converged_max10/case6515_rte/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,20,2.643050573512e+08,1,3.563835250000e-01,6515,22723,1,492,6022,0,
/workspace/datasets/pf_dataset/pglib_opf_case78484_epigrids.mat,case78484_epigrids,/workspace/exp/20260413/iterative/pf_cupf_dumps/case78484_epigrids,/workspace/exp/20260413/iterative/pf_dumps_max20_not_converged_max10/case78484_epigrids/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,20,3.489115633978e+13,1,1.525974495000e+00,78478,294392,1,2038,76439,0,
/workspace/datasets/pf_dataset/pglib_opf_case9591_goc.mat,case9591_goc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case9591_goc,/workspace/exp/20260413/iterative/pf_dumps_max20_not_converged_max10/case9591_goc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,20,1.967401450641e+09,1,4.888382340000e-01,9591,37675,1,167,9423,0,
