case,iterative_solved,iterative_success_flag,iterative_iterations,iterative_relative_residual_inf,iterative_residual_inf,setup_sec,solve_sec,total_sec,newton_converged,newton_iterations,newton_final_mismatch,n_bus,n_pv,n_pq,snapshot
case24464_goc,true,true,240,9.39033958809194075e-04,3.00740326371293012e-02,5.54845569999999969e-02,1.15070528200000011e+00,1.20618983900000010e+00,false,10,3.131950614855e+13,24464,682,23781,/workspace/exp/20260413/iterative/pf_dumps/case24464_goc/cuda_mixed_edge/iter_000
case24_ieee_rts,true,true,5,2.51710216130511858e-05,1.14351956757241524e-04,3.71600000000000034e-05,1.10900000000000005e-05,4.82500000000000073e-05,true,5,1.684667753152e-10,24,10,13,/workspace/exp/20260413/iterative/pf_dumps/case24_ieee_rts/cuda_mixed_edge/iter_000
case2736sp_k,true,true,67,3.62751155400961220e-04,3.25403225293285914e-03,4.60346099999999966e-03,2.78399289999999994e-02,3.24433900000000025e-02,true,5,2.571772017568e-09,2736,233,2502,/workspace/exp/20260413/iterative/pf_dumps/case2736sp_k/cuda_mixed_edge/iter_000
case2737sop_k,true,true,49,6.94202426338825672e-04,4.26882495339242496e-03,4.59610200000000035e-03,2.09063360000000011e-02,2.55024380000000023e-02,true,5,1.233647714864e-11,2737,192,2544,/workspace/exp/20260413/iterative/pf_dumps/case2737sop_k/cuda_mixed_edge/iter_000
case2742_goc,true,true,32,2.81969411053362270e-04,2.71043031837367998e-02,6.56417200000000006e-03,1.59414249999999987e-02,2.25055969999999987e-02,false,10,5.650369283220e+03,2742,50,2691,/workspace/exp/20260413/iterative/pf_dumps/case2742_goc/cuda_mixed_edge/iter_000
case2746wop_k,true,true,59,9.02951963963366522e-04,8.38100428278720777e-03,4.35493100000000025e-03,2.41389480000000003e-02,2.84938789999999997e-02,true,5,1.036131999784e-09,2746,349,2396,/workspace/exp/20260413/iterative/pf_dumps/case2746wop_k/cuda_mixed_edge/iter_000
case2746wp_k,true,true,55,9.79136800075058747e-04,9.11104470747715195e-03,4.25718199999999998e-03,2.23529259999999987e-02,2.66101080000000004e-02,true,5,5.858362239386e-09,2746,363,2382,/workspace/exp/20260413/iterative/pf_dumps/case2746wp_k/cuda_mixed_edge/iter_000
case2848_rte,false,false,1000,1.41731759781871303e-01,6.87928625904834945e+01,6.85914200000000036e-03,4.90261938999999980e-01,4.97121080999999965e-01,false,10,2.374327585249e+06,2848,369,2478,/workspace/exp/20260413/iterative/pf_dumps/case2848_rte/cuda_mixed_edge/iter_000
case2853_sdet,true,true,220,4.48662112680787344e-04,1.27923889758309178e-02,5.31811199999999984e-03,9.04577480000000045e-02,9.57758600000000043e-02,false,10,1.616364543680e+08,2853,798,2054,/workspace/exp/20260413/iterative/pf_dumps/case2853_sdet/cuda_mixed_edge/iter_000
case2868_rte,false,false,1000,1.14721235014799777e-01,5.56826654006813442e+01,7.82417300000000024e-03,4.96916320999999994e-01,5.04740493999999984e-01,false,10,1.264244973030e+07,2868,412,2455,/workspace/exp/20260413/iterative/pf_dumps/case2868_rte/cuda_mixed_edge/iter_000
case2869_pegase,true,true,108,7.83295517581382634e-04,2.08878680186899146e-02,7.16001200000000032e-03,5.55596370000000020e-02,6.27196490000000023e-02,true,6,8.506317872303e-11,2869,509,2359,/workspace/exp/20260413/iterative/pf_dumps/case2869_pegase/cuda_mixed_edge/iter_000
case30000_goc,true,true,214,7.67156186862929276e-04,5.15475438313979240e-02,5.40153759999999969e-02,1.11843260699999991e+00,1.17244798299999986e+00,false,10,1.328386150549e+01,30000,2277,27722,/workspace/exp/20260413/iterative/pf_dumps/case30000_goc/cuda_mixed_edge/iter_000
case300_ieee,true,true,20,7.79771885300170695e-04,1.36452569078491237e-02,6.48519999999999978e-04,5.36290000000000031e-04,1.18481000000000012e-03,false,10,5.408878852085e+04,300,68,231,/workspace/exp/20260413/iterative/pf_dumps/case300_ieee/cuda_mixed_edge/iter_000
case3012wp_k,true,true,72,9.93653680722905719e-04,2.70348007539791962e-02,4.78886199999999963e-03,3.25695989999999977e-02,3.73584609999999956e-02,true,7,8.687808083898e-12,3012,297,2714,/workspace/exp/20260413/iterative/pf_dumps/case3012wp_k/cuda_mixed_edge/iter_000
case3022_goc,true,true,84,8.94327018526579567e-04,2.06496203675499146e-02,6.75718199999999960e-03,4.48948929999999982e-02,5.16520749999999987e-02,false,10,3.528715899914e+09,3022,318,2703,/workspace/exp/20260413/iterative/pf_dumps/case3022_goc/cuda_mixed_edge/iter_000
case30_as,true,true,4,9.52046883094868619e-04,1.06081739237795514e-03,6.75599999999999969e-05,1.38299999999999997e-05,8.13899999999999915e-05,true,5,1.017796957825e-12,30,2,27,/workspace/exp/20260413/iterative/pf_dumps/case30_as/cuda_mixed_edge/iter_000
case30_ieee,true,true,3,7.09083605030607755e-04,6.67956735989905237e-04,5.64599999999999981e-05,1.09799999999999999e-05,6.74399999999999913e-05,true,5,2.601446840299e-13,30,5,24,/workspace/exp/20260413/iterative/pf_dumps/case30_ieee/cuda_mixed_edge/iter_000
case3120sp_k,true,true,65,3.42177361081619506e-04,9.43509718985141577e-03,5.06290099999999986e-03,3.07673889999999992e-02,3.58302900000000007e-02,true,6,5.802414659282e-12,3120,247,2872,/workspace/exp/20260413/iterative/pf_dumps/case3120sp_k/cuda_mixed_edge/iter_000
case3375wp_k,true,true,70,9.29895738540079488e-04,2.53001085802004866e-02,5.53543199999999985e-03,3.63288020000000003e-02,4.18642340000000002e-02,true,6,6.197135079120e-11,3374,391,2982,/workspace/exp/20260413/iterative/pf_dumps/case3375wp_k/cuda_mixed_edge/iter_000
case3970_goc,true,true,40,8.87603580743998185e-04,1.40303499430298149e-02,8.93137199999999992e-03,2.89492790000000014e-02,3.78806510000000013e-02,true,6,6.290856724434e-12,3970,122,3847,/workspace/exp/20260413/iterative/pf_dumps/case3970_goc/cuda_mixed_edge/iter_000
