solver,solved,total,mean_iterations,median_iterations,mean_setup_sec,median_setup_sec,mean_solve_sec,median_solve_sec,max_solve_sec,mean_relative_residual_inf,median_relative_residual_inf
BiCGSTAB + ILUT,63,67,3.164179104478e+00,3.000000000000e+00,1.287111728358e-02,3.238021000000e-03,6.862567268657e-03,1.096390000000e-03,2.043166730000e-01,2.373062165977e-04,8.362069671584e-05
BiCGSTAB + ILU(0),57,67,2.438358208955e+02,8.100000000000e+01,5.872127761194e-03,2.185450000000e-03,3.284961593134e-01,3.207478100000e-02,8.222916797000e+00,4.752094163405e-01,8.228664589943e-04
BiCGSTAB + ILU(1),56,67,2.219850746269e+02,6.300000000000e+01,1.329918928358e-02,5.062901000000e-03,3.630967420597e-01,3.256959900000e-02,8.199505968000e+00,2.939069869665e-01,7.832955175814e-04
BiCGSTAB + Block-Jacobi b32,41,67,5.086268656716e+02,4.540000000000e+02,8.944427194030e-03,4.184881000000e-03,3.204725505821e-01,9.656184500000e-02,8.032035232000e+00,1.350623617100e+00,9.494720235354e-04
BiCGSTAB + HYPRE BoomerAMG,40,67,3.091044776119e+02,4.200000000000e+01,1.829809332836e-02,6.651995000000e-03,1.166095143761e+00,4.417992300000e-02,3.007399067100e+01,9.452466572292e+05,7.804313569628e-04
FGMRES + HYPRE BoomerAMG,35,67,3.523731343284e+02,7.800000000000e+01,1.835769838806e-02,6.733996000000e-03,7.758621432090e-01,4.018368300000e-02,1.766408551100e+01,2.409055319863e+06,8.865522306049e-04
