case,fgmres_solved,fgmres_iterations,fgmres_setup_sec,fgmres_solve_sec,fgmres_relative_residual_inf,bicgstab_solved,bicgstab_iterations,bicgstab_setup_sec,bicgstab_solve_sec,bicgstab_relative_residual_inf,both_solved,fgmres_only,bicgstab_only,fgmres_solve_sec_minus_bicgstab_solve_sec
case30000_goc,true,351,8.278698500000e-02,2.076874859000e+00,1.296858536040e-04,true,106,7.830277800000e-02,1.046090253000e+00,3.340658642323e-04,true,false,false,1.030784606000e+00
case300_ieee,true,16,1.004029000000e-03,5.277740000000e-04,8.545134818717e-04,true,16,8.595600000000e-04,8.645710000000e-04,9.864815362826e-05,true,false,false,-3.367970000000e-04
case3012wp_k,true,171,6.741226000000e-03,9.061824800000e-02,5.988010341268e-04,false,207,6.476825000000e-03,1.839555640000e-01,1.033499770612e-03,false,true,false,-9.333731600000e-02
case3022_goc,false,1000,7.163499000000e-03,5.352037230000e-01,4.662385561284e-01,false,168,7.105745000000e-03,1.495563190000e-01,1.360259818512e-03,false,false,false,3.856474040000e-01
case30_as,true,7,1.545810000000e-04,3.924100000000e-05,3.299619990304e-04,true,5,1.220200000000e-04,4.568100000000e-05,3.456330459836e-05,true,false,false,-6.440000000000e-06
case30_ieee,true,7,1.128210000000e-04,3.739000000000e-05,3.151639949048e-04,true,4,1.063100000000e-04,3.628000000000e-05,3.579119469688e-04,true,false,false,1.110000000000e-06
case3120sp_k,false,134,6.733996000000e-03,7.351719600000e-02,1.171492633107e-03,false,135,6.651995000000e-03,1.233391590000e-01,1.029765369625e-03,false,false,false,-4.982196300000e-02
case3375wp_k,false,536,7.198239000000e-03,3.199774780000e-01,1.063888738980e-03,false,341,7.197596000000e-03,3.388754070000e-01,1.445998241161e-03,false,false,false,-1.889792900000e-02
case3970_goc,true,42,1.451817000000e-02,3.263419900000e-02,4.558167782087e-04,true,28,1.410128000000e-02,3.781811800000e-02,1.282601903985e-04,true,false,false,-5.183919000000e-03
case39_epri,true,5,1.288610000000e-04,3.467000000000e-05,8.240728785644e-04,true,3,1.243400000000e-04,3.602000000000e-05,4.010411857007e-04,true,false,false,-1.350000000000e-06
case3_lmbd,true,1,2.980000000000e-05,6.260000000000e-06,0.000000000000e+00,true,1,2.456000000000e-05,4.730000000000e-06,0.000000000000e+00,true,false,false,1.530000000000e-06
case4020_goc,true,29,1.491947300000e-02,2.370672500000e-02,5.485462441563e-04,true,18,1.624710200000e-02,2.534716800000e-02,8.847848687919e-04,true,false,false,-1.640443000000e-03
case4601_goc,true,58,1.623200400000e-02,5.392686400000e-02,3.105129880774e-04,true,27,1.638416200000e-02,4.282719100000e-02,3.107844050756e-04,true,false,false,1.109967300000e-02
case4619_goc,true,58,1.801608800000e-02,5.636926400000e-02,7.320480318236e-04,true,42,1.765204300000e-02,6.950250000000e-02,7.804313569628e-04,true,false,false,-1.313323600000e-02
case4661_sdet,true,111,1.005703300000e-02,9.218175800000e-02,5.754892854571e-04,false,76,9.780968000000e-03,1.053612860000e-01,1.168154545484e-03,false,true,false,-1.317952800000e-02
case4837_goc,true,94,1.645321600000e-02,9.060837500000e-02,8.177511826134e-04,true,29,1.522725100000e-02,4.771517500000e-02,3.184343209932e-04,true,false,false,4.289320000000e-02
case4917_goc,false,238,1.215320000000e-02,2.184054080000e-01,1.501638209795e-03,true,68,1.197358900000e-02,1.056451170000e-01,4.790282945235e-04,false,false,true,1.127602910000e-01
case500_goc,true,15,1.275710000000e-03,8.854480000000e-04,7.222366886056e-04,true,10,1.237681000000e-03,1.016951000000e-03,3.553947930049e-04,true,false,false,-1.315030000000e-04
case5658_epigrids,false,1000,2.035671800000e-02,1.214716304000e+00,4.079420666629e-02,false,1000,2.009793500000e-02,2.086588278000e+00,1.173208295101e-01,false,false,false,-8.718719740000e-01
case57_ieee,true,11,2.662430000000e-04,9.715000000000e-05,1.173390650944e-04,true,8,2.931700000000e-04,1.235700000000e-04,2.873645578318e-04,true,false,false,-2.642000000000e-05
case588_sdet,false,30,1.135539000000e-03,2.068887000000e-03,1.337171892309e-03,true,27,1.134611000000e-03,2.615712000000e-03,6.195369049086e-04,false,false,true,-5.468250000000e-04
case5_pjm,true,2,3.231000000000e-05,8.350000000000e-06,7.401486830834e-16,true,1,2.859000000000e-05,5.430000000000e-06,5.703815095200e-06,true,false,false,2.920000000000e-06
case60_c,true,8,1.480710000000e-04,6.199100000000e-05,6.694141115345e-04,true,6,1.439600000000e-04,8.008100000000e-05,6.187046076410e-05,true,false,false,-1.809000000000e-05
case6468_rte,false,1000,1.862401300000e-02,1.283528037000e+00,5.014255113677e-02,false,1000,1.843703300000e-02,2.176133680000e+00,3.017902116421e-01,false,false,false,-8.926056430000e-01
