case,iterative_solved,iterative_success_flag,iterative_iterations,iterative_relative_residual_inf,iterative_residual_inf,setup_sec,solve_sec,total_sec,newton_converged,newton_iterations,newton_final_mismatch,n_bus,n_pv,n_pq,snapshot
case24464_goc,false,true,19,1.04766471653723885e-03,3.35531027204436505e-02,6.82959340000000026e-02,7.61596580000000051e-02,1.44455592000000022e-01,false,10,3.131950614855e+13,24464,682,23781,/workspace/exp/20260413/iterative/pf_dumps/case24464_goc/cuda_mixed_edge/iter_000
case24_ieee_rts,true,true,1,4.16868026371167536e-10,1.89383153603728260e-09,3.62600000000000018e-05,4.72999999999999961e-06,4.09899999999999989e-05,true,5,1.684667753152e-10,24,10,13,/workspace/exp/20260413/iterative/pf_dumps/case24_ieee_rts/cuda_mixed_edge/iter_000
case2736sp_k,true,true,3,9.60653873786769427e-06,8.61747410770274946e-05,3.15965099999999987e-03,1.01599999999999998e-03,4.17565099999999984e-03,true,5,2.571772017568e-09,2736,233,2502,/workspace/exp/20260413/iterative/pf_dumps/case2736sp_k/cuda_mixed_edge/iter_000
case2737sop_k,true,true,3,1.09419912459803584e-05,6.72850504383638165e-05,3.23802100000000022e-03,1.02883100000000002e-03,4.26685199999999980e-03,true,5,1.233647714864e-11,2737,192,2544,/workspace/exp/20260413/iterative/pf_dumps/case2737sop_k/cuda_mixed_edge/iter_000
case2742_goc,false,true,2,1.05538463848682648e-03,1.01448824218708822e-01,7.15473199999999959e-03,9.13941000000000037e-04,8.06867300000000016e-03,false,10,5.650369283220e+03,2742,50,2691,/workspace/exp/20260413/iterative/pf_dumps/case2742_goc/cuda_mixed_edge/iter_000
case2746wop_k,true,true,3,3.79760834298930298e-05,3.52485769533505966e-04,3.10649099999999985e-03,1.01461999999999993e-03,4.12111100000000022e-03,true,5,1.036131999784e-09,2746,349,2396,/workspace/exp/20260413/iterative/pf_dumps/case2746wop_k/cuda_mixed_edge/iter_000
case2746wp_k,true,true,3,1.05752666030166118e-04,9.84047651014528790e-04,2.99537100000000014e-03,1.00664000000000005e-03,4.00201099999999976e-03,true,5,5.858362239386e-09,2746,363,2382,/workspace/exp/20260413/iterative/pf_dumps/case2746wp_k/cuda_mixed_edge/iter_000
case2848_rte,true,true,3,9.27746072746556409e-05,4.50303504306576591e-02,3.09707099999999985e-03,1.09195999999999989e-03,4.18903099999999931e-03,false,10,2.374327585249e+06,2848,369,2478,/workspace/exp/20260413/iterative/pf_dumps/case2848_rte/cuda_mixed_edge/iter_000
case2853_sdet,true,true,4,4.64408719291313228e-04,1.32413609552290423e-02,3.02180100000000017e-03,1.34993099999999996e-03,4.37173199999999970e-03,false,10,1.616364543680e+08,2853,798,2054,/workspace/exp/20260413/iterative/pf_dumps/case2853_sdet/cuda_mixed_edge/iter_000
case2868_rte,true,true,3,4.29904365751837870e-05,2.08664254262635324e-02,3.08068100000000004e-03,1.11604000000000000e-03,4.19672100000000048e-03,false,10,1.264244973030e+07,2868,412,2455,/workspace/exp/20260413/iterative/pf_dumps/case2868_rte/cuda_mixed_edge/iter_000
case2869_pegase,true,true,3,6.58590419730974671e-08,1.75624007248131875e-06,3.40864100000000001e-03,1.17820100000000003e-03,4.58684199999999983e-03,true,6,8.506317872303e-11,2869,509,2359,/workspace/exp/20260413/iterative/pf_dumps/case2869_pegase/cuda_mixed_edge/iter_000
case30000_goc,true,true,7,2.26822051698062854e-04,1.52408594912662523e-02,5.17647280000000029e-02,3.03046309999999985e-02,8.20693590000000084e-02,false,10,1.328386150549e+01,30000,2277,27722,/workspace/exp/20260413/iterative/pf_dumps/case30000_goc/cuda_mixed_edge/iter_000
case300_ieee,true,true,1,3.31516099546624323e-04,5.80121242209241661e-03,3.70470000000000022e-04,4.78700000000000008e-05,4.18340000000000010e-04,false,10,5.408878852085e+04,300,68,231,/workspace/exp/20260413/iterative/pf_dumps/case300_ieee/cuda_mixed_edge/iter_000
case3012wp_k,true,true,3,8.51948409848767821e-04,2.31793591265865920e-02,3.39022200000000003e-03,1.11856999999999994e-03,4.50879200000000018e-03,true,7,8.687808083898e-12,3012,297,2714,/workspace/exp/20260413/iterative/pf_dumps/case3012wp_k/cuda_mixed_edge/iter_000
case3022_goc,true,true,3,4.20358237137528800e-05,9.70588815438377939e-04,3.87164199999999979e-03,1.23889000000000009e-03,5.11053200000000010e-03,false,10,3.528715899914e+09,3022,318,2703,/workspace/exp/20260413/iterative/pf_dumps/case3022_goc/cuda_mixed_edge/iter_000
