snapshot,solver,success,iterations,estimated_error,setup_sec,solve_sec,rhs_inf,residual_inf,relative_residual_inf,x_inf,direct_residual_inf,x_delta_direct_inf
/workspace/exp/20260413/iterative/pf_dumps/case2312_goc/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,false,1000,8.07356043151423935e-05,3.44577700000000013e-03,1.08012834000000002e-01,1.92934551239013672e+01,1.55766877404484028e-03,8.07356051076175014e-05,9.74223698427352791e-01,6.58386042244440972e-04,4.42762986482825305e-04
/workspace/exp/20260413/iterative/pf_dumps/case2383wp_k/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,false,1000,2.16842056121089366e-01,3.46124800000000010e-03,1.06156854999999994e-01,5.54020023345947266e+00,1.20134840978922486e+00,2.16842056092811236e-01,1.63670521814026837e+00,2.06651538192303974e-03,9.62579010311746641e-01
/workspace/exp/20260413/iterative/pf_dumps/case240_pserc/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,true,362,9.98165410918347520e-09,3.36089999999999989e-04,3.59637699999999999e-03,9.00398406982421875e+01,8.98783067526665036e-07,9.98205972552560966e-09,7.56693231103519093e+00,2.06505880232729644e-03,5.51775164430168275e-05
/workspace/exp/20260413/iterative/pf_dumps/case24464_goc/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,false,1000,9.21267166364423740e-01,4.08912609999999982e-02,1.66424898900000007e+00,3.20265655517578125e+01,2.95050232957691314e+01,9.21267166411782634e-01,1.04299817120180549e+01,5.14733439143156168e-01,1.76232956883095468e+01
/workspace/exp/20260413/iterative/pf_dumps/case24_ieee_rts/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,true,5,4.86475633956675288e-09,3.63100000000000030e-05,6.40999999999999961e-06,4.54300022125244141e+00,2.21005944205099336e-08,4.86475750477007648e-09,4.19090057600660870e-01,2.59912482070134843e-06,2.37309653261519315e-07
/workspace/exp/20260413/iterative/pf_dumps/case2736sp_k/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,false,1000,5.58061521502583799e-03,4.08292800000000042e-03,1.27388448999999987e-01,8.97042560577392578e+00,5.00604936183714211e-02,5.58061521475072039e-03,6.45488949106119869e-01,5.21122203898050085e-04,1.06899948328972871e-02
/workspace/exp/20260413/iterative/pf_dumps/case2737sop_k/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,false,1000,3.82361354154903978e-04,4.11769800000000036e-03,1.29083518000000008e-01,6.14925098419189453e+00,2.35123593802185823e-03,3.82361354913999564e-04,2.84237774509111252e-01,3.69783547645496924e-04,4.78120624479931589e-04
/workspace/exp/20260413/iterative/pf_dumps/case2742_goc/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,true,380,8.63128087791361577e-09,4.26715800000000006e-03,5.75517789999999974e-02,9.61249771118164062e+01,8.28893545291170541e-07,8.62308184819611030e-09,1.34932098939437251e+00,9.51161007209488929e-04,1.66413465535475424e-05
/workspace/exp/20260413/iterative/pf_dumps/case2746wop_k/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,false,1000,1.23971429217773843e-03,4.00746699999999980e-03,1.21460393999999999e-01,9.28178310394287109e+00,1.15067591675537262e-02,1.23971429182240765e-03,4.49710418599916173e-01,8.70442842570318120e-04,2.23306129070785508e-03
/workspace/exp/20260413/iterative/pf_dumps/case2746wp_k/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,false,1000,5.49808940328286229e-05,3.99130799999999984e-03,1.21075784000000006e-01,9.30518054962158203e+00,5.11607131670643867e-04,5.49808925192160438e-05,6.49116557796282190e-01,7.85389259498614489e-04,1.69123977225793531e-04
/workspace/exp/20260413/iterative/pf_dumps/case2848_rte/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,false,1000,2.38247602513663495e+01,4.13976699999999993e-03,1.37574932000000011e-01,4.85373657226562500e+02,1.15639110157517371e+04,2.38247602513663814e+01,5.38812350402920188e+01,6.00818997648910891e-02,6.96827944885341992e+01
/workspace/exp/20260413/iterative/pf_dumps/case2853_sdet/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,false,1000,5.83435989519494269e-01,3.81799700000000006e-03,1.19337995000000002e-01,2.85123004913330078e+01,1.66351022393781811e+01,5.83435989124582055e-01,7.72984929091139428e+00,3.63351229620028360e-02,2.83801331264862444e+00
/workspace/exp/20260413/iterative/pf_dumps/case2868_rte/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,false,78,7.46181431495538616e-01,4.14304700000000040e-03,1.08935420000000008e-02,4.85373657226562500e+02,3.62176810359541832e+02,7.46181431495539726e-01,1.77991192692744882e+00,1.40229280973237280e-01,3.99276995197058895e+01
/workspace/exp/20260413/iterative/pf_dumps/case2869_pegase/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,false,1000,1.31351348906519143e-03,4.06667799999999979e-03,1.35322254000000003e-01,2.66666507720947266e+01,3.50270054852199475e-02,1.31351348861079710e-03,1.02275863968012182e+00,1.11795093610411733e-03,4.59789914723887083e-02
