analyze_sec,backend,buses,case_name,case_stem,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,newtonpf.init_index.avg_sec,newtonpf.init_index.count,newtonpf.init_index.total_sec,newtonpf.jacobian.avg_sec,newtonpf.jacobian.count,newtonpf.jacobian.total_sec,newtonpf.mismatch.avg_sec,newtonpf.mismatch.count,newtonpf.mismatch.total_sec,newtonpf.solve.avg_sec,newtonpf.solve.count,newtonpf.solve.total_sec,newtonpf.update_voltage.avg_sec,newtonpf.update_voltage.count,newtonpf.update_voltage.total_sec,pq,profile,pv,repeat_idx,runpf.build_Sbus.avg_sec,runpf.build_Sbus.count,runpf.build_Sbus.total_sec,runpf.build_Ybus.avg_sec,runpf.build_Ybus.count,runpf.build_Ybus.total_sec,runpf.bus_indexing.avg_sec,runpf.bus_indexing.count,runpf.bus_indexing.total_sec,runpf.load_case_data.avg_sec,runpf.load_case_data.count,runpf.load_case_data.total_sec,runpf.newtonpf.avg_sec,runpf.newtonpf.count,runpf.newtonpf.total_sec,solve_sec,source_profile,success
,python,,case_ACTIVSg200,pglib_opf_case_ACTIVSg200,fp64,,0.007972776889801025,2.52435225500669e-13,pypower,2,pypower,,operators,1.1481344699859619e-05,1,1.1481344699859619e-05,0.0021170703694224358,2,0.0042341407388448715,3.881007432937622e-05,3,0.00011643022298812866,0.0006094677373766899,2,0.0012189354747533798,2.8565526008605957e-05,2,5.7131052017211914e-05,,pypower,,0,0.0001171603798866272,1,0.0001171603798866272,0.0011351723223924637,1,0.0011351723223924637,0.0006816722452640533,1,0.0006816722452640533,0.001130230724811554,1,0.001130230724811554,0.005682419985532761,1,0.005682419985532761,0.005682419985532761,pypower,True
,python,,case_ACTIVSg200,pglib_opf_case_ACTIVSg200,fp64,,0.008074004203081131,2.52435225500669e-13,pypower,2,pypower,,operators,1.1391937732696533e-05,1,1.1391937732696533e-05,0.002150263637304306,2,0.004300527274608612,3.965074817339579e-05,3,0.00011895224452018738,0.0006227605044841766,2,0.0012455210089683533,2.7067959308624268e-05,2,5.4135918617248535e-05,,pypower,,1,0.00011976808309555054,1,0.00011976808309555054,0.0011361520737409592,1,0.0011361520737409592,0.0006813313812017441,1,0.0006813313812017441,0.0011478718370199203,1,0.0011478718370199203,0.005775440484285355,1,0.005775440484285355,0.005775440484285355,pypower,True
,python,,case_ACTIVSg200,pglib_opf_case_ACTIVSg200,fp64,,0.00821283645927906,2.52435225500669e-13,pypower,2,pypower,,operators,1.1419877409934998e-05,1,1.1419877409934998e-05,0.0021234052255749702,2,0.0042468104511499405,3.967806696891785e-05,3,0.00011903420090675354,0.0007182024419307709,2,0.0014364048838615417,2.7106143534183502e-05,2,5.4212287068367004e-05,,pypower,,2,0.00011830031871795654,1,0.00011830031871795654,0.001127932220697403,1,0.001127932220697403,0.0006849505007266998,1,0.0006849505007266998,0.0011446513235569,1,0.0011446513235569,0.00591370090842247,1,0.00591370090842247,0.00591370090842247,pypower,True
,python,,case_ACTIVSg200,pglib_opf_case_ACTIVSg200,fp64,,0.008053995668888092,2.52435225500669e-13,pypower,2,pypower,,operators,1.1758878827095032e-05,1,1.1758878827095032e-05,0.0021393895149230957,2,0.004278779029846191,3.948435187339783e-05,3,0.00011845305562019348,0.0006255963817238808,2,0.0012511927634477615,2.679973840713501e-05,2,5.359947681427002e-05,,pypower,,3,0.00012014061212539673,1,0.00012014061212539673,0.001147272065281868,1,0.001147272065281868,0.0006890296936035156,1,0.0006890296936035156,0.0011341813951730728,1,0.0011341813951730728,0.005760082975029945,1,0.005760082975029945,0.005760082975029945,pypower,True
,python,,case_ACTIVSg200,pglib_opf_case_ACTIVSg200,fp64,,0.007968425750732422,2.52435225500669e-13,pypower,2,pypower,,operators,1.1412426829338074e-05,1,1.1412426829338074e-05,0.0021292883902788162,2,0.0042585767805576324,3.910002609093984e-05,3,0.00011730007827281952,0.0005948645994067192,2,0.0011897291988134384,2.650544047355652e-05,2,5.301088094711304e-05,,pypower,,4,0.00011682882905006409,1,0.00011682882905006409,0.001156974583864212,1,0.001156974583864212,0.0006779413670301437,1,0.0006779413670301437,0.0011273808777332306,1,0.0011273808777332306,0.0056757815182209015,1,0.0056757815182209015,0.0056757815182209015,pypower,True
,python,,case_ACTIVSg200,pglib_opf_case_ACTIVSg200,fp64,,0.007926095277071,2.52435225500669e-13,pypower,2,pypower,,operators,1.1231750249862671e-05,1,1.1231750249862671e-05,0.002115369774401188,2,0.004230739548802376,3.9124240477879844e-05,3,0.00011737272143363953,0.0006069457158446312,2,0.0012138914316892624,2.6846304535865784e-05,2,5.369260907173157e-05,,pypower,,5,0.00011713244020938873,1,0.00011713244020938873,0.0011116750538349152,1,0.0011116750538349152,0.0006860494613647461,1,0.0006860494613647461,0.0011125635355710983,1,0.0011125635355710983,0.005672262981534004,1,0.005672262981534004,0.005672262981534004,pypower,True
,python,,case_ACTIVSg200,pglib_opf_case_ACTIVSg200,fp64,,0.007931666448712349,2.52435225500669e-13,pypower,2,pypower,,operators,1.161918044090271e-05,1,1.161918044090271e-05,0.002102392725646496,2,0.004204785451292992,3.867348035176595e-05,3,0.00011602044105529785,0.0006117606535553932,2,0.0012235213071107864,2.647656947374344e-05,2,5.295313894748688e-05,,pypower,,6,0.00011920928955078125,1,0.00011920928955078125,0.0011191628873348236,1,0.0011191628873348236,0.0006740819662809372,1,0.0006740819662809372,0.0011195912957191467,1,0.0011195912957191467,0.005653202533721924,1,0.005653202533721924,0.005653202533721924,pypower,True
,python,,case_ACTIVSg200,pglib_opf_case_ACTIVSg200,fp64,,0.007994566112756729,2.52435225500669e-13,pypower,2,pypower,,operators,1.1272728443145752e-05,1,1.1272728443145752e-05,0.002113794907927513,2,0.004227589815855026,3.841705620288849e-05,3,0.00011525116860866547,0.000616622157394886,2,0.001233244314789772,2.6530586183071136e-05,2,5.306117236614227e-05,,pypower,,7,0.00011838041245937347,1,0.00011838041245937347,0.0011379215866327286,1,0.0011379215866327286,0.0006958711892366409,1,0.0006958711892366409,0.0011072922497987747,1,0.0011072922497987747,0.005685271695256233,1,0.005685271695256233,0.005685271695256233,pypower,True
,python,,case_ACTIVSg200,pglib_opf_case_ACTIVSg200,fp64,,0.007808195427060127,2.52435225500669e-13,pypower,2,pypower,,operators,1.115165650844574e-05,1,1.115165650844574e-05,0.0020712874829769135,2,0.004142574965953827,3.849777082602183e-05,3,0.00011549331247806549,0.0005967617034912109,2,0.0011935234069824219,2.6475638151168823e-05,2,5.2951276302337646e-05,,pypower,,8,0.00011811219155788422,1,0.00011811219155788422,0.001117601990699768,1,0.001117601990699768,0.0006654728204011917,1,0.0006654728204011917,0.0011211838573217392,1,0.0011211838573217392,0.005560180172324181,1,0.005560180172324181,0.005560180172324181,pypower,True
,python,,case_ACTIVSg200,pglib_opf_case_ACTIVSg200,fp64,,0.00781797245144844,2.52435225500669e-13,pypower,2,pypower,,operators,1.1470168828964233e-05,1,1.1470168828964233e-05,0.002098454162478447,2,0.004196908324956894,3.8327028354008995e-05,3,0.00011498108506202698,0.0005889656022191048,2,0.0011779312044382095,2.6180408895015717e-05,2,5.236081779003143e-05,,pypower,,9,0.00011785142123699188,1,0.00011785142123699188,0.0010962411761283875,1,0.0010962411761283875,0.000669233500957489,1,0.000669233500957489,0.0010947119444608688,1,0.0010947119444608688,0.005597792565822601,1,0.005597792565822601,0.005597792565822601,pypower,True
