label,threads,end2end_ms,end2end_speedup,operators_ms,operators_speedup,cudss_analysis_ms,factorization_ms,refactorization_ms,solve_ms,iteration_linear_solve_ms
no_mt,off,65.0022,1.0,59.399,1.0,46.547,0.6857,0.59070000000002,0.24152857142858,0.8856
mt_auto,auto,40.11299999999999,1.620477152045472,40.1213,1.4804854279397728,26.5472,0.6869,0.5921666666666799,0.2413,0.88672857142859
mt_1,1,59.3458,1.095312557923223,59.4901,0.9984686527674353,46.509,0.6910000000000001,0.59258333333333,0.24192857142857999,0.89134285714286
mt_2,2,49.3661,1.316737599283719,49.5223,1.1994394444522973,36.1197,0.7036,0.59091666666667,0.2418857142857,0.8875
mt_4,4,44.693799999999996,1.4543896468861455,44.821600000000004,1.3252315847716278,31.0462,0.6891,0.59408333333334,0.24690000000001,0.89438571428571
mt_8,8,42.0798,1.544736429355653,42.312000000000005,1.4038334278691622,28.5627,0.6892,0.5958,0.24394285714285,0.89404285714285
mt_16,16,42.439499999999995,1.5316438695083592,40.3518,1.4720285092610492,26.8559,0.6886,0.5952833333333201,0.24205714285714,0.88944285714285
mt_32,32,45.5057,1.4284408326868943,43.1149,1.3776907751148675,29.4324,0.6861999999999999,0.59153333333332,0.24204285714287,0.88444285714285
