case_name,mt_label,runs,cudss_analysis_ms,cudss_analysis_ms_ratio_vs_no_mt,cudss_analysis_ms_speedup_vs_no_mt,cudss_setup_ms,cudss_setup_ms_ratio_vs_no_mt,cudss_setup_ms_speedup_vs_no_mt,cudss_factorization_ms,cudss_factorization_ms_ratio_vs_no_mt,cudss_factorization_ms_speedup_vs_no_mt,cudss_refactorization_ms,cudss_refactorization_ms_ratio_vs_no_mt,cudss_refactorization_ms_speedup_vs_no_mt,cudss_solve_ms,cudss_solve_ms_ratio_vs_no_mt,cudss_solve_ms_speedup_vs_no_mt,nr_analyze_linear_solve_ms,nr_analyze_linear_solve_ms_ratio_vs_no_mt,nr_analyze_linear_solve_ms_speedup_vs_no_mt,nr_iteration_linear_solve_ms,nr_iteration_linear_solve_ms_ratio_vs_no_mt,nr_iteration_linear_solve_ms_speedup_vs_no_mt
case30_ieee,no_mt,10,8.5276,1.0,1.0,1.6222,1.0,1.0,0.0724,1.0,1.0,0.06446666666666899,1.0,1.0,0.056325,1.0,1.0,10.1527,1.0,1.0,0.135125,1.0,1.0
case30_ieee,mt_auto,10,9.0807,1.064859984051785,0.9390905987423876,1.5574,0.9600542473184563,1.0416078078849365,0.06609999999999999,0.9129834254143645,1.0953101361573376,0.058733333333332,0.9110651499482402,1.0976163450624936,0.0506,0.8983577452285841,1.1131422924901186,10.6412,1.0481152796792972,0.9540935232868474,0.121775,0.9012025901942645,1.1096284130568672
case30_ieee,mt_1,10,8.4734,0.9936441671748206,1.0063964878325111,1.5716,0.9688077918875602,1.032196487655892,0.0658,0.9088397790055247,1.1003039513677813,0.058533333333334,0.9079627714580955,1.101366742596838,0.05105,0.9063470927652019,1.1033300685602352,10.0477,0.9896579235080325,1.0104501527712808,0.122275,0.9049028677150787,1.1050909834389695
case30_ieee,mt_2,10,8.485199999999999,0.9950279093766123,1.0049969358412296,1.5732,0.9697941067685858,1.0311467073480804,0.0664,0.9171270718232043,1.0903614457831325,0.058766666666666995,0.9115822130299619,1.0969937606353142,0.051,0.9054593874833554,1.1044117647058824,10.0613,0.9909974686536586,1.0090843131603273,0.12267499999999999,0.9078630897317299,1.1014876706745467
case30_ieee,mt_4,10,8.508199999999999,0.9977250340072235,1.0022801532639103,1.5593,0.9612254962396745,1.040338613480408,0.06549999999999999,0.9046961325966848,1.105343511450382,0.058433333333332,0.9064115822129766,1.103251568739369,0.05025,0.8921438082556592,1.1208955223880597,10.0706,0.9919134811429473,1.008152443747145,0.120775,0.8938020351526365,1.118815980128338
case30_ieee,mt_8,10,8.5212,0.9992494957549605,1.0007510679247054,1.5503,0.9556774750339045,1.0463781203638005,0.0658,0.9088397790055247,1.1003039513677813,0.058399999999998994,0.9058945191312858,1.1038812785388716,0.050525,0.8970261873058145,1.1147946561108362,10.0747,0.992317314605967,1.0077421660198318,0.12125,0.8973172987974098,1.1144329896907217
case30_ieee,mt_16,10,8.5658,1.0044795722125803,0.9955404048658619,1.6257,1.0021575638022437,0.9978470812573046,0.066,0.9116022099447514,1.096969696969697,0.058733333333332,0.9110651499482402,1.0976163450624936,0.05545,0.9844651575676875,1.015779981965735,10.1957,1.0042353265633774,0.9957825357748854,0.126775,0.9382053654024052,1.0658647209623349
case30_ieee,mt_32,10,9.2082,1.0798114358084339,0.9260876175582633,1.6012,0.9870546171865368,1.0131151636272797,0.06559999999999999,0.9060773480662981,1.1036585365853662,0.058533333333334,0.9079627714580955,1.101366742596838,0.0504,0.8948069241011984,1.1175595238095237,10.8124,1.064977789159534,0.9389867189523139,0.121,0.8954671600370028,1.1167355371900827
case118_ieee,no_mt,10,8.9217,1.0,1.0,1.6189,1.0,1.0,0.0814,1.0,1.0,0.074433333333334,1.0,1.0,0.0665,1.0,1.0,10.5434,1.0,1.0,0.15555,1.0,1.0
case118_ieee,mt_auto,10,8.9891,1.0075546140309584,0.9925020302366198,1.5516,0.9584285626042375,1.0433745810775972,0.0764,0.9385749385749386,1.0654450261780106,0.069666666666668,0.9359605911330144,1.068421052631568,0.06135,0.9225563909774436,1.0839445802770986,10.5437,1.000028453819451,0.9999715469901458,0.144,0.9257473481195757,1.0802083333333334
