case,tier,n,nnz,range,phase,wall_ms,runtime_api_ms,cuda_sync_api_ms,cudss_api_ms,gpu_kernel_ms,gpu_kernel_count,memcpy_ms,memcpy_count,memset_ms,memset_count,sync_activity_ms,sync_activity_count
case6468rte,medium-large,12643,87845,cudss_solve_3,solve,0.291346,0.28694,0.245711,0.0,0.258952,7,0.003648,4,0.004161,4,0.24536,1
case6468rte,medium-large,12643,87845,cudss_solve_4,solve,0.290364,0.286027,0.243056,0.0,0.258664,7,0.003712,4,0.004064,4,0.242624,1
case_ACTIVSg25k,large,47246,318672,cudss_analysis,analysis,97.658133,25.826159,0.045526,0.0,18.348078,142,0.15991,68,0.058306,25,0.02752,55
case_ACTIVSg25k,large,47246,318672,cudss_factorize_0,factorize,16.938959,16.893336,1.659791,0.0,1.783764,7,0.0,0,0.011137,4,1.658208,1
case_ACTIVSg25k,large,47246,318672,cudss_factorize_1,factorize,1.810924,1.800194,1.756322,0.0,1.775922,7,0.0,0,0.01069,4,1.755761,1
case_ACTIVSg25k,large,47246,318672,cudss_factorize_2,factorize,1.845009,1.84039,1.809973,0.0,1.818707,7,0.0,0,0.010337,4,1.809592,1
case_ACTIVSg25k,large,47246,318672,cudss_factorize_3,factorize,1.817837,1.814473,1.784635,0.0,1.791699,7,0.0,0,0.010721,4,1.784245,1
case_ACTIVSg25k,large,47246,318672,cudss_factorize_4,factorize,1.822746,1.819589,1.790706,0.0,1.796756,7,0.0,0,0.010496,4,1.790356,1
case_ACTIVSg25k,large,47246,318672,cudss_solve_0,solve,4.187709,4.15159,0.628578,0.0,0.71407,7,0.004768,4,0.00416,4,0.627727,1
case_ACTIVSg25k,large,47246,318672,cudss_solve_1,solve,0.748313,0.742021,0.695353,0.0,0.708692,7,0.00448,4,0.004128,4,0.694913,1
case_ACTIVSg25k,large,47246,318672,cudss_solve_2,solve,0.738894,0.734001,0.689032,0.0,0.705332,7,0.004448,4,0.004128,4,0.688421,1
case_ACTIVSg25k,large,47246,318672,cudss_solve_3,solve,0.738905,0.734295,0.692919,0.0,0.705812,7,0.004448,4,0.004384,4,0.692608,1
case_ACTIVSg25k,large,47246,318672,cudss_solve_4,solve,0.737592,0.733213,0.692829,0.0,0.705589,7,0.00448,4,0.004096,4,0.692488,1
case_ACTIVSg70k,very-large,134104,900558,cudss_analysis,analysis,251.818651,36.915413,0.053221,0.0,26.490404,168,0.782201,83,0.125379,25,0.031001,67
case_ACTIVSg70k,very-large,134104,900558,cudss_factorize_0,factorize,19.607571,19.55979,4.335947,0.0,4.488417,7,0.0,0,0.028129,4,4.333943,1
case_ACTIVSg70k,very-large,134104,900558,cudss_factorize_1,factorize,4.512779,4.501046,4.459238,0.0,4.457953,7,0.0,0,0.028577,4,4.458757,1
case_ACTIVSg70k,very-large,134104,900558,cudss_factorize_2,factorize,4.510333,4.506257,4.476481,0.0,4.466016,7,0.0,0,0.028706,4,4.475889,1
case_ACTIVSg70k,very-large,134104,900558,cudss_factorize_3,factorize,4.458286,4.453567,4.419604,0.0,4.410718,7,0.0,0,0.028609,4,4.419022,1
case_ACTIVSg70k,very-large,134104,900558,cudss_factorize_4,factorize,4.506086,4.50185,4.468746,0.0,4.460737,7,0.0,0,0.028608,4,4.468145,1
case_ACTIVSg70k,very-large,134104,900558,cudss_solve_0,solve,5.301296,5.263187,1.267616,0.0,1.359782,7,0.010016,4,0.00448,4,1.266904,1
case_ACTIVSg70k,very-large,134104,900558,cudss_solve_1,solve,1.404132,1.395425,1.341485,0.0,1.357094,7,0.009153,4,0.00448,4,1.340062,1
