analyze_sec,backend,buses,case_name,case_stem,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,newtonpf.init_index.avg_sec,newtonpf.init_index.count,newtonpf.init_index.total_sec,newtonpf.jacobian.avg_sec,newtonpf.jacobian.count,newtonpf.jacobian.total_sec,newtonpf.mismatch.avg_sec,newtonpf.mismatch.count,newtonpf.mismatch.total_sec,newtonpf.solve.avg_sec,newtonpf.solve.count,newtonpf.solve.total_sec,newtonpf.update_voltage.avg_sec,newtonpf.update_voltage.count,newtonpf.update_voltage.total_sec,pq,profile,pv,repeat_idx,runpf.build_Sbus.avg_sec,runpf.build_Sbus.count,runpf.build_Sbus.total_sec,runpf.build_Ybus.avg_sec,runpf.build_Ybus.count,runpf.build_Ybus.total_sec,runpf.bus_indexing.avg_sec,runpf.bus_indexing.count,runpf.bus_indexing.total_sec,runpf.load_case_data.avg_sec,runpf.load_case_data.count,runpf.load_case_data.total_sec,runpf.newtonpf.avg_sec,runpf.newtonpf.count,runpf.newtonpf.total_sec,solve_sec,source_profile,success
,python,,case30_ieee,pglib_opf_case30_ieee,fp64,,0.010006686672568321,2.0731932157010958e-14,pypower,4,pypower,,operators,1.1218711733818054e-05,1,1.1218711733818054e-05,0.0018089041113853455,4,0.007235616445541382,3.228485584259033e-05,5,0.00016142427921295166,0.00011700810864567757,4,0.00046803243458271027,1.5537254512310028e-05,4,6.214901804924011e-05,,pypower,,0,0.00011251121759414673,1,0.00011251121759414673,0.000957222655415535,1,0.000957222655415535,0.00042679160833358765,1,0.00042679160833358765,0.0002564098685979843,1,0.0002564098685979843,0.007995331659913063,1,0.007995331659913063,0.007995331659913063,pypower,True
,python,,case30_ieee,pglib_opf_case30_ieee,fp64,,0.009947087615728378,2.0731932157010958e-14,pypower,4,pypower,,operators,1.1119991540908813e-05,1,1.1119991540908813e-05,0.0017965487204492092,4,0.007186194881796837,3.242082893848419e-05,5,0.00016210414469242096,0.00012018997222185135,4,0.0004807598888874054,1.543201506137848e-05,4,6.172806024551392e-05,,pypower,,1,0.00011109001934528351,1,0.00011109001934528351,0.0009428896009922028,1,0.0009428896009922028,0.00041699036955833435,1,0.00041699036955833435,0.00024222210049629211,1,0.00024222210049629211,0.007958844304084778,1,0.007958844304084778,0.007958844304084778,pypower,True
,python,,case30_ieee,pglib_opf_case30_ieee,fp64,,0.009985188022255898,2.0731932157010958e-14,pypower,4,pypower,,operators,1.1391937732696533e-05,1,1.1391937732696533e-05,0.0018120636232197285,4,0.007248254492878914,3.212690353393555e-05,5,0.00016063451766967773,0.00011372193694114685,4,0.0004548877477645874,1.5188474208116531e-05,4,6.0753896832466125e-05,,pypower,,2,0.0001119319349527359,1,0.0001119319349527359,0.0009442530572414398,1,0.0009442530572414398,0.00043398141860961914,1,0.00043398141860961914,0.0002463497221469879,1,0.0002463497221469879,0.007992463186383247,1,0.007992463186383247,0.007992463186383247,pypower,True
,python,,case30_ieee,pglib_opf_case30_ieee,fp64,,0.009813807904720306,2.0731932157010958e-14,pypower,4,pypower,,operators,1.125037670135498e-05,1,1.125037670135498e-05,0.0017758719623088837,4,0.007103487849235535,3.181099891662598e-05,5,0.00015905499458312988,0.00011198548600077629,4,0.00044794194400310516,1.5259720385074615e-05,4,6.103888154029846e-05,,pypower,,3,0.00011041946709156036,1,0.00011041946709156036,0.0009409524500370026,1,0.0009409524500370026,0.0004166793078184128,1,0.0004166793078184128,0.0002460014075040817,1,0.0002460014075040817,0.007838575169444084,1,0.007838575169444084,0.007838575169444084,pypower,True
,python,,case30_ieee,pglib_opf_case30_ieee,fp64,,0.0098560880869627,2.0731932157010958e-14,pypower,4,pypower,,operators,1.0959804058074951e-05,1,1.0959804058074951e-05,0.0017839227803051472,4,0.007135691121220589,3.173835575580597e-05,5,0.00015869177877902985,0.00011554127559065819,4,0.00046216510236263275,1.5180092304944992e-05,4,6.072036921977997e-05,,pypower,,4,0.00010917894542217255,1,0.00010917894542217255,0.0009187515825033188,1,0.0009187515825033188,0.000416681170463562,1,0.000416681170463562,0.0002471674233675003,1,0.0002471674233675003,0.007884982973337173,1,0.007884982973337173,0.007884982973337173,pypower,True
,python,,case30_ieee,pglib_opf_case30_ieee,fp64,,0.009803667664527893,2.0731932157010958e-14,pypower,4,pypower,,operators,1.0721385478973389e-05,1,1.0721385478973389e-05,0.0017772377468645573,4,0.007108950987458229,3.1995773315429685e-05,5,0.00015997886657714844,0.00011057173833251,4,0.00044228695333004,1.5250872820615768e-05,4,6.1003491282463074e-05,,pypower,,5,0.000108400359749794,1,0.000108400359749794,0.0009273607283830643,1,0.0009273607283830643,0.0004150606691837311,1,0.0004150606691837311,0.0002414323389530182,1,0.0002414323389530182,0.007838744670152664,1,0.007838744670152664,0.007838744670152664,pypower,True
,python,,case30_ieee,pglib_opf_case30_ieee,fp64,,0.009844567626714706,2.0731932157010958e-14,pypower,4,pypower,,operators,1.1360272765159607e-05,1,1.1360272765159607e-05,0.0017841742374002934,4,0.007136696949601173,3.232769668102264e-05,5,0.00016163848340511322,0.00011121761053800583,4,0.0004448704421520233,1.5315134078264236e-05,4,6.126053631305695e-05,,pypower,,6,0.00011088885366916656,1,0.00011088885366916656,0.0009322520345449448,1,0.0009322520345449448,0.00042862072587013245,1,0.00042862072587013245,0.00024581141769886017,1,0.00024581141769886017,0.007872253656387329,1,0.007872253656387329,0.007872253656387329,pypower,True
,python,,case30_ieee,pglib_opf_case30_ieee,fp64,,0.009824126958847046,2.0731932157010958e-14,pypower,4,pypower,,operators,1.1047348380088806e-05,1,1.1047348380088806e-05,0.0017804596573114395,4,0.007121838629245758,3.188960254192352e-05,5,0.00015944801270961761,0.00011020153760910034,4,0.00044080615043640137,1.5113037079572678e-05,4,6.045214831829071e-05,,pypower,,7,0.00010924786329269409,1,0.00010924786329269409,0.0009375736117362976,1,0.0009375736117362976,0.00041184015572071075,1,0.00041184015572071075,0.0002360306680202484,1,0.0002360306680202484,0.00784965232014656,1,0.00784965232014656,0.00784965232014656,pypower,True
,python,,case30_ieee,pglib_opf_case30_ieee,fp64,,0.010017268359661102,2.0731932157010958e-14,pypower,4,pypower,,operators,1.090019941329956e-05,1,1.090019941329956e-05,0.0018275114707648754,4,0.007310045883059502,3.2203271985054016e-05,5,0.00016101635992527008,0.00011157896369695663,4,0.00044631585478782654,1.5264842659235e-05,4,6.105937063694e-05,,pypower,,8,0.00011050887405872345,1,0.00011050887405872345,0.0009246114641427994,1,0.0009246114641427994,0.000416632741689682,1,0.000416632741689682,0.00023945048451423645,1,0.00023945048451423645,0.008044363930821419,1,0.008044363930821419,0.008044363930821419,pypower,True
,python,,case30_ieee,pglib_opf_case30_ieee,fp64,,0.009748298674821854,2.0731932157010958e-14,pypower,4,pypower,,operators,1.0779127478599548e-05,1,1.0779127478599548e-05,0.0017705028876662254,4,0.007082011550664902,3.18136066198349e-05,5,0.0001590680330991745,0.00010756682604551315,4,0.0004302673041820526,1.5443656593561172e-05,4,6.177462637424469e-05,,pypower,,9,0.00010928139090538025,1,0.00010928139090538025,0.0009238328784704208,1,0.0009238328784704208,0.0004152599722146988,1,0.0004152599722146988,0.00023869983851909637,1,0.00023869983851909637,0.0078000035136938095,1,0.0078000035136938095,0.0078000035136938095,pypower,True
