run,case_name,success,iterations,linear_solve_steps,buses,dim,nnz,final_mismatch,solve_sec,max_linear_relres,median_linear_relres,max_actual_ratio,max_model_error_ratio,max_dx_inf,max_npivots_total,linear_relres_last,actual_ratio_last,model_error_ratio_last
baseline,Base_Eastern_Interconnect_515GW,True,6,5,78478,154916,1143804,5.63936796566e-09,2.729215,0.001551757123830286,0.00047820385593087155,0.05866901658197405,0.05866899156756797,2.2444233894348145,0,0.00034521669139815793,0.00035101210202988594,9.734578278968404e-05
baseline,Base_West_Interconnect_121GW,True,5,4,20758,40748,302486,7.644644367835e-09,0.603311,0.001979957429213505,0.0006901297561471397,0.015374191171170356,0.015374199916256244,0.08537151664495468,0,0.001979957429213505,0.002082431145041521,0.0006813779516955158
baseline,MemphisCase2026_Mar7,True,3,2,993,1797,13355,4.725017905592e-12,0.032921,3.7062738752380016e-06,2.008047528128449e-06,3.017994411810811e-05,3.0015364796940688e-05,6.0843372921226546e-05,0,3.7062738752380016e-06,3.017994411810811e-05,3.0015364796940688e-05
baseline,Texas7k_20220923,True,4,3,6717,12843,91901,1.844571703184e-11,0.157159,1.785651286911036e-05,5.2522628752706565e-06,0.00852502123293667,0.008525011087196228,0.015809237957000732,0,5.2522628752706565e-06,4.478841844365877e-06,2.6707698354853603e-06
baseline,case_ACTIVSg25k,True,5,4,25000,47246,318672,1.897538772867e-09,0.65893,0.00013476025780011282,0.00010583230344919783,0.06783414821517861,0.06783416088813557,0.24736253917217255,0,0.0001189313015746404,0.00010498737389820228,3.311671829534179e-05
