case_name,from_iter,to_iter,dx_from_inf,dx_to_inf,dx_to_over_from_inf,dx_delta_inf,dx_delta_over_from_inf,dx_from_l2,dx_to_l2,dx_to_over_from_l2,dx_delta_l2,dx_delta_l2_over_from_l2,dx_cosine
Base_Eastern_Interconnect_515GW,0,1,2.24442,2.06411,0.919662986428565,4.308529999999999,1.9196629864285648,482.70418284995384,435.9670941888116,0.9031765409920423,918.6489504160786,1.9031302877722027,-0.9999025362492155
Base_Eastern_Interconnect_515GW,1,2,2.06411,0.154084,0.07464912238204359,1.910027,0.9253513620882609,435.9670941888116,38.76810408207689,0.08892438121783323,397.545812359416,0.9118711427042798,0.9918458934564938
Base_Eastern_Interconnect_515GW,2,3,0.154084,0.00156131,0.01013284961449599,0.15252426,0.9898773396329275,38.76810408207689,0.4103547788922273,0.010584855478706292,38.35844829869198,0.9894331746912974,0.998314621692826
Base_Eastern_Interconnect_515GW,3,4,0.00156131,3.34255e-07,0.0002140862480865427,0.0015613061637,0.9999975428966702,0.4103547788922273,3.413184803896805e-05,8.317643608564431e-05,0.4103513229516312,0.9999915781641304,0.10129382728058565
Base_West_Interconnect_121GW,0,1,0.0853715,0.0812065,0.9512132268965638,0.166578,1.9512132268965638,4.97535635365402,4.6305804729179885,0.9307032790761167,9.59728758830088,1.9289648632408818,-0.9963953558732859
Base_West_Interconnect_121GW,1,2,0.0812065,0.000713481,0.008786008509171063,0.080555345,0.9919814916293647,4.6305804729179885,0.04407693728027461,0.009518663488964109,4.586934903669456,0.9905744928732382,0.9903059943976389
Base_West_Interconnect_121GW,2,3,0.000713481,2.82159e-07,0.0003954681344002153,0.0007134461341999999,0.9999511328262419,0.04407693728027461,1.3108065182295209e-05,0.00029739056275494336,0.044088947583883105,1.0002724849853364,-0.9162291038178312
MemphisCase2026_Mar7,0,1,6.08434e-05,2.83007e-09,4.65140015186528e-05,6.0840760900000004e-05,0.9999566247119656,0.0005977263263396033,5.787763160088286e-08,9.682965104668854e-05,0.0005977002841502865,0.9999564312492705,0.4499911869060873
Texas7k_20220923,0,1,0.0158092,0.000254445,0.016094742301950765,0.016063644999999998,1.0160947423019506,0.16076043425905626,0.017946466794507496,0.11163484894291707,0.1725245732626264,1.0731780743053536,-0.6236799753383717
Texas7k_20220923,1,2,0.000254445,6.81067e-08,0.0002676676688478846,0.0002543768933,0.9997323323311521,0.017946466794507496,6.957467552390408e-07,3.8767895831839926e-05,0.01794617992967774,0.9999840155261178,0.4123282232053876
case_ACTIVSg25k,0,1,0.24575,0.247363,1.0065635808748727,0.493113,2.006563580874873,10.431480279148158,10.228496556308846,0.9805412350493474,20.645765339005703,1.9791788688202985,-0.9972491779268584
case_ACTIVSg25k,1,2,0.247363,0.00408697,0.016522155698305726,0.24572209,0.9933663886676666,10.228496556308846,0.1458987471229989,0.014263948403346712,10.083630686588357,0.9858370319701445,0.9930212105129091
case_ACTIVSg25k,2,3,0.00408697,7.63639e-06,0.0018684722422723926,0.00408242737,0.9988885090910871,0.1458987471229989,7.665469646456578e-05,0.0005253965368183908,0.1458246352043078,0.9994920318361018,0.9668452934891788
