label,cudss_analysis_sum_ms,analysis_speedup_vs_auto,factorization_sum_ms,iteration_linear_solve_sum_ms
auto,181.78790000000004,1.0,2.9303999999999997,3.77061523809524
nd_5,160.9404,1.1295355299228784,3.9170999999999996,5.052011190476001
nd_6,155.7945,1.1668441440487312,3.5169,4.6766445238096
nd_7,154.7653,1.1746037386933637,3.2917,4.28127976190483
nd_8,159.5249,1.139558150483091,3.119,4.01415428571419
nd_9,170.392,1.066880487346824,2.987,3.80746928571429
nd_10,182.8134,0.9943904549666492,3.1258999999999997,4.0643757142857195
nd_11,193.6842,0.9385788825314612,2.8895,3.7196861904761898
