nd_label,run_name,source_exp,analyze_sec_max,analyze_sec_mean,analyze_sec_median,analyze_sec_min,analyze_sec_stdev,backend,case_name,compute,elapsed_sec_max,elapsed_sec_mean,elapsed_sec_median,elapsed_sec_min,elapsed_sec_stdev,final_mismatch_max,implementation,iterations_mean,jacobian,measurement_mode,profile,runs,solve_sec_max,solve_sec_mean,solve_sec_median,solve_sec_min,solve_sec_stdev,source_profile,success_all
nd_11,cuda_edge_nd_nd_11,20260412,0.017738,0.017168700000000002,0.0170825,0.017031,0.00022743108846417628,cuda,case1354_pegase,mixed,0.019638,0.019053300000000002,0.018964500000000002,0.018908,0.00023179207636730458,9.929390643038e-12,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.0019,0.0018842,0.0018825,0.001877,7.714344503009403e-06,cuda_mixed_edge,True
auto,cuda_edge_nd_auto,20260412,0.023075,0.0223678,0.022283999999999998,0.022165,0.00026920491988239865,cuda,case2746wop_k,mixed,0.025338,0.0246108,0.0245255,0.024393,0.0002769018277697387,1.13233426378e-09,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.002262,0.0022424,0.0022415,0.002226,1.1758684733705017e-05,cuda_mixed_edge,True
nd_5,cuda_edge_nd_nd_5,20260413,0.020407,0.0195799,0.01947,0.019426,0.00030467959491169703,cuda,case2746wop_k,mixed,0.023292,0.0224692,0.022356,0.022313,0.0003040452451710291,7.495604097891e-10,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.002917,0.0028889,0.0028929999999999997,0.002857,1.688161393021674e-05,cuda_mixed_edge,True
nd_6,cuda_edge_nd_nd_6,20260413,0.02015,0.019152,0.01902,0.018956,0.00036932581219778797,cuda,case2746wop_k,mixed,0.022476,0.0214592,0.0213175,0.021256,0.00037635585996943533,1.181420893241e-09,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.002325,0.0023066,0.0023020000000000002,0.002296,1.114749598190852e-05,cuda_mixed_edge,True
nd_7,cuda_edge_nd_nd_7,20260413,0.020384,0.019485,0.0193505,0.019288,0.0003310528658688819,cuda,case2746wop_k,mixed,0.022706,0.0217787,0.0216565,0.021565,0.00034112495266886214,1.337948760755e-09,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.002327,0.0022934,0.002284,0.002274,1.9172897537930983e-05,cuda_mixed_edge,True
nd_8,cuda_edge_nd_nd_8,20260412,0.022353,0.0214208,0.021245,0.021022,0.0005036737921402003,cuda,case2746wop_k,mixed,0.025941,0.0243518,0.02409,0.023669,0.0006965214840748116,8.872713282582e-10,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.003587,0.0029305,0.0029345,0.002237,0.00031872637167325833,cuda_mixed_edge,True
nd_9,cuda_edge_nd_nd_9,20260412,0.023006,0.0218806,0.021761000000000003,0.021614,0.0004171120819262952,cuda,case2746wop_k,mixed,0.025587,0.0244194,0.0242895,0.024149,0.00043013982222838456,8.970073859451e-10,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.00258,0.0025380999999999997,0.0025345,0.00252,1.7103930672346723e-05,cuda_mixed_edge,True
nd_10,cuda_edge_nd_nd_10,20260412,0.02341,0.0226534,0.0225495,0.022446,0.00028451057391012144,cuda,case2746wop_k,mixed,0.025909,0.0251657,0.0250685,0.024968,0.00027790967757328856,1.252605088933e-09,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.002533,0.0025118000000000002,0.0025180000000000003,0.00248,1.724206741921891e-05,cuda_mixed_edge,True
nd_11,cuda_edge_nd_nd_11,20260412,0.025074,0.0242511,0.0241245,0.024086,0.00030815957266037037,cuda,case2746wop_k,mixed,0.027355,0.0265434,0.026425,0.026376,0.0003055403955835192,9.830371579903e-10,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.002308,0.0022917,0.0022919999999999998,0.002275,1.0424863441684874e-05,cuda_mixed_edge,True
auto,cuda_edge_nd_auto,20260412,0.01045,0.010246,0.010221999999999998,0.01021,7.225264316579993e-05,cuda,case30_ieee,mixed,0.011136,0.0109326,0.0109085,0.010896,7.221141799527903e-05,2.601446840299e-13,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.000689,0.000686,0.000686,0.000683,1.6329931618554695e-06,cuda_mixed_edge,True
