nd_level,label,end2end_total_ms,end2end_case_mean_ms,operators_total_ms,operators_case_mean_ms,cudss_analysis_total_ms,cudss_factorization_total_ms,cudss_refactorization_total_ms,cudss_solve_total_ms,nr_iteration_linear_solve_total_ms
AUTO,auto,230.9271,28.8658875,231.76680000000005,28.970850000000002,181.78790000000004,2.9303999999999997,2.2940983333333342,1.17219214285717,3.77061523809524
5,nd_5,222.119,27.764875,218.1597,27.2699625,160.9404,3.9170999999999996,3.5624716666666707,1.25140547619048,5.052011190476001
6,nd_6,210.9216,26.365199999999998,211.1666,26.395825,155.7945,3.5169,3.182636666666671,1.25551833333334,4.6766445238096
7,nd_7,206.96030000000002,25.870037500000002,207.86540000000002,25.983175,154.7653,3.2917,2.759840000000002,1.24351976190477,4.28127976190483
8,nd_8,211.5065,26.438312500000002,211.07080000000002,26.38385,159.5249,3.119,2.485266666666663,1.22419214285714,4.01415428571419
9,nd_9,222.1721,27.7715125,220.95190000000002,27.618987500000003,170.392,2.987,2.325723333333336,1.16651904761905,3.80746928571429
10,nd_10,234.2681,29.2835125,238.48340000000002,29.810425,182.8134,3.1258999999999997,2.377699999999989,1.2162399999999902,4.0643757142857195
11,nd_11,242.44230000000002,30.305287500000002,243.8536,30.4817,193.6842,2.8895,2.2315866666666677,1.1612273809523999,3.7196861904761898
