case_name,nd_label,source_exp,runs,cudss_analysis_ms,cudss_analysis_ms_ratio_vs_baseline,cudss_analysis_ms_speedup_vs_baseline,cudss_setup_ms,cudss_setup_ms_ratio_vs_baseline,cudss_setup_ms_speedup_vs_baseline,cudss_factorization_ms,cudss_factorization_ms_ratio_vs_baseline,cudss_factorization_ms_speedup_vs_baseline,cudss_refactorization_ms,cudss_refactorization_ms_ratio_vs_baseline,cudss_refactorization_ms_speedup_vs_baseline,cudss_solve_ms,cudss_solve_ms_ratio_vs_baseline,cudss_solve_ms_speedup_vs_baseline,nr_analyze_linear_solve_ms,nr_analyze_linear_solve_ms_ratio_vs_baseline,nr_analyze_linear_solve_ms_speedup_vs_baseline,nr_iteration_linear_solve_ms,nr_iteration_linear_solve_ms_ratio_vs_baseline,nr_iteration_linear_solve_ms_speedup_vs_baseline
case118_ieee,auto,20260412,10,8.9081,1.0,1.0,1.5492,1.0,1.0,0.0757,1.0,1.0,0.06936666666666799,1.0,1.0,0.061325,1.0,1.0,10.4606,1.0,1.0,0.1429,1.0,1.0
case118_ieee,nd_5,20260413,10,8.749600000000001,0.9822072046788879,1.018115113833775,1.5705,1.0137490317583269,0.9864374403056351,0.077,1.0171730515191546,0.9831168831168832,0.070100000000002,1.0105718404613262,0.9895387541607136,0.072275,1.178556869139829,0.8484953303355239,10.323,0.9868458788214826,1.0133294584907486,0.15485,1.083624912526242,0.9228285437520182
case118_ieee,nd_6,20260413,10,8.8079,0.9887518101503128,1.0113761509553922,1.6149,1.0424089852827267,0.959316366338473,0.0837,1.105680317040951,0.9044205495818399,0.076899999999999,1.1086016338298539,0.9020372778500507,0.07275,1.1863024867509173,0.8429553264604811,10.4254,0.9966349922566583,1.003376369252019,0.16225,1.135409377186844,0.8807395993836672
case118_ieee,nd_7,20260413,10,8.8135,0.9893804514991974,1.0107335337834005,1.5484,0.9994836044410018,1.000516662361147,0.0764,1.0092470277410832,0.9908376963350787,0.069766666666669,1.00576645843346,0.9942666029622408,0.061425,1.0016306563391766,0.9983719983719983,10.3648,0.9908418255167009,1.0092428218585983,0.143975,1.0075227431770468,0.9925334259420039
case118_ieee,nd_8,20260412,10,8.838,0.992130757400568,1.0079316587463227,1.5534,1.0027110766847405,0.9972962533796833,0.0769,1.0158520475561426,0.9843953185955787,0.070166666666664,1.0115329168668332,0.9885985748219092,0.061425,1.0016306563391766,0.9983719983719983,10.3945,0.9936810508001455,1.0063591322333925,0.14415,1.0087473757872638,0.9913284772806105
case118_ieee,nd_9,20260412,10,8.8525,0.9937584894646445,1.0062807116633719,1.5521,1.0018719339013686,0.9981315636879067,0.0765,1.010568031704095,0.9895424836601308,0.06963333333333199,1.0038443056222586,0.9961704164672474,0.061175,0.9975540154912352,1.0024519820187985,10.4074,0.9949142496606315,1.0051117474104962,0.14350000000000002,1.0041987403778867,0.9958188153310104
case118_ieee,nd_10,20260412,10,8.9571,1.0055006118027414,0.9945294794073973,1.658,1.0702297960237541,0.93437876960193,0.0829,1.095112285336856,0.9131483715319663,0.075433333333333,1.0874579529072306,0.9195757843570698,0.067925,1.1076233183856503,0.902834008097166,10.618,1.0150469380341474,0.9851761160293839,0.158475,1.1089923023093073,0.9017195141189461
case118_ieee,nd_11,20260412,10,8.9579,1.005590417709725,0.9944406613157101,1.5727,1.0151691195455719,0.98505754435048,0.07629999999999999,1.0079260237780712,0.9921363040629098,0.069833333333334,1.0067275348390101,0.993317422434377,0.06165,1.0052996331023238,0.9947283049472829,10.5335,1.0069690075139095,0.993079223430009,0.14385,1.0066480055983205,0.9933958985053876
case1354_pegase,auto,20260412,10,14.5645,1.0,1.0,1.6076,1.0,1.0,0.2835,1.0,1.0,0.17504999999999998,1.0,1.0,0.12346,1.0,1.0,16.1751,1.0,1.0,0.33555999999999997,1.0,1.0
case1354_pegase,nd_5,20260413,10,12.1236,0.8324075663428198,1.201334587086344,1.5556999999999999,0.9677158497138592,1.033361187889696,0.19779999999999998,0.6977072310405643,1.4332659251769464,0.190825,1.0901171093973152,0.9173326346128652,0.11882000000000001,0.962416977158594,1.0390506648712337,13.6822,0.8458803964117687,1.1822002309570099,0.3265,0.9730003576111576,1.0277488514548239
case1354_pegase,nd_6,20260413,10,12.3464,0.8477050362182017,1.1796556081124863,1.5569,0.9684623040557353,1.0325647119275483,0.1829,0.6451499118165785,1.5500273373428102,0.175425,1.0021422450728363,0.9978623343309105,0.12464,1.009557751498461,0.9905327342747111,13.9062,0.8597288424801083,1.1631574405660785,0.3166,0.9434974371200382,1.059886291850916
case1354_pegase,nd_7,20260413,10,12.7542,0.8757046242576128,1.1419375578240893,1.6042,0.9978850460313512,1.0021194364792418,0.2757,0.9724867724867726,1.02829162132753,0.1689,0.9648671808054842,1.036412078152753,0.11824,0.9577190993034181,1.04414749661705,14.3612,0.8878584985564232,1.1263056012032422,0.32394,0.9653713195851712,1.035870840279064
case1354_pegase,nd_8,20260412,10,13.2048,0.9066428644992962,1.1029701320731855,1.5839,0.9852575267479473,1.0149630658501168,0.2738,0.9657848324514992,1.035427319211103,0.166575,0.951585261353899,1.0508779828905896,0.1167,0.9452454236189859,1.0579263067694944,14.7917,0.9144734808440134,1.0935254230413003,0.3213,0.9575038741208726,1.0443821973233738
case1354_pegase,nd_9,20260412,10,13.751999999999999,0.9442136702255483,1.059082315299593,1.6156000000000001,1.004976362279174,0.9950482792770486,0.27290000000000003,0.9626102292768961,1.0388420666910954,0.1677,0.9580119965724079,1.0438282647584973,0.11534,0.9342297100275393,1.0704005548812208,15.3703,0.9502445116258941,1.0523607216514967,0.31996,0.9535105495291455,1.0487560945118137
case1354_pegase,nd_10,20260412,10,14.6149,1.0034604689484705,0.9965514646011947,1.6315,1.014866882309032,0.9853509040760037,0.31,1.0934744268077603,0.914516129032258,0.1807,1.0322764924307342,0.968732706142778,0.12840000000000001,1.040012959663049,0.9615264797507788,16.249,1.004568750734153,0.9954520278170965,0.35904,1.0699725831445943,0.934603386809269
case1354_pegase,nd_11,20260412,10,14.9123,1.0238799821483744,0.9766769713592136,1.5855000000000001,0.9862527992037822,1.0139388205613369,0.2659,0.9379188712522047,1.0661902971041743,0.16244999999999998,0.9280205655526992,1.077562326869806,0.10744,0.8702413737242831,1.1491064780342517,16.5007,1.0201297055350507,0.9802675038028691,0.3055,0.9104184050542378,1.0983960720130932
case2746wop_k,auto,20260412,10,19.717200000000002,1.0,1.0,1.5989,1.0,1.0,0.3825,1.0,1.0,0.27450000000001,1.0,1.0,0.15265,1.0,1.0,21.319000000000003,1.0,1.0,0.47450000000000003,1.0,1.0
case2746wop_k,nd_5,20260413,10,16.938,0.8590469234982653,1.1640807651434646,1.5994,1.0003127149915567,0.9996873827685382,0.4583,1.1981699346405228,0.8346061531747764,0.45333333333333,1.651487553126825,0.6055147058823795,0.16342500000000001,1.0705863085489682,0.9340676151139666,18.5402,0.8696561752427411,1.1498797208228608,0.63915,1.3469968387776605,0.7423922396933428
case2746wop_k,nd_6,20260413,10,16.442,0.8338912218773455,1.199197177958886,1.6007,1.0011257739696042,0.9988754919722621,0.315,0.8235294117647058,1.2142857142857142,0.30913333333334,1.1261687917425454,0.8879663575587797,0.158325,1.0371765476580412,0.9641560082109586,18.0456,0.8464562127679534,1.1813960189741546,0.490525,1.03377239199157,0.9673309209520413
case2746wop_k,nd_7,20260413,10,16.848,0.8544823808654372,1.1702991452991456,1.5944,0.9971855650759898,1.0028223783241343,0.39790000000000003,1.040261437908497,0.9612968082432771,0.28940000000001,1.0542805100182129,0.9485141672425728,0.156875,1.027677694071405,0.9730677290836655,18.4453,0.8652047469393498,1.1557957853762206,0.494575,1.0423076923076922,0.9594095940959411
case2746wop_k,nd_8,20260412,10,17.9818,0.9119854746109994,1.0965086921220346,1.5852,0.9914316092313465,1.0086424425939944,0.3827,1.0005228758169935,0.9994773974392475,0.27476666666667,1.0009714632665208,0.9990294795584376,0.158925,1.0411071077628562,0.960515966650936,19.5697,0.9179464327595103,1.0893881868398596,0.482525,1.0169125395152792,0.9833687373711207
case2746wop_k,nd_9,20260412,10,18.8079,0.9538829042663257,1.0483467053738058,1.593,0.9963099630996309,1.0037037037037038,0.3832,1.0018300653594772,0.9981732776617954,0.27233333333334,0.992106860959308,1.0079559363525215,0.160675,1.0525712414018997,0.9500544577563405,20.4039,0.9570758478352642,1.0448492690122968,0.482125,1.0160695468914647,0.9841845994296086
case2746wop_k,nd_10,20260412,10,19.833,1.0058730448542388,0.9941612464075028,1.6775,1.0491587966727125,0.9531445603576751,0.418,1.0928104575163398,0.9150717703349283,0.28053333333332,1.0219793564055,0.9784933460076869,0.158975,1.0414346544382573,0.9602138701053625,21.5134,1.0091186265772314,0.9909637714168844,0.5097499999999999,1.0742887249736564,0.9308484551250615
case2746wop_k,nd_11,20260412,10,21.6422,1.0976304952021583,0.9110534049218657,1.6763,1.0484082806929764,0.9538268806299589,0.41859999999999997,1.09437908496732,0.9137601528905878,0.28753333333333,1.0474802671523478,0.9546719220960348,0.16355,1.0714051752374714,0.9333537144604097,23.3215,1.0939302969182418,0.914135025620136,0.5191,1.0939936775553214,0.9140820651126951
case30_ieee,auto,20260412,10,8.474,1.0,1.0,1.5574,1.0,1.0,0.0669,1.0,1.0,0.059866666666666,1.0,1.0,0.051399999999999994,1.0,1.0,10.0342,1.0,1.0,0.123575,1.0,1.0
case30_ieee,nd_5,20260413,10,8.4029,0.991609629454803,1.0084613645289127,1.6091,1.033196352895852,0.967870238021254,0.0658,0.98355754857997,1.0167173252279635,0.058499999999999,0.977171492204894,1.0233618233618296,0.051025,0.9927042801556422,1.0073493385595296,10.0151,0.9980965099360188,1.0019071202484249,0.12185,0.9860408658709285,1.0141567501025852
case30_ieee,nd_6,20260413,10,8.3994,0.9911966013688931,1.008881586780008,1.5502,0.9953769102350072,1.004644561992001,0.06549999999999999,0.9790732436472345,1.021374045801527,0.063500000000002,1.0606904231626288,0.942782152230931,0.050275,0.9781128404669261,1.0223769269020386,9.9525,0.991857846166112,1.008208992715398,0.12465,1.0086991705442039,0.9913758523866828
